Date,Actividades.Primarioas,Actividades.Secundarias,Actividades.Terciarias,Mineria,Manufactura,Construccion,Energia,Desempleo
01/01/2000,97.682936669,89.1893878495,70.7985940499,105.6759,87.8959,83.72,52.0492,
01/02/2000,71.4623037192,88.9770769667,71.3381527385,95.4622,90.9319,86.2354,51.2814,
01/03/2000,75.0293268834,92.5451668068,73.985048198,105.6355,94.6371,83.508,53.4103,
01/04/2000,66.0523236417,85.8214234184,72.7565837035,101.8219,85.7206,77.3654,53.2014,
01/05/2000,86.4948119264,91.3845370683,77.2069990799,105.668,93.8901,79.5596,56.072,
01/06/2000,87.2973812028,91.1679627427,76.0054769748,102.5639,93.7599,81.7145,56.8273,
01/07/2000,71.0220370093,91.7260022585,73.4716552606,99.3249,95.5285,83.3785,57.0654,
01/08/2000,63.1090098615,95.5434101188,74.2805553558,108.3945,94.7029,92.6912,57.8207,
01/09/2000,61.6103580886,93.8534985187,73.6403897358,104.6748,93.385,91.696,58.3518,
01/10/2000,69.8645115288,91.437465306,75.5695331797,98.8443,95.2678,82.9998,57.838,
01/11/2000,91.5381340605,89.1802628658,75.8772669587,98.6034,92.9633,78.7672,56.3491,
01/12/2000,104.6341718897,86.0518262891,74.6600171349,103.9381,84.4557,78.8273,54.1976,
01/01/2001,89.1795601716,90.5684211239,72.8582286785,108.6787,92.092,77.3564,54.4172,
01/02/2001,70.9975020223,86.7500369546,71.0627243634,99.1004,89.3009,76.2956,53.2976,
01/03/2001,77.8720587729,91.0897016082,75.2889045572,110.2997,92.9972,75.9514,55.2417,
01/04/2001,73.6600741649,83.277744606,74.5946372788,100.6311,85.3479,67.8554,55.8985,
01/05/2001,88.9284793644,88.4247191391,77.8051520544,104.511,92.4965,70.4607,58.5073,
01/06/2001,95.9564915446,88.0976870852,75.7512755543,104.2717,90.2807,73.7114,59.9616,
01/07/2001,77.2879274637,89.6891976215,73.7801572304,108.8328,88.5515,79.8113,60.2147,
01/08/2001,72.9900192378,92.7336846302,74.3505684422,108.7711,90.8911,87.6176,61.7615,
01/09/2001,67.738001158,90.2033463969,72.2970280464,104.0756,88.3327,86.783,61.3498,
01/10/2001,74.4406309536,88.9241532013,75.3747545106,102.9363,90.9968,76.7747,61.0748,
01/11/2001,109.5636114835,87.5440218716,74.5485734208,104.1104,88.9115,74.4977,59.5166,
01/12/2001,104.3373200561,85.8435936331,74.1410090341,110.5278,81.737,76.7257,57.7572,
01/01/2002,91.8087370185,86.944238347,71.4507078924,110.9225,85.8444,72.9375,54.6986,
01/02/2002,77.9218688845,83.0893825529,70.6187825274,98.1545,83.7905,73.1783,53.6409,
01/03/2002,76.2977676873,84.5226153065,73.1309799967,107.2448,84.7098,68.5432,54.4108,
01/04/2002,74.7404973392,87.3777939752,77.5690522544,104.7061,89.3602,72.8788,56.4621,
01/05/2002,88.6127664675,87.538229702,78.7601993246,108.0747,88.704,71.1126,59.6386,
01/06/2002,91.7916410585,85.9085362179,75.7411148491,104.6892,86.4399,72.0685,60.1807,
01/07/2002,80.6663500654,88.1612211282,75.4027526023,107.0381,87.6724,76.6458,61.2192,
01/08/2002,70.9195659998,90.8305947747,75.0432933205,109.3219,89.0786,82.9728,60.9039,
01/09/2002,65.9527482133,88.6690020137,73.3996140906,102.9354,87.0099,84.1767,61.0366,
01/10/2002,74.9338427107,91.266598676,76.6804805074,109.997,92.0248,78.0875,60.102,
01/11/2002,101.3319959111,86.976473475,75.2748021285,101.0281,89.2232,74.7947,57.2636,
01/12/2002,103.0306564091,85.8809741519,76.4168665974,109.7696,82.336,76.4641,57.1087,
01/01/2003,95.0324273106,87.559659644,73.9618892478,113.2279,84.1168,76.6111,56.8955,
01/02/2003,79.4566468691,85.7901701997,72.3659630003,102.2073,83.6988,80.6219,55.9091,
01/03/2003,77.9042140817,89.6377403975,75.3955645613,114.2632,87.0295,78.0706,58.1583,
01/04/2003,76.3086234525,86.5887912386,76.5172000805,107.3923,84.8429,76.2886,57.7845,
01/05/2003,87.6384302138,88.7385824037,78.5037354479,112.4511,88.0495,73.1139,61.4383,
01/06/2003,100.7289205144,88.5099884839,76.6203544807,110.2867,87.1555,75.8816,62.5229,
01/07/2003,86.2944894164,89.9203593265,75.7693777157,113.4588,86.9609,79.043,63.8669,
