date,Billetes.y.monedas,Ingreso.Mexico,TIIE28,TIIE91
01/01/2000,157161287,77.9300286665,18.55,18.69
01/02/2000,150126022,77.3673160057,18.15,18.12
01/03/2000,152919896,80.3579500474,15.77,15.86
01/04/2000,158846323,77.007563789,14.74,15.10
01/05/2000,157679406,82.3433051337,15.92,16.77
01/06/2000,165529481,81.5415449471,17.44,17.73
01/07/2000,162172830,79.6297256443,15.13,15.40
01/08/2000,157692618,81.1907410412,16.62,16.84
01/09/2000,161376238,80.1648726418,16.77,17.13
01/10/2000,162822860,80.8095845797,17.38,17.99
01/11/2000,175112072,80.9161857342,18.64,18.76
01/12/2000,208879867,79.4983014002,18.39,18.39
01/01/2001,181718698,79.4234581546,18.62,18.86
01/02/2001,175896436,76.4192580262,18.12,18.36
01/03/2001,176028084,80.7678739934,17.28,17.22
01/04/2001,174570670,77.5311547137,16.36,16.31
01/05/2001,178269919,81.7840886328,14.09,14.22
01/06/2001,180702903,80.6070076285,11.64,11.90
01/07/2001,178256186,79.3253129098,11.10,11.60
01/08/2001,178960066,80.5870320572,9.29,10.22
01/09/2001,182150763,78.2695729864,10.95,12.19
01/10/2001,181038815,79.9735514861,10.34,11.16
01/11/2001,193892127,80.0938992449,8.90,10.21
01/12/2001,225222732,79.0924690354,7.94,8.87
01/01/2002,206861996,77.3862851929,7.97,8.44
01/02/2002,202219512,75.1093154405,8.99,9.06
01/03/2002,215888760,77.1222725598,8.47,8.61
01/04/2002,201136312,80.8302352509,6.85,7.12
01/05/2002,209329007,82.0699420052,7.73,7.63
01/06/2002,211830242,79.72127029,8.42,8.65
01/07/2002,209417287,79.9271837585,8.34,8.73
01/08/2002,210266104,80.3057605232,7.61,7.95
01/09/2002,210993609,78.3801795556,8.37,8.74
01/10/2002,213941744,81.6077382059,8.67,9.10
01/11/2002,227456663,80.0951819357,8.33,8.73
01/12/2002,263936897,80.4905066482,8.26,8.64
01/01/2003,246101980,79.2724085679,9.14,9.38
01/02/2003,241402098,77.1755259803,9.91,9.85
01/03/2003,237849553,80.3397741934,9.96,10.04
01/04/2003,243730756,79.9509429072,8.58,8.70
01/05/2003,246356274,82.2884289324,5.92,6.74
01/06/2003,240017485,81.4433765163,5.79,6.19
01/07/2003,242514288,80.9357027492,5.30,5.70
01/08/2003,242435364,79.419948275,4.97,5.54
01/09/2003,238702501,79.1887701978,5.05,5.50
01/10/2003,247925945,81.8790836157,5.60,5.93
01/11/2003,260002337,80.6344872637,5.35,5.83
01/12/2003,303614089,83.3303432256,6.40,6.57
01/01/2004,278373115,80.9301272709,5.36,5.55
01/02/2004,273567978,79.1938750054,5.79,6.07
01/03/2004,267424553,84.9278867642,6.49,6.55
01/04/2004,273090802,82.9362476507,6.17,6.37
01/05/2004,276652472,85.2390598546,6.95,7.31
01/06/2004,278847001,85.6208722489,7.02,7.59
01/07/2004,281999486,82.9402233551,7.11,7.63
01/08/2004,277136443,83.1324200822,7.50,7.84
01/09/2004,280788968,82.1974806276,7.78,8.06
01/10/2004,285219272,84.3626461994,8.05,8.46
01/11/2004,294824968,85.941492967,8.60,8.85
01/12/2004,340177672,86.2305262305,8.93,9.03
01/01/2005,316646595,82.2584068869,8.97,9.03
01/02/2005,307241459,80.899450515,9.47,9.59
01/03/2005,311855795,83.6264164291,9.78,9.98
01/04/2005,306993402,86.5937399396,10.01,10.22
01/05/2005,307690103,87.8888956455,10.12,10.21
01/06/2005,314148930,86.3520856515,10.01,10.01
01/07/2005,315321675,83.7841923198,10.01,10.03
01/08/2005,306032898,86.4311868906,9.98,10.03
01/09/2005,312474667,84.6425431567,9.65,9.45
01/10/2005,316469239,86.8530815676,9.41,9.25
01/11/2005,327169713,88.6573007607,9.17,9.14
01/12/2005,380033691,89.1510778336,8.72,8.64
