"tTipoAparato","iNumFases","iFrecuencia","tTipoArreglo","dRelTransformacion","bLlevaTerciario","IDevCercano","IVoltDefPor","DVoltSistGen","dVoltajeSistAT","dVoltajeSistATInterfaz","dVoltajePrefallaRL","bTerciarioExt","bTerciarioCargado","tNormaGar","iLlevaSerie","MSNM","dZry","dZsh","dZsx","dZts","iLlevaSopApartarrayos","iTipoEmbarque","iPais","iDestino","iAltEmbarqueMax","iAnchoEmbarqueMax","iPesoEmbarqueMax","tTipoNucleoSolicitado","dRuido0","dRuido1","dRuido2","Terciario.tTipoDev","Terciario.tTipoConexion","Terciario.dVoltajeLinea","Terciario.iBilesSup","Terciario.iBilesMed","Terciario.iBilesInf","Terciario.MVA0","Terciario.MVA1","Terciario.MVA2","Terciario.MVA3","Terciario.MVA4","Terciario.MVA5","Terciario.dLimMinDensCorr","Terciario.dLimMaxDensCorr","Terciario.tTipoCond","Terciario.tTipoBobinaFija","Terciario.bLlevaCambiador","Terciario.bCtcPerforado","Terciario.Cambiador.tCambiador","Terciario.Cambiador.iNumPasos","Terciario.Cambiador.dPorcArriba","Terciario.Cambiador.dPorcAbajo","Terciario.Cambiador.bCapReducida","Terciario.Cambiador.dRelSerie","Terciario.Cambiador.tMarcaCambiador","Terciario.Cambiador.tTipoLR","Terciario.Cambiador.tTipoCambiador","Terciario.Cambiador.bCircExtra","Enfriamiento.bLlevaSobrecarga","Enfriamiento.iNumPasosEnfto","Enfriamiento.t_TipoEnftoP1","Enfriamiento.t_TipoEnftoP2","Enfriamiento.t_TipoEnftoP3","Enfriamiento.i_ElevTempP1","Enfriamiento.i_ElevTempP2","Enfriamiento.i_ElevTempP3","Enfriamiento.i_ElevTempP4","Enfriamiento.i_ElevTempP5","Enfriamiento.bLlevaConservador","Enfriamiento.i_HSRElev1","Enfriamiento.i_HSRElev2","Enfriamiento.i_HSRElev3","Enfriamiento.i_HSRElev4","Enfriamiento.i_HSRElev5","Enfriamiento.i_TORElev1","Enfriamiento.i_TORElev2","Enfriamiento.i_TORElev3","Enfriamiento.i_TORElev4","Enfriamiento.i_TORElev5","Enfriamiento.iCFM","Enfriamiento.tTipoRadiador","Garantias.dCapPerd","Garantias.dPerdCu","Garantias.dPerdCuInterfaz","Garantias.dPerdFe","Garantias.dPerdTot","Garantias.dCapImp","Garantias.dImpHX","Garantias.dEvPerdCu","Garantias.dEvPerdFe","Garantias.dDensFlujoGar","Garantias.dCapEficReg","Garantias.dCapExcitacion","Garantias.dPorcExcitacionGar","Garantias.dFactorPotGar","Garantias.dVoltMaxSinCarga","Garantias.dVoltMaxCarga","Garantias.dTemperatura","Garantias.dPorcEficGar","Garantias.dDilFasesInfCap1Grupo1","Garantias.dDilFasesMedCap1Grupo1","Garantias.dDilFasesSupCap1Grupo1","Configurables.bFreeBuckling","Configurables.iUsarColectores","Configurables.bNucleo3PAchatado","Configurables.bUsarDosCapas","Configurables.iAparatoFIT","Configurables.iAparatoGS","Configurables.bOptimizarConCosto","Configurables.bUsarGyC","Configurables.iDiamNucleoGyC","Configurables.dDenFlujoGyC","Configurables.dDenCorrBTGyC","Configurables.dDenCorrATGyC","Configurables.dPotencialAplicadoAT","Configurables.dPotencialAplicadoBT","Configurables.dImpulsoManiobraAT","Nucleo.dDiamNucleoMin","Nucleo.dDiamNucleoMax","Nucleo.dDensFlujoMin","Nucleo.dDensFlujoMax","Nucleo.tTipoNucleo","Nucleo.tTipoLamina","Nucleo.bOpcionLamina0","Nucleo.bOpcionLamina1","Nucleo.bOpcionLamina2","Nucleo.bOpcionLamina3","SobreCarga.bCalculaSC","SobreCarga.iDuracionPrueba","Tanque.iSegGarganta","Tanque.iSegENA","Tanque.iSegCBC","Tanque.iSegCSC","Tanque.iSegTorretasAT","Tanque.iSegGabinete","Tanque.iSegConservador","Tanque.iBloqSegmento1","Tanque.iBloqSegmento2","Tanque.iBloqSegmento3","Tanque.iBloqSegmento4","BoquillaAT.dAltColaBoq","BoquillaAT.dDiamExtColaBoqTCs","BoquillaAT.sDescripcionBoq","BoquillaAT.sNoArticulo","BoquillaAT.dDiamExtBrida","BoquillaAT.dDiamDeflSupBoq","BoquillaAT.dLargoColaBoq","BoquillaAT.dDiamColaTCS","BoquillaAT.dDiametroColaInf","BoquillaAT.dDiamExtDisco","BoquillaAT.dDiamExtDiscoDL","BoquillaAT.dEspDiscoDL","BoquillaAT.dDiamCampanaMax","BoquillaAT.dDiamDeflInf","BoquillaAT.dDiamMaxColaBoq","BoquillaAT.dLongBoqNMA","BoquillaAT.dLargoSuperior","BoquillaAT.iLlevaDeflector","BoquillaAT.dAlturaDef","BoquillaAT.dDrawLeadPin","BoquillaAT.dNivelAceite","BoquillaAT.iUbicacion"
"2","3","60",16,1,"0",NA,NA,NA,400,400,100,"0","0","0","0",1000,0,0,0,0,"0","2","0","0",0,0,0,"32",85,85,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",3,"6","7","7","65","65","65","-1","-1","1",80,80,80,80,0,65,65,65,65,0,"7400","2","240",0,0,0,0,240,9,1000,1000,17273,"400","240",0,0.8,1.1,1.05,85,99.7,NA,NA,NA,"1","0",0,"1",NA,NA,"0",1,0,0,0,0,NA,NA,NA,1037,1200,1.4,1.727,"32",9,"1","0","1","0",NA,NA,0,"0","0","4","3","4","4",NA,NA,NA,NA,0,0,"420Z1600AB","PF887",597,407,1632,NA,NA,NA,NA,NA,475,369,430,NA,NA,NA,NA,NA,NA,NA
"2","3","60",16,1,"0",NA,NA,NA,345,345,100,"0","0","0","0",1000,0,0,0,0,"0","1","2","19",0,0,0,"32",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",3,"6","7","7","65","65","65","-1","-1","1",80,80,80,80,0,65,65,65,65,0,"7400","2","300",0,0,0,0,300,10,0,0,17273,"300","300",0,0.8,1.1,1.05,85,0,NA,NA,NA,"1","-1",0,"1",NA,NA,"0",1,0,0,0,0,NA,NA,NA,1046,1200,1.4,1.727,"32",9,"1","0","0","0",NA,NA,0,"0","0","4","0","1","4",NA,NA,NA,NA,0,0,"POC1175G1216CMS","PU75",584,356,1295,NA,NA,NA,NA,NA,368,267,318,NA,NA,NA,NA,NA,NA,NA
"2","3","60",17,1,"0",NA,NA,NA,230,230,100,"0","0","0","0",1000,0,0,0,0,"0","2","0","0",0,0,0,"30",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",2,"6","7","-1","65","65","-1","-1","-1","1",80,80,0,0,80,65,65,0,0,65,"7400","2","150",0,0,0,0,150,10,0,0,17273,"150","150",0,0.8,1.1,1.05,85,0,NA,NA,NA,"0","0",0,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,785,1020,1.4,1.727,"30",2,"0","1","0","0",NA,NA,0,"4","2","0","0","4","4",NA,NA,NA,NA,0,0,"230W0800VQ","PC696",597,368,1525,NA,NA,NA,NA,NA,412,254,429,NA,NA,NA,NA,NA,NA,NA
"2","3","60",17,1,"0",NA,NA,NA,115,115,100,"0","0","0","0",1000,0,0,0,0,"0","2","0","0",0,0,0,"30",74,77,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",3,"6","7","7","65","65","65","-1","-1","1",80,80,80,0,0,65,65,65,0,0,"7400","2","24",0,0,0,0,24,7.2,0,0,17150,"24","24",0,0.8,1.1,1.05,85,0,NA,NA,NA,"0","0",0,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,162.925,1.7273,"30",9,"1","0","0","0",NA,NA,0,"0","2","0","0","4","4",NA,NA,NA,NA,0,0,"POC550G0800S","HQ86",387,235,1092,NA,NA,NA,NA,NA,279,165,187,NA,NA,NA,NA,NA,NA,NA
"2","3","60",3,1,"1",NA,NA,NA,230,230,100,"0","0","0","0",2069,0,0,0,0,"0","2","0","0",0,0,0,"30",81,83,84,0,5,9.95,110,110,110,26.25,35,43.75,-1,-1,0,1.4,0,-1,0,"0",0,"0",0,0,0,0,1,"-1","-1","-1","0","0",3,"6","7","7","65","65","65","-1","-1","1",80,80,80,80,80,65,65,65,65,65,"7400","2","75",125,125,50.5,0,75,9,1000,8400,17273,"75","75",0,0.8,1.1,1.05,85,99.5,NA,NA,NA,"0","0",0,"0",NA,NA,"0",1,0,0,0,0,NA,NA,NA,659,959,1.4,1.727,"30",10,"0","0","1","0",NA,NA,0,"0","2","0","0","2","4",NA,NA,NA,NA,0,0,"POC900G2500Z087","PI203",584,267,1511,NA,NA,NA,NA,NA,316,267,257,NA,NA,NA,NA,NA,NA,NA
"2","3","60",16,1,"0",NA,NA,NA,23,23,100,"0","0","0","0",1000,0,0,0,0,"0","1","0","54",0,0,0,"30",71,73,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",3,"6","7","7","65","65","65","-1","-1","1",80,80,80,80,80,65,65,65,65,65,"7400","2","18",0,0,0,0,18,6,1500,1500,17273,"18","18",0,0.8,1.1,1.05,85,0,NA,NA,NA,"0","0",0,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,576,1.4,1.727,"30",9,"1","0","1","0",NA,NA,0,"0","0","4","0","1","4",NA,NA,NA,NA,0,0,"025W0412AT","EF72",229,151,750,NA,NA,NA,NA,NA,206,38.1,90,NA,NA,NA,NA,NA,NA,NA
"2","3","60",17,1,"0",NA,NA,NA,230,230,100,"0","0","3","0",2500,0,0,0,0,"0","2","0","0",0,0,0,"30",84,86,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",3,"6","7","7","65","65","65","-1","-1","1",80,80,80,0,0,55,55,55,0,0,"7400","2","135",0,0,0,0,135,9.82,0,0,17273,"135","135",0,0.8,1.1,1.05,85,0,NA,NA,NA,"0","-1",1,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,768,1020,1.4,1.727,"30",9,"1","0","1","0",NA,NA,0,"0","2","0","0","2","4",NA,NA,NA,NA,0,0,"ETA-252/2000-4","PK175",550,380,1075,NA,NA,NA,NA,NA,424,0,220,NA,NA,NA,NA,NA,NA,NA
"2","3","60",17,1,"0",NA,NA,NA,115,115,100,"0","0","3","0",2500,0,0,0,0,"0","2","0","0",0,0,0,"30",0,0,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",3,"6","7","7","65","65","65","-1","-1","1",80,80,80,0,0,55,55,55,0,0,"7400","2","135",0,0,0,0,135,9.82,0,0,17273,"135","135",0,0.8,1.1,1.05,85,0,NA,NA,NA,"0","-1",1,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1.4,1.727,"30",9,"1","0","0","0",NA,NA,0,"0","2","0","0","2","4",NA,NA,NA,NA,0,0,"ETA-126/2000-4","PK743",400,270,790,NA,NA,NA,NA,NA,340,0,150,NA,NA,NA,NA,NA,NA,NA
"1","3","60",5,1,"1",NA,NA,NA,400,400,100,"1","1","6","0",1000,0,0,0,0,"0","2","0","0",0,0,0,"30",68,70,0,0,5,34.5,200,200,200,21,28,-1,-1,-1,0,1.4,0,1,1,"0",1,"0",0,0,0,0,1,"-1","-1","-1","0","0",2,"6","7","-1","55","55","-1","-1","-1","1",70,70,0,0,0,55,55,0,0,0,"7400","2","86",0,0,0,0,86,7.47,0,0,17273,"86","86",0,0.8,1.1,1.05,75,0,NA,NA,NA,"1","0",0,"0",NA,NA,"0",1,0,0,0,0,NA,NA,NA,603,903,1.4,1.727,"30",9,"1","1","0","0",NA,NA,0,"4","2","0","3","2","4",NA,NA,NA,NA,0,0,"420Z1600AB","PF887",597,407,1632,NA,NA,NA,NA,NA,475,369,430,NA,NA,NA,NA,NA,NA,NA
"2","3","60",3,1,"1",NA,NA,NA,115,115,100,"0","0","6","0",1000,0,0,0,0,"0","1","0","54",0,0,0,"30",80,82,0,0,5,13.8,110,110,110,30,40,-1,-1,-1,0,1.4,2.7,1,0,"0",1,"0",0,0,0,0,1,"-1","-1","-1","0","0",2,"6","7","-1","55","55","-1","-1","-1","1",70,70,0,0,0,55,55,0,0,0,"5250","2","86",0,0,0,0,86,7.47,0,0,17273,"86","86",0,0.8,1.1,1.05,75,0,NA,NA,NA,"1","0",0,"0",NA,NA,"0",1,0,0,0,0,NA,NA,NA,626,926,1.4,1.727,"30",9,"1","0","0","0",NA,NA,0,"4","2","0","0","4","4",NA,NA,NA,NA,0,0,"POC550G1216CMS","RM02",387,235,1092,NA,NA,NA,NA,NA,278,267,187,NA,NA,NA,NA,NA,NA,NA
