"","Ingles","Espanol"
"1","of","de"
"2","the","la"
"3","what","que"
"4","in","en"
"5","the","el"
"6","the","los"
"7","the","las"
"8","of the","del"
"9","he","se"
"10","by","por"
"11","do not","no"
"12","a","un"
"13","a","una"
"14","for","para"
"15","is","es"
"16","with","con"
"17","to the","al"
"18","the","lo"
"19","be","seã"
"20","he has","ha"
"21","mã","mã"
"22","this","este"
"23","as","como"
"24","on","sobre"
"25","commission","comisiã"
"26","its","su"
"27","is","esta"
"28","also","tambiã"
"29","European","europea"
"30","or","or"
"31","uniã","uniã"
"32","is","estã"
"33","President","presidente"
"34","parliament","parlamento"
"35","state","estados"
"36","but","pero"
"37","yes","si"
"38","have","han"
"39","report","informe"
"40","advice","consejo"
"41","their","sus"
"42","European","europeo"
"43","members","miembros"
"44","without","sin"
"45","aã","aã"
"46","me","me"
"47","paãses","paã­ses"
"48","politics","polã­tica"
"49","Europe","europa"
"50","everyone","todos"
"51","between","entre"
"52","are","son"
"53","all","todo"
"54","already","ya"
"55","very","muy"
"56","us","nos"
"57","this","esto"
"58","be","ser"
"59","so much","tanto"
"60","my","mi"
"61","EU","ue"
"62","should","debe"
"63","agreement","acuerdo"
"64","place","lugar"
"65","you","os"
"66","rights","derechos"
"67","important","importante"
"68","part","parte"
"69","there is","hay"
"70","can","puede"
"71","we have","hemos"
"72","econã","econã"
"73","fact","hecho"
"74","against","contra"
"75","why","porque"
"76","I think","creo"
"77","developing","desarrollo"
"78","proposal","propuesta"
"79","have","tiene"
"80","asã","asã­"
"81","now","ahora"
"82","do","hacer"
"83","prã","prã"
"84","sã","sã"
"85","AC","cã"
"86","work","trabajo"
"87","these","estos"
"88","security","seguridad"
"89","debate","debate"
"90","pray","ora"
"91","question","cuestiã"
"92","when","cuando"
"93","citizens","ciudadanos"
"94","respect","respecto"
"95","I have","he"
"96","since","desde"
"97","our","nuestra"
"98","measurements","medidas"
"99","we must","debemos"
"100","situation","situaciã"
"101","time","vez"
"102","Mr","sr"
"103","tell","decir"
"104","we have","tenemos"
"105","shape","forma"
"106","embargo","embargo"
"107","if not","sino"
"108","market","mercado"
"109","it","ello"
"110","group","grupo"
"111","been","sido"
"112","great","gran"
"113","these","estas"
"114","today","hoy"
"115","weather","tiempo"
"116","country","paã­s"
"117","I want","quiero"
"118","two","dos"
"119","what","quã"
"120","our","nuestro"
"121","people","personas"
"122","case","caso"
"123","others","otros"
"124","we're","estamos"
"125","same","mismo"
"126","higher","mayor"
"127","state","estado"
"128","make","hace"
"129","directive","directiva"
"130","be","sea"
"131","commissar","comisario"
"132","that","eso"
"133","humans","humanos"
"134","point","punto"
"135","all right","bien"
"136","straight","derecho"
"137","support for","apoyo"
"138","every","cada"
"139","our","nuestros"
"140","during","durante"
"141","possible","posible"
"142","all","todas"
"143","first","primer"
"144","favor","favor"
"145","about","trata"
"146","cooperaciã","cooperaciã"
"147","much","mucho"
"148","example","ejemplo"
"149","saying","dicho"
"150","I would like","quisiera"
"151","I","yo"
"152","Some","algunos"
"153","must","deben"
"154","framework","marco"
"155","you","le"
"156","medium","medio"
"157","Social","social"
"158","finish","fin"
"159","comãºn","comãºn"
"160","account","cuenta"
"161","we","nosotros"
"162","Europeans","europeos"
"163","until","hasta"
"164","protect","protecciã"
"165","problem","problema"
"166","system","sistema"
"167","speaker","ponente"
"168","Thank you","gracias"
"169","treaty","tratado"
"170","future","futuro"
"171","they have","tienen"
"172","less","menos"
"173","in addition","ademã"
"174","we can","podemos"
"175","that","ese"
"176","neither","ni"
"177","before","antes"
"178","sector","sector"
"179","orãas","orã­as"
"180","to have","tener"
"181","process","proceso"
"182","problems","problemas"
"183","world","mundo"
"184","Business","empresas"
"185","mbito","mbito"
"186","single","solo"
"187","should","deberã­a"
"188","Program","programa"
"189","new","nuevo"
"190","resolve","resoluciã"
"191","they can","pueden"
"192","you","usted"
"193","opiniã","opiniã"
"194","here","aquã­"
"195","I am","estoy"
"196","information","informaciã"
