date,Salarios,Precios.EUA,Tipo.de.cambio
Jan-00,80.27408,168.8,9.4793
Feb-00,79.56829,169.8,9.4456
Mar-00,79.12960,171.2,9.2959
Apr-00,78.68193,171.3,9.3748
May-00,78.38890,171.5,9.5081
Jun-00,77.92731,172.4,9.7978
Jul-00,77.62451,172.8,9.4688
Aug-00,77.20030,172.8,9.2846
Sep-00,76.64044,173.7,9.3319
Oct-00,76.11630,174,9.5182
Nov-00,75.47101,174.1,9.5179
Dec-00,74.66270,174,9.4439
Jan-01,79.43089,175.1,9.7701
Feb-01,79.48349,175.8,9.7027
Mar-01,78.98307,176.2,9.6182
Apr-01,78.58665,176.9,9.3508
May-01,78.40674,177.7,9.1467
Jun-01,78.22172,178,9.0957
Jul-01,78.42549,177.5,9.1560
Aug-01,77.96358,177.5,9.1272
Sep-01,77.24452,178.3,9.3841
Oct-01,76.89698,177.7,9.3685
Nov-01,76.60840,177.4,9.2223
Dec-01,76.50245,176.7,9.1672
Jan-02,80.18098,177.1,9.1614
Feb-02,80.23256,177.8,9.1062
Mar-02,79.82424,178.8,9.0809
Apr-02,79.39057,179.8,9.1317
May-02,79.22998,179.8,9.4899
Jun-02,78.84555,179.9,9.7378
Jul-02,78.61986,180.1,9.7978
Aug-02,78.32206,180.7,9.8258
Sep-02,77.85378,181,10.0425
Oct-02,77.51214,181.3,10.0961
Nov-02,76.89028,181.3,10.2032
Dec-02,76.55702,180.9,10.1982
Jan-03,79.68324,181.7,10.5762
Feb-03,79.46251,183.1,10.9216
Mar-03,78.96406,184.2,10.9427
Apr-03,78.82948,183.8,10.6324
May-03,79.08467,183.5,10.2506
Jun-03,79.01939,183.7,10.4953
Jul-03,78.90503,183.9,10.4434
Aug-03,78.66904,184.6,10.7327
Sep-03,78.20349,185.2,10.9255
Oct-03,77.91779,185,11.1704
Nov-03,77.27639,184.5,11.1145
Dec-03,76.94561,184.3,11.2629
Jan-04,79.72395,185.2,10.9308
Feb-04,79.24990,186.2,11.0128
Mar-04,78.98227,187.4,10.9984
Apr-04,78.86325,188,11.2535
May-04,79.06157,189.1,11.5119
Jun-04,78.93505,189.7,11.3790
Jul-04,78.72870,189.4,11.4735
Aug-04,78.24569,189.5,11.3957
Sep-04,77.60403,189.9,11.4858
Oct-04,77.07026,190.9,11.3864
Nov-04,76.41839,191,11.3938
Dec-04,76.26087,190.3,11.2100
Jan-05,79.68209,190.7,11.2556
Feb-05,79.41749,191.8,11.1502
Mar-05,79.06114,193.3,11.1326
Apr-05,78.78057,194.6,11.1262
May-05,78.97899,194.4,10.9920
Jun-05,79.05487,194.5,10.8340
Jul-05,78.74668,195.4,10.6931
Aug-05,78.65275,196.4,10.6703
Sep-05,78.33879,198.8,10.7791
Oct-05,78.14698,199.2,10.8312
Nov-05,77.58855,197.6,10.6903
Dec-05,77.11488,196.8,10.6201
Jan-06,79.73192,198.3,10.5679
Feb-06,79.61011,198.7,10.4813
Mar-06,79.51035,199.8,10.7061
Apr-06,79.39394,201.5,11.0206
May-06,79.74896,202.5,11.0758
Jun-06,79.68015,202.9,11.3864
Jul-06,79.46225,203.5,11.0268
Aug-06,79.05881,203.9,10.8739
Sep-06,78.26868,202.9,10.9722
Oct-06,77.92799,201.8,10.9201
Nov-06,77.52125,201.5,10.8948
Dec-06,77.07540,201.8,10.8650
Jan-07,79.66072,202.416,10.9344
Feb-07,79.43868,203.499,10.9880
Mar-07,79.26712,205.352,11.1250
Apr-07,79.31448,206.686,10.9924
May-07,79.70331,207.949,10.8301
Jun-07,79.60771,208.352,10.8338
Jul-07,79.27101,208.299,10.7963
Aug-07,78.94937,207.917,11.0363
Sep-07,78.34108,208.49,11.0450
Oct-07,78.03698,208.936,10.8418
Nov-07,77.49030,210.177,10.8658
Dec-07,77.17124,210.036,10.8494
Jan-08,79.89535,211.08,10.9171
Feb-08,79.65854,211.693,10.7794
Mar-08,79.08535,213.528,10.7346
Apr-08,78.90579,214.823,10.5295
May-08,78.99113,216.632,10.4542
Jun-08,78.66559,218.815,10.3305
Jul-08,78.22962,219.964,10.2390
Aug-08,77.78044,219.086,10.0906
Sep-08,77.25399,218.783,10.5744
Oct-08,76.73112,216.573,12.4738
Nov-08,75.86874,212.425,13.0609
Dec-08,75.34691,210.228,13.3726
Jan-09,78.64744,211.143,13.8492
Feb-09,78.47418,212.193,14.5180
Mar-09,78.02531,212.709,14.7393
Apr-09,77.75317,213.24,13.4890
May-09,77.98030,213.856,13.2167
Jun-09,77.83697,215.693,13.3439
Jul-09,77.62552,215.351,13.3619
Aug-09,77.44024,215.834,13.0015
Sep-09,77.05373,215.969,13.3987
Oct-09,76.82132,216.177,13.2626
Nov-09,76.42488,216.33,13.1305
Dec-09,76.10989,215.949,12.8504
Jan-10,78.94348,216.687,12.8070
Feb-10,78.48952,216.741,12.9624
Mar-10,77.93622,217.631,12.6138
Apr-10,78.18534,218.009,12.2420
May-10,78.68111,218.178,12.6826
Jun-10,78.70576,217.965,12.7234
Jul-10,78.53523,218.011,12.8341
Aug-10,78.31771,218.312,12.7261
Sep-10,77.90930,218.439,12.8610
Oct-10,77.43131,218.711,12.4535
Nov-10,76.81585,218.803,12.3251
Dec-10,76.43718,219.179,12.4011
Jan-11,79.19002,220.223,12.1477
Feb-11,78.89406,221.309,12.0726
Mar-11,78.74299,223.467,12.0173
Apr-11,78.74924,224.906,11.7584
May-11,79.33408,225.964,11.6479
Jun-11,79.33805,225.722,11.7920
Jul-11,78.95920,225.922,11.6760
Aug-11,78.83450,226.545,12.1707
Sep-11,,,12.9291
