Date,Actividades.Primarioas,Actividades.Secundarias,Actividades.Terciarias,Mineria,Manufactura,Construccion,Energia,Desempleo,Industria EUA
Jan-00,100.00834567,99.42068093,92.31101097,97.0,102.2,95.2,92.6,3.67,95.55344
Feb-00,83.10377669,96.70522213,94.44691223,88.1,102.6,89.1,91.5,3.71,95.90709
Mar-00,97.37155015,103.68961590,97.55080995,89.6,111.0,97.7,95.8,3.31,96.28876
Apr-00,82.71630526,96.09979743,95.01882768,93.8,99.0,90.0,95.4,3.8,96.87616
May-00,100.50942469,104.75286304,98.34590128,97.5,108.5,101.7,101.1,3.69,97.0053
Jun-00,97.28982705,105.22018622,98.84075754,95.1,110.1,101.2,103.3,3.07,97.07434
Jul-00,91.46092484,104.36001940,98.52059024,92.5,108.1,104.7,104.0,3.17,96.82706
Aug-00,80.52659150,107.54409934,100.31040350,99.9,110.5,106.6,105.7,3.82,96.60444
Sep-00,78.56092204,104.13165218,98.49952955,96.7,107.9,100.0,106.5,3.81,97.06993
Oct-00,96.56036877,105.60957542,100.98620378,92.0,111.7,101.1,104.9,3.01,96.6657
Nov-00,103.19755092,103.35709339,102.33418599,91.6,109.3,97.9,100.8,2.77,96.67641
Dec-00,103.63926126,97.54140982,102.11211021,96.5,99.1,94.4,95.6,2.76,96.34341
Jan-01,92.29650754,99.76348854,95.21615465,97.3,103.4,92.8,93.4,3.72,95.68394
Feb-01,81.06529602,93.77116428,93.83131084,89.5,99.1,83.2,90.6,4.18,95.09769
Mar-01,98.50542512,101.10091391,99.05550829,92.4,107.2,93.4,93.4,3.42,94.82661
Apr-01,86.43637820,92.87574328,96.92476589,92.3,96.5,82.8,94.3,3.35,94.6001
May-01,102.04146570,101.30479334,98.64906638,95.5,105.9,94.2,98.8,3.8,93.90234
Jun-01,109.23056390,101.23279278,98.21114643,95.7,105.1,95.3,102.0,3.27,93.30287
Jul-01,96.10259240,101.70195731,98.29939351,99.2,101.6,104.1,102.5,3.61,92.87598
Aug-01,91.42862240,103.86869868,99.53327253,98.9,105.0,105.0,105.9,3.44,92.56555
Sep-01,85.45199659,99.58866257,95.59444232,94.7,101.1,98.8,105.0,3.55,92.22836
Oct-01,101.78411317,102.05628822,99.76363592,93.8,106.0,98.0,104.2,4.08,91.75049
Nov-01,119.91068335,101.01368366,99.26189947,94.7,104.7,96.5,100.7,3.42,91.28762
Dec-01,102.79100361,96.19345922,100.09986862,100.2,94.9,95.8,97.2,3.48,91.2935
Jan-02,93.28668799,97.34067384,92.67857459,99.2,99.1,92.0,90.0,4.44,91.85708
Feb-02,88.54479066,92.03936934,92.22638055,88.1,96.0,85.0,88.3,3.77,91.81596
Mar-02,98.07413058,94.81107212,95.68990266,89.3,98.9,89.5,89.6,3.91,92.54047
Apr-02,87.75213288,99.82647813,99.48162571,95.2,103.8,94.0,93.8,3.89,92.93127
May-02,102.64734794,101.94279636,99.49965662,97.1,104.3,100.1,99.9,3.84,93.45405
Jun-02,105.31767725,100.01838932,97.61476432,95.0,102.3,98.0,101.7,3.33,94.33709
Jul-02,101.65121988,102.32589332,99.74595741,97.2,103.5,103.4,104.3,4.21,94.01973
Aug-02,90.18397141,102.91254265,99.89482081,98.9,103.9,103.6,104.0,4.06,94.21235
Sep-02,82.23904832,98.98884625,96.76763932,94.2,100.1,99.4,104.4,4.34,94.29008
Oct-02,102.89410612,104.40617442,101.30689193,99.4,106.8,102.8,102.2,3.83,93.92814
Nov-02,112.12132080,99.97710545,100.36091700,92.2,103.4,98.4,96.1,3.77,94.41525
Dec-02,102.92699951,96.34594816,103.40097562,100.1,95.1,96.4,95.8,2.99,93.92226
Jan-03,96.10402766,98.70625341,96.57250722,100.2,98.8,97.9,93.8,4.11,94.63829
Feb-03,88.17724743,94.78683778,95.27589588,91.0,96.3,94.6,91.9,3.86,94.94547
Mar-03,98.23279166,101.66571928,99.32786490,100.6,102.2,102.2,95.9,4.03,94.79146
Apr-03,88.85384364,97.70338465,98.63020200,96.4,98.0,98.7,95.3,4.16,94.0362
May-03,101.23043515,101.56243970,100.52462693,100.7,101.5,102.5,102.2,3.84,94.04575
Jun-03,115.52833615,100.90431632,99.69540307,99.3,100.7,102.4,104.6,4.52,94.05446
Jul-03,106.13055189,101.92135674,101.07556586,102.6,100.1,105.8,106.0,4.95,94.3588
Aug-03,88.69684397,100.62920518,99.56318615,103.4,99.1,101.4,105.9,5.49,94.30299
Sep-03,87.23500119,98.76147492,98.43072961,99.5,99.4,95.1,104.9,5.46,94.85503
Oct-03,95.26012031,104.44210293,102.82783327,102.8,105.2,104.1,103.0,5.22,94.81999
Nov-03,122.56517220,99.25964905,101.91344959,99.0,100.4,96.0,100.7,5.18,95.56528
