date,Billetes.y.monedas,Ingreso.Mexico,TIIE28,TIIE91
Jan-00,157161287,94.73947889,18.55,18.69
Feb-00,150126022,94.47929105,18.15,18.12
Mar-00,152919896,99.43955828,15.77,15.86
Apr-00,158846323,94.6258533,14.74,15.10
May-00,157679406,100.4583774,15.92,16.77
Jun-00,165529481,100.8043173,17.44,17.73
Jul-00,162172830,100.0892889,15.13,15.40
Aug-00,157692618,101.9214489,16.62,16.84
Sep-00,161376238,99.51315439,16.77,17.13
Oct-00,162822860,102.3085435,17.38,17.99
Nov-00,175112072,102.7160319,18.64,18.76
Dec-00,208879867,100.5559782,18.39,18.39
Jan-01,181718698,96.52330341,18.62,18.86
Feb-01,175896436,93.09695108,18.12,18.36
Mar-01,176028084,99.63942061,17.28,17.22
Apr-01,174570670,94.94780942,16.36,16.31
May-01,178269919,99.5935278,14.09,14.22
Jun-01,180702903,99.57867649,11.64,11.90
Jul-01,178256186,99.28528118,11.10,11.60
Aug-01,178960066,100.6279726,9.29,10.22
Sep-01,182150763,96.41971639,10.95,12.19
Oct-01,181038815,100.5456464,10.34,11.16
Nov-01,193892127,100.6606982,8.90,10.21
Dec-01,225222732,98.8070006,7.94,8.87
Jan-02,206861996,94.18560656,7.97,8.44
Feb-02,202219512,91.89944541,8.99,9.06
Mar-02,215888760,95.39898774,8.47,8.61
Apr-02,201136312,99.16860385,6.85,7.12
May-02,209329007,100.4802287,7.73,7.63
Jun-02,211830242,98.72939668,8.42,8.65
Jul-02,209417287,100.7444774,8.34,8.73
Aug-02,210266104,100.5921311,7.61,7.95
Sep-02,210993609,96.93383266,8.37,8.74
Oct-02,213941744,102.4951663,8.67,9.10
Nov-02,227456663,100.7726272,8.33,8.73
Dec-02,263936897,101.0253468,8.26,8.64
Jan-03,246101980,97.23880515,9.14,9.38
Feb-03,241402098,94.75024131,9.91,9.85
Mar-03,237849553,100.1123169,9.96,10.04
Apr-03,243730756,97.88055512,8.58,8.70
May-03,246356274,100.8529885,5.92,6.74
Jun-03,240017485,100.7287369,5.79,6.19
Jul-03,242514288,101.6308294,5.30,5.70
Aug-03,242435364,99.50714771,4.97,5.54
Sep-03,238702501,98.12762244,5.05,5.50
Oct-03,247925945,103.1459407,5.60,5.93
Nov-03,260002337,101.821098,5.35,5.83
Dec-03,303614089,104.203718,6.40,6.57
Jan-04,278373115,98.92692643,5.36,5.55
Feb-04,273567978,98.04957588,5.79,6.07
Mar-04,267424553,105.4758738,6.49,6.55
Apr-04,273090802,101.2395319,6.17,6.37
May-04,276652472,104.1711954,6.95,7.31
Jun-04,278847001,105.7199451,7.02,7.59
Jul-04,281999486,104.5077609,7.11,7.63
Aug-04,277136443,104.9801728,7.50,7.84
Sep-04,280788968,103.2056095,7.78,8.06
Oct-04,285219272,105.8326726,8.05,8.46
Nov-04,294824968,108.9506789,8.60,8.85
Dec-04,340177672,108.6249761,8.93,9.03
Jan-05,316646595,102.4963818,8.97,9.03
Feb-05,307241459,101.2393655,9.47,9.59
Mar-05,311855795,104.6051682,9.78,9.98
Apr-05,306993402,106.8609917,10.01,10.22
May-05,307690103,108.021162,10.12,10.21
Jun-05,314148930,108.156445,10.01,10.01
Jul-05,315321675,106.5842256,10.01,10.03
Aug-05,306032898,109.8599301,9.98,10.03
Sep-05,312474667,107.4050083,9.65,9.45
Oct-05,316469239,110.0694705,9.41,9.25
Nov-05,327169713,112.6254534,9.17,9.14
Dec-05,380033691,112.6576789,8.72,8.64
Jan-06,354740855,109.3623971,8.41,8.16
Feb-06,346431301,105.637545,7.97,7.93
Mar-06,353043830,113.188575,7.68,7.78
Apr-06,357800129,108.4746078,7.51,7.72
May-06,358023879,115.7843642,7.32,7.59
Jun-06,369072338,115.6012021,7.33,7.68
Jul-06,368681007,112.9916588,7.31,7.57
Aug-06,363431699,115.4663071,7.30,7.48
Sep-06,367139801,111.5542874,7.31,7.50
Oct-06,368270537,116.3630132,7.31,7.65
Nov-06,395512706,116.6507148,7.30,7.62
Dec-06,449821289,115.1742238,7.34,7.60
Jan-07,409947749,112.5221176,7.41,7.67
Feb-07,399603547,108.2637805,7.46,7.67
Mar-07,409813851,116.3509621,7.46,7.68
Apr-07,400645809,111.9930683,7.47,7.61
May-07,407228336,118.5689048,7.70,7.83
Jun-07,408726848,118.8623102,7.70,7.82
Jul-07,408166585,118.116168,7.70,7.78
Aug-07,410822206,119.3731878,7.71,7.79
Sep-07,412441187,114.5898501,7.70,7.77
Oct-07,417007796,122.3376021,7.73,7.78
Nov-07,431863490,120.4529677,7.93,8.01
Dec-07,494743458,118.6376955,7.93,8.00
Jan-08,459689002,116.6203788,7.93,7.99
Feb-08,447828092,114.4788588,7.93,7.93
Mar-08,447711242,114.2068679,7.93,7.94
Apr-08,445503346,120.0172665,7.94,7.96
May-08,451301896,119.9831682,7.93,7.96
Jun-08,447614269,120.0491144,8.00,8.10
Jul-08,463302998,121.4669548,8.28,8.49
Aug-08,462796940,119.8443915,8.56,8.71
Sep-08,458615354,117.1426691,8.66,8.74
Oct-08,477702485,122.9493036,8.68,8.76
Nov-08,504670542,118.4770892,8.73,8.83
Dec-08,577542277,116.7942333,8.74,8.82
Jan-09,548576456,106.5585498,8.41,8.41
Feb-09,539231506,103.4003943,7.94,7.86
Mar-09,533819278,109.4535317,7.64,7.54
Apr-09,537331410,105.9946078,6.68,6.50
May-09,536606477,107.1803562,5.78,5.65
Jun-09,531629602,111.201892,5.26,5.18
Jul-09,541061603,113.6452616,4.92,4.91
Aug-09,529495386,111.7660674,4.89,4.95
Sep-09,524785931,111.4500836,4.91,5.00
Oct-09,534520513,116.2666108,4.91,5.00
Nov-09,547652896,116.4018542,4.93,5.08
Dec-09,631937880,117.3413587,4.93,5.07
Jan-10,600421918,109.3030629,4.91,5.06
Feb-10,584170708,107.390243,4.92,5.03
Mar-10,597193947,117.2314068,4.92,5.03
Apr-10,574362947,113.8730019,4.94,5.03
May-10,582623188,116.9584384,4.94,5.04
