"Banco de México"

"Billetes y monedas"
"Billetes y monedas en circulación"

"Fecha de consulta: 11/10/2010 03:22:20"

""

"Título","Banco de México, Obligaciones en moneda nacional,, Billetes y monedas metálicas"
"Periodo disponible","Dic 1985 - Sep 2010"
"Periodicidad","Mensual"
"Cifra","Saldos Nominales"
"Unidad","Miles de Pesos"
"Base",""
"Aviso",""
"Tipo de información","Niveles"
"Fecha","SF1"
01/12/1985,1888131
01/01/1986,1736332
01/02/1986,1772861
01/03/1986,1883723
01/04/1986,1852997
01/05/1986,1918081
01/06/1986,2007136
01/07/1986,2072096
01/08/1986,2114250
01/09/1986,2062582
01/10/1986,2255134
01/11/1986,2618074
01/12/1986,3385042
01/01/1987,3154621
01/02/1987,3265755
01/03/1987,3316849
01/04/1987,3665561
01/05/1987,3933266
01/06/1987,4017779
01/07/1987,4418928
01/08/1987,4624351
01/09/1987,4627940
01/10/1987,5346027
01/11/1987,6305650
01/12/1987,8065284
01/01/1988,7613959
01/02/1988,7894032
01/03/1988,9178873
01/04/1988,9257846
01/05/1988,9722380
01/06/1988,10718770
01/07/1988,11073639
01/08/1988,10744250
01/09/1988,10631242
01/10/1988,11020375
01/11/1988,12761861
01/12/1988,14522268
01/01/1989,12604244
01/02/1989,12551713
01/03/1989,13053863
01/04/1989,13273451
01/05/1989,13389450
01/06/1989,13736962
01/07/1989,13958751
01/08/1989,13640713
01/09/1989,13826812
01/10/1989,14671036
01/11/1989,15627125
01/12/1989,19660245
01/01/1990,16830601
01/02/1990,16769746
01/03/1990,17228836
01/04/1990,17589742
01/05/1990,18079200
01/06/1990,18514363
01/07/1990,18398424
01/08/1990,18416631
01/09/1990,18556616
01/10/1990,19934442
01/11/1990,21439714
01/12/1990,27077501
01/01/1991,23787803
01/02/1991,23681725
01/03/1991,25525309
01/04/1991,24021571
01/05/1991,25418815
01/06/1991,26040809
01/07/1991,25921206
01/08/1991,26035345
01/09/1991,25810606
01/10/1991,27024205
01/11/1991,28992066
01/12/1991,36171727
01/01/1992,32017152
01/02/1992,31440394
01/03/1992,30266993
01/04/1992,31846818
01/05/1992,32861239
01/06/1992,32397171
01/07/1992,33140138
01/08/1992,32167533
01/09/1992,30913061
01/10/1992,32223216
01/11/1992,33839651
01/12/1992,42015433
01/01/1993,36800807
01/02/1993,35783651
01/03/1993,34678291
01/04/1993,35096583
01/05/1993,36102305
01/06/1993,36054739
01/07/1993,36801210
01/08/1993,35116946
01/09/1993,35127234
01/10/1993,37142955
01/11/1993,38239535
01/12/1993,47192859
01/01/1994,42512917
01/02/1994,41896142
01/03/1994,44309644
01/04/1994,41895219
01/05/1994,42585568
01/06/1994,43381660
01/07/1994,45026467
01/08/1994,44234617
01/09/1994,43801770
01/10/1994,44757301
01/11/1994,49163395
01/12/1994,56920386
01/01/1995,51199701
01/02/1995,49790401
01/03/1995,48489697
01/04/1995,47552861
01/05/1995,46208179
01/06/1995,47023826
01/07/1995,47948195
01/08/1995,47695904
01/09/1995,47229417
01/10/1995,48479548
01/11/1995,53630092
01/12/1995,66808632
01/01/1996,57939380
01/02/1996,57416223
01/03/1996,59381972
01/04/1996,57020629
01/05/1996,60448057
01/06/1996,61592260
01/07/1996,61319811
01/08/1996,60961975
01/09/1996,61285735
01/10/1996,64179599
01/11/1996,69354352
01/12/1996,83991071
01/01/1997,76721284
01/02/1997,75966700
01/03/1997,79259987
01/04/1997,77957542
01/05/1997,80683760
01/06/1997,80338598
01/07/1997,82743572
01/08/1997,82412963
01/09/1997,80640215
01/10/1997,84679228
01/11/1997,91062806
01/12/1997,108735629
01/01/1998,98998035
01/02/1998,97929388
01/03/1998,95415386
01/04/1998,98682378
01/05/1998,101306512
01/06/1998,99023172
01/07/1998,102686377
01/08/1998,101366131
01/09/1998,99913243
01/10/1998,104952696
01/11/1998,108649728
01/12/1998,131108754
01/01/1999,121597697
01/02/1999,118703399
01/03/1999,124616058
01/04/1999,118254068
01/05/1999,122188242
01/06/1999,121793638
01/07/1999,127277755
01/08/1999,125463460
01/09/1999,127433524
01/10/1999,133978825
01/11/1999,140288088
01/12/1999,188718250
01/01/2000,157161287
01/02/2000,150126022
01/03/2000,152919896
01/04/2000,158846323
01/05/2000,157679406
01/06/2000,165529481
01/07/2000,162172830
01/08/2000,157692618
01/09/2000,161376238
01/10/2000,162822860
01/11/2000,175112072
01/12/2000,208879867
01/01/2001,181718698
01/02/2001,175896436
01/03/2001,176028084
01/04/2001,174570670
01/05/2001,178269919
01/06/2001,180702903
01/07/2001,178256186
01/08/2001,178960066
01/09/2001,182150763
01/10/2001,181038815
01/11/2001,193892127
01/12/2001,225222732
01/01/2002,206861996
01/02/2002,202219512
01/03/2002,215888760
01/04/2002,201136312
01/05/2002,209329007
01/06/2002,211830242
01/07/2002,209417287
01/08/2002,210266104
01/09/2002,210993609
01/10/2002,213941744
01/11/2002,227456663
01/12/2002,263936897
01/01/2003,246101980
01/02/2003,241402098
01/03/2003,237849553
01/04/2003,243730756
01/05/2003,246356274
01/06/2003,240017485
01/07/2003,242514288
01/08/2003,242435364
01/09/2003,238702501
01/10/2003,247925945
01/11/2003,260002337
01/12/2003,303614089
01/01/2004,278373115
01/02/2004,273567978
01/03/2004,267424553
01/04/2004,273090802
01/05/2004,276652472
01/06/2004,278847001
01/07/2004,281999486
01/08/2004,277136443
01/09/2004,280788968
01/10/2004,285219272
01/11/2004,294824968
01/12/2004,340177672
01/01/2005,316646595
01/02/2005,307241459
01/03/2005,311855795
01/04/2005,306993402
01/05/2005,307690103
01/06/2005,314148930
01/07/2005,315321675
01/08/2005,306032898
01/09/2005,312474667
01/10/2005,316469239
01/11/2005,327169713
01/12/2005,380033691
01/01/2006,354740855
01/02/2006,346431301
01/03/2006,353043830
01/04/2006,357800129
01/05/2006,358023879
01/06/2006,369072338
01/07/2006,368681007
01/08/2006,363431699
01/09/2006,367139801
01/10/2006,368270537
01/11/2006,395512706
01/12/2006,449821289
01/01/2007,409947749
01/02/2007,399603547
01/03/2007,409813851
01/04/2007,400645809
01/05/2007,407228336
01/06/2007,408726848
01/07/2007,408166585
01/08/2007,410822206
01/09/2007,412441187
01/10/2007,417007796
01/11/2007,431863490
01/12/2007,494743458
01/01/2008,459689002
01/02/2008,447828092
01/03/2008,447711242
01/04/2008,445503346
01/05/2008,451301896
01/06/2008,447614269
01/07/2008,463302998
01/08/2008,462796940
01/09/2008,458615354
01/10/2008,477702485
01/11/2008,504670542
01/12/2008,577542277
01/01/2009,548576456
01/02/2009,539231506
01/03/2009,533819278
01/04/2009,537331410
01/05/2009,536606477
01/06/2009,531629602
01/07/2009,541061603
01/08/2009,529495386
01/09/2009,524785931
01/10/2009,534520513
01/11/2009,547652896
01/12/2009,631937880
01/01/2010,600421918
01/02/2010,584170708
01/03/2010,597193947
01/04/2010,574362947
01/05/2010,582623188
01/06/2010,577815451
01/07/2010,593182402
01/08/2010,584119067
01/09/2010,588091817

