"Banco de México"

"Índices de Precios al Consumidor y UDIS"
"4. Centro norte"

"Fecha de consulta: 11/10/2010 03:10:27"

""

"Título","IPC Por objeto del gasto Región Centro Norte, I n d i c e G e n e r a l"
"Periodo disponible","Ene 1982 - Sep 2010"
"Periodicidad","Mensual"
"Cifra","Indices"
"Unidad","Sin Unidad"
"Base","2Q Jun 2002"
"Aviso",""
"Tipo de información","Índices"
"Fecha","SP8983"
01/01/1982,0.16247327
01/02/1982,0.16872114
01/03/1982,0.17483992
01/04/1982,0.18282192
01/05/1982,0.19193100
01/06/1982,0.20141483
01/07/1982,0.21272832
01/08/1982,0.23580454
01/09/1982,0.24806513
01/10/1982,0.26079942
01/11/1982,0.27390846
01/12/1982,0.30271763
01/01/1983,0.33470674
01/02/1983,0.35312934
01/03/1983,0.36962559
01/04/1983,0.39455337
01/05/1983,0.41477720
01/06/1983,0.43301725
01/07/1983,0.45691547
01/08/1983,0.47545038
01/09/1983,0.48876470
01/10/1983,0.50498231
01/11/1983,0.53377812
01/12/1983,0.55467353
01/01/1984,0.59145361
01/02/1984,0.62880235
01/03/1984,0.65950458
01/04/1984,0.68850710
01/05/1984,0.71187248
01/06/1984,0.73939222
01/07/1984,0.76723779
01/08/1984,0.79269471
01/09/1984,0.81611241
01/10/1984,0.84392586
01/11/1984,0.87397357
01/12/1984,0.91185884
01/01/1985,0.97059630
01/02/1985,1.01363846
01/03/1985,1.05723250
01/04/1985,1.09236745
01/05/1985,1.11810955
01/06/1985,1.14407542
01/07/1985,1.18340565
01/08/1985,1.23631975
01/09/1985,1.27872728
01/10/1985,1.32307992
01/11/1985,1.38671468
01/12/1985,1.48892563
01/01/1986,1.62900422
01/02/1986,1.69468815
01/03/1986,1.76099277
01/04/1986,1.85252428
01/05/1986,1.96296431
01/06/1986,2.10385665
01/07/1986,2.21892557
01/08/1986,2.37323886
01/09/1986,2.52462127
01/10/1986,2.68077759
01/11/1986,2.83445312
01/12/1986,3.05889583
01/01/1987,3.33187140
01/02/1987,3.58534762
01/03/1987,3.80306081
01/04/1987,4.15405028
01/05/1987,4.47185133
01/06/1987,4.82693856
01/07/1987,5.21025834
01/08/1987,5.65969480
01/09/1987,6.02360110
01/10/1987,6.54687322
01/11/1987,7.03239429
01/12/1987,8.00744888
01/01/1988,9.21861878
01/02/1988,9.95662290
01/03/1988,10.49826445
01/04/1988,10.82945033
01/05/1988,11.07397698
01/06/1988,11.31442463
01/07/1988,11.53538259
01/08/1988,11.64474444
01/09/1988,11.71067744
01/10/1988,11.85305968
01/11/1988,12.01025692
01/12/1988,12.25825524
01/01/1989,12.68393706
01/02/1989,12.82095796
01/03/1989,12.94234640
01/04/1989,13.16613942
01/05/1989,13.35408468
01/06/1989,13.51089069
01/07/1989,13.69385506
01/08/1989,13.81982377
01/09/1989,13.92978442
01/10/1989,14.11762420
01/11/1989,14.27629370
01/12/1989,14.70910936
01/01/1990,15.34787207
01/02/1990,15.70998738
01/03/1990,15.96579766
01/04/1990,16.21577719
01/05/1990,16.48114210
01/06/1990,16.81581159
01/07/1990,17.10358910
01/08/1990,17.39936765
01/09/1990,17.65071935
01/10/1990,17.88750626
01/11/1990,18.34783056
01/12/1990,18.98169256
01/01/1991,19.46313434
01/02/1991,19.83995178
01/03/1991,20.12978101
01/04/1991,20.36697393
01/05/1991,20.57554563
01/06/1991,20.80409577
01/07/1991,20.96246105
01/08/1991,21.10756403
01/09/1991,21.33226321
01/10/1991,21.56277694
01/11/1991,22.05395389
01/12/1991,22.57686862
01/01/1992,22.99859825
01/02/1992,23.27049280
01/03/1992,23.51884994
01/04/1992,23.74162136
01/05/1992,23.89841657
01/06/1992,24.06522047
01/07/1992,24.23180174
01/08/1992,24.41452045
01/09/1992,24.62300713
01/10/1992,24.80083167
01/11/1992,24.99840974
01/12/1992,25.33530696
01/01/1993,25.66881184
01/02/1993,25.88376390
01/03/1993,26.03256915
01/04/1993,26.20509633
01/05/1993,26.37697922
01/06/1993,26.52282345
01/07/1993,26.65208130
01/08/1993,26.79407570
01/09/1993,26.98922190
01/10/1993,27.08169881
01/11/1993,27.18824096
01/12/1993,27.38876612
01/01/1994,27.62198980
01/02/1994,27.78030730
01/03/1994,27.91589035
01/04/1994,28.04067909
01/05/1994,28.17597667
01/06/1994,28.33595978
01/07/1994,28.46063764
01/08/1994,28.60255044
01/09/1994,28.82022667
01/10/1994,28.96970777
01/11/1994,29.11304620
01/12/1994,29.35903345
01/01/1995,30.41847690
