"Banco de México"

"Índices de Precios al Consumidor y UDIS"
"5. Centro sur"

"Fecha de consulta: 11/10/2010 03:11:04"

""

"Título","IPC Por objeto del gasto Región Centro Sur, I n d i c e G e n e r a l"
"Periodo disponible","Ene 1982 - Sep 2010"
"Periodicidad","Mensual"
"Cifra","Indices"
"Unidad","Sin Unidad"
"Base","2Q Jun 2002"
"Aviso",""
"Tipo de información","Índices"
"Fecha","SP8992"
01/01/1982,0.16668730
01/02/1982,0.17342277
01/03/1982,0.17930712
01/04/1982,0.18980663
01/05/1982,0.20103203
01/06/1982,0.21067024
01/07/1982,0.22103972
01/08/1982,0.24220438
01/09/1982,0.25542402
01/10/1982,0.26880676
01/11/1982,0.28240716
01/12/1982,0.31140094
01/01/1983,0.34389616
01/02/1983,0.36019182
01/03/1983,0.37951177
01/04/1983,0.40451990
01/05/1983,0.42377964
01/06/1983,0.44161133
01/07/1983,0.46319548
01/08/1983,0.47975826
01/09/1983,0.49527290
01/10/1983,0.51086896
01/11/1983,0.53796997
01/12/1983,0.56243566
01/01/1984,0.59738417
01/02/1984,0.62942372
01/03/1984,0.66089878
01/04/1984,0.68953328
01/05/1984,0.71437633
01/06/1984,0.74183012
01/07/1984,0.76634329
01/08/1984,0.78874435
01/09/1984,0.81042347
01/10/1984,0.83664340
01/11/1984,0.86690920
01/12/1984,0.90430337
01/01/1985,0.96913466
01/02/1985,1.00745995
01/03/1985,1.04214021
01/04/1985,1.07736065
01/05/1985,1.10526049
01/06/1985,1.13054649
01/07/1985,1.16397056
01/08/1985,1.21828142
01/09/1985,1.26530900
01/10/1985,1.31331801
01/11/1985,1.37753986
01/12/1985,1.46299563
01/01/1986,1.60386721
01/02/1986,1.66280793
01/03/1986,1.74404258
01/04/1986,1.83942120
01/05/1986,1.96451950
01/06/1986,2.10374595
01/07/1986,2.20382849
01/08/1986,2.35335487
01/09/1986,2.50034288
01/10/1986,2.67246141
01/11/1986,2.83400835
01/12/1986,3.07153792
01/01/1987,3.31074910
01/02/1987,3.55477586
01/03/1987,3.82036272
01/04/1987,4.15663639
01/05/1987,4.44302666
01/06/1987,4.73901444
01/07/1987,5.10270289
01/08/1987,5.58057744
01/09/1987,5.94971747
01/10/1987,6.47007652
01/11/1987,6.93994075
01/12/1987,8.06772555
01/01/1988,9.27730468
01/02/1988,10.12638699
01/03/1988,10.60645817
01/04/1988,11.01628633
01/05/1988,11.29128103
01/06/1988,11.52559552
01/07/1988,11.75878243
01/08/1988,11.81182467
01/09/1988,11.79592813
01/10/1988,11.86119134
01/11/1988,12.00880970
01/12/1988,12.22962894
01/01/1989,12.47192886
01/02/1989,12.63525719
01/03/1989,12.77895265
01/04/1989,12.96616323
01/05/1989,13.14793099
01/06/1989,13.30788848
01/07/1989,13.38901571
01/08/1989,13.48554396
01/09/1989,13.59349123
01/10/1989,13.79475788
01/11/1989,13.97818124
01/12/1989,14.50655626
01/01/1990,15.22081697
01/02/1990,15.56966552
01/03/1990,15.82478397
01/04/1990,16.01459116
01/05/1990,16.28275428
01/06/1990,16.59952342
01/07/1990,16.89449471
01/08/1990,17.20383810
01/09/1990,17.46228443
01/10/1990,17.73543668
01/11/1990,18.25772637
01/12/1990,18.84268435
01/01/1991,19.37681425
01/02/1991,19.66732274
01/03/1991,19.93553307
01/04/1991,20.18333489
01/05/1991,20.40262799
01/06/1991,20.63836628
01/07/1991,20.82742383
01/08/1991,20.99096557
01/09/1991,21.18927407
01/10/1991,21.47499187
01/11/1991,21.94778372
01/12/1991,22.38088611
01/01/1992,22.77363392
01/02/1992,23.09050510
01/03/1992,23.34660923
01/04/1992,23.54105249
01/05/1992,23.68587298
01/06/1992,23.81367389
01/07/1992,23.95525555
01/08/1992,24.09699352
01/09/1992,24.28150149
01/10/1992,24.49084600
01/11/1992,24.71369736
01/12/1992,25.06933281
01/01/1993,25.36786236
01/02/1993,25.55876547
01/03/1993,25.73702727
01/04/1993,25.90405236
01/05/1993,26.08282552
01/06/1993,26.26796101
01/07/1993,26.42740263
01/08/1993,26.56106047
01/09/1993,26.73333220
01/10/1993,26.83353403
01/11/1993,26.95407201
01/12/1993,27.19013989
01/01/1994,27.40616617
01/02/1994,27.54623526
01/03/1994,27.68897840
01/04/1994,27.85259392
01/05/1994,28.01259862
01/06/1994,28.16893566
01/07/1994,28.31575831
01/08/1994,28.47086800
01/09/1994,28.67976759
01/10/1994,28.85239860
01/11/1994,28.99095907
01/12/1994,29.21913650
01/01/1995,30.22706908
