"Banco de México"

"Índices de Precios al Consumidor y UDIS"
"1. Frontera norte"

"Fecha de consulta: 11/10/2010 03:07:14"

""

"Título","IPC Por objeto del gasto Región Frontera Norte, I n d i c e G e n e r a l"
"Periodo disponible","Ene 1982 - Sep 2010"
"Periodicidad","Mensual"
"Cifra","Indices"
"Unidad","Sin Unidad"
"Base","2Q Jun 2002"
"Aviso",""
"Tipo de información","Índices"
"Fecha","SP8956"
01/01/1982,0.12786768
01/02/1982,0.13482165
01/03/1982,0.14810989
01/04/1982,0.15587591
01/05/1982,0.16325776
01/06/1982,0.17052926
01/07/1982,0.17804762
01/08/1982,0.21354993
01/09/1982,0.22886561
01/10/1982,0.24202759
01/11/1982,0.25771341
01/12/1982,0.28666967
01/01/1983,0.32012216
01/02/1983,0.33554035
01/03/1983,0.35175198
01/04/1983,0.37662613
01/05/1983,0.39254639
01/06/1983,0.40755424
01/07/1983,0.42804519
01/08/1983,0.44703884
01/09/1983,0.46058500
01/10/1983,0.47897757
01/11/1983,0.50562042
01/12/1983,0.52674267
01/01/1984,0.55783212
01/02/1984,0.58380806
01/03/1984,0.61402637
01/04/1984,0.64327103
01/05/1984,0.66668564
01/06/1984,0.68827651
01/07/1984,0.71445938
01/08/1984,0.73432713
01/09/1984,0.75617537
01/10/1984,0.78517371
01/11/1984,0.81238312
01/12/1984,0.84250241
01/01/1985,0.89900153
01/02/1985,0.93072685
01/03/1985,0.97755877
01/04/1985,1.00866818
01/05/1985,1.03934000
01/06/1985,1.06485434
01/07/1985,1.11369265
01/08/1985,1.16061387
01/09/1985,1.20464272
01/10/1985,1.26560407
01/11/1985,1.32432298
01/12/1985,1.41745884
01/01/1986,1.54546303
01/02/1986,1.63036318
01/03/1986,1.72382981
01/04/1986,1.81359931
01/05/1986,1.89651330
01/06/1986,2.01874976
01/07/1986,2.12422235
01/08/1986,2.29053353
01/09/1986,2.41894994
01/10/1986,2.56863295
01/11/1986,2.76348276
01/12/1986,2.97245741
01/01/1987,3.20794030
01/02/1987,3.44404558
01/03/1987,3.69550107
01/04/1987,4.04138578
01/05/1987,4.34187355
01/06/1987,4.65801800
01/07/1987,5.06271009
01/08/1987,5.44320925
01/09/1987,5.81771109
01/10/1987,6.26861406
01/11/1987,6.87201632
01/12/1987,7.87130058
01/01/1988,9.11987315
01/02/1988,9.94106392
01/03/1988,10.44057211
01/04/1988,10.76877674
01/05/1988,10.96831487
01/06/1988,11.18164034
01/07/1988,11.35240810
01/08/1988,11.51951946
01/09/1988,11.66304463
01/10/1988,11.77798773
01/11/1988,11.93924342
01/12/1988,12.12970275
01/01/1989,12.46025344
01/02/1989,12.66653645
01/03/1989,12.81803861
01/04/1989,12.98990385
01/05/1989,13.12528719
01/06/1989,13.26523798
01/07/1989,13.37537082
01/08/1989,13.51868043
01/09/1989,13.64032067
01/10/1989,13.84069135
01/11/1989,14.00581575
01/12/1989,14.40219901
01/01/1990,14.94354163
01/02/1990,15.28028063
01/03/1990,15.52883270
01/04/1990,15.71533780
01/05/1990,15.97202657
01/06/1990,16.34789595
01/07/1990,16.61416235
01/08/1990,16.89806214
01/09/1990,17.14766987
01/10/1990,17.46081270
01/11/1990,17.95118139
01/12/1990,18.46581532
01/01/1991,18.88113234
01/02/1991,19.19730134
01/03/1991,19.45260207
01/04/1991,19.62999547
01/05/1991,19.83392623
01/06/1991,20.05304506
01/07/1991,20.20866899
01/08/1991,20.34205080
01/09/1991,20.51450794
01/10/1991,20.73935592
01/11/1991,21.14898264
01/12/1991,21.53312659
01/01/1992,21.87905985
01/02/1992,22.12785203
01/03/1992,22.33973173
01/04/1992,22.56603006
01/05/1992,22.73501481
01/06/1992,22.92264626
01/07/1992,23.10430603
01/08/1992,23.26619868
01/09/1992,23.46608240
01/10/1992,23.62627379
01/11/1992,23.81728591
01/12/1992,24.07129410
01/01/1993,24.31721901
01/02/1993,24.48297983
01/03/1993,24.64831978
01/04/1993,24.77759762
01/05/1993,24.90139991
01/06/1993,25.03241112
01/07/1993,25.13712723
01/08/1993,25.28881770
01/09/1993,25.47798800
01/10/1993,25.60073759
01/11/1993,25.78296742
01/12/1993,26.00756989
01/01/1994,26.21840444
01/02/1994,26.35321583
01/03/1994,26.49492886
01/04/1994,26.63173261
01/05/1994,26.74045880
01/06/1994,26.85878230
01/07/1994,26.99272688
01/08/1994,27.12026407
01/09/1994,27.31742944
01/10/1994,27.47122234
01/11/1994,27.62550328
01/12/1994,27.91692089
01/01/1995,29.58674386
