"Banco de México"

"Producción"
"Indicador global de la actividad económica (IGAE) Base 2003"

"Fecha de consulta: 11/10/2010 03:30:34"

""

"Título","Indicador global de la actividad económica (IGAE) Base 2003, Serie original","Indicador global de la actividad económica (IGAE) Base 2003, Serie original","Indicador global de la actividad económica (IGAE) Base 2003, Serie original"
"Periodo disponible","Ene 1993 - Jul 2010","Ene 1993 - Jul 2010","Ene 1993 - Jul 2010"
"Periodicidad","Mensual","Mensual","Mensual"
"Cifra","Indices","Indices","Indices"
"Unidad","Sin Unidad","Sin Unidad","Sin Unidad"
"Base","2003","2003","2003"
"Aviso","","",""
"Tipo de información","Niveles","Niveles","Niveles"
"Fecha","SR2632","SR2635","SR2638"
01/01/1993,70.27726791,75.59570075,73.60155647
01/02/1993,67.60065062,73.36365767,74.87987934
01/03/1993,88.99274884,79.83964991,78.59555611
01/04/1993,70.35549996,74.00888416,76.14825203
01/05/1993,75.60318165,77.38345998,77.25957563
01/06/1993,79.85190175,76.15211404,78.25044937
01/07/1993,86.19132608,75.48764742,79.69014566
01/08/1993,69.24694791,76.20120087,78.53472392
01/09/1993,62.01063244,75.67684395,77.87689910
01/10/1993,75.43099573,78.97523508,79.46569825
01/11/1993,94.34207821,78.98784029,80.07170319
01/12/1993,93.36137867,78.94952168,83.06197292
01/01/1994,69.61876856,77.53753923,77.26894530
01/02/1994,66.91440888,74.26346478,78.06464469
01/03/1994,92.15774653,80.47908997,81.58569092
01/04/1994,78.13183913,79.54232876,80.56994185
01/05/1994,82.06067744,80.41924581,81.99716105
01/06/1994,98.92440356,81.24689251,82.99679306
01/07/1994,71.19188004,79.86510645,82.58781473
01/08/1994,74.47893139,82.82896527,82.61433608
01/09/1994,61.91796166,80.97935893,82.25726724
01/10/1994,86.70698518,84.14163357,84.31155135
01/11/1994,97.59934127,83.68763153,86.45786462
01/12/1994,92.09762724,80.44206222,86.71120580
01/01/1995,78.16817649,77.98556239,79.78678166
01/02/1995,73.07773517,70.20442050,76.99656957
01/03/1995,89.67561550,74.82778581,79.52238954
01/04/1995,78.07510071,68.92693792,74.37595274
01/05/1995,73.17637954,72.37848797,75.66636046
01/06/1995,87.78042766,71.81374416,76.06031241
01/07/1995,75.98908261,71.01891443,75.94924670
01/08/1995,91.16335592,74.14141065,77.12962513
01/09/1995,70.47641530,72.83003864,75.68469886
01/10/1995,80.56039338,72.92366148,77.60205554
01/11/1995,93.99990186,76.36836275,79.42394442
01/12/1995,105.29629812,77.38558711,81.57502592
01/01/1996,74.31600252,79.05646607,77.00561460
01/02/1996,84.57542474,75.56946014,76.64275429
01/03/1996,99.34563614,78.81785430,78.69063095
01/04/1996,72.40998840,75.68650021,78.39471826
01/05/1996,83.03010605,80.88985717,79.10748311
01/06/1996,94.04843983,79.57291281,78.71782679
01/07/1996,85.96594543,81.43353728,80.59274200
01/08/1996,76.07434351,82.13822779,80.80134833
01/09/1996,67.56081777,80.28689505,79.39735813
01/10/1996,79.87638614,86.13947228,82.96651841
01/11/1996,110.76095785,85.05388639,83.57345034
01/12/1996,96.06957196,84.45268551,86.06568090
01/01/1997,79.75388782,84.43259537,80.36196312
01/02/1997,84.37972990,80.31781863,79.71987342
01/03/1997,100.59371795,82.53648300,81.08217186
01/04/1997,79.46875509,86.75568059,85.19635069
01/05/1997,95.17707494,89.22053156,83.63293383
01/06/1997,94.11129094,88.90362943,84.56610058
01/07/1997,76.07840773,90.96993154,86.16746641
01/08/1997,78.05768210,91.23019160,85.62075804
01/09/1997,69.53050705,90.79264392,84.91401974
01/10/1997,93.77534954,95.76000399,88.77588523
01/11/1997,104.89838668,92.65405687,88.66719637
01/12/1997,89.37550376,91.26238711,91.99018137
01/01/1998,73.90604444,91.04060677,85.00075539
01/02/1998,89.29276210,87.73729166,84.43434087
01/03/1998,108.64897399,95.18224467,89.25059691
01/04/1998,76.40380881,89.75070995,87.89790347
01/05/1998,84.87005806,94.65227247,87.92792235
01/06/1998,96.22221053,94.51578181,88.80593033
01/07/1998,89.44419021,96.43804733,90.17630810
01/08/1998,80.72882658,95.81505027,89.37968977
01/09/1998,74.26003090,95.06434803,88.59188060
01/10/1998,89.17106165,97.71785385,90.51670836
01/11/1998,106.15494742,96.01069061,90.74414750
01/12/1998,97.12837048,95.22212905,93.71200050
01/01/1999,94.90458225,94.52288461,85.74149353
01/02/1999,86.84675650,89.83287431,86.39048216
01/03/1999,105.04439757,97.71263423,91.81658797
01/04/1999,76.57376878,92.49765393,89.87188749
01/05/1999,99.82341747,96.83545406,90.41389014
01/06/1999,89.50042578,98.33297657,92.50711386
01/07/1999,92.28374390,99.71122935,92.85280328
01/08/1999,82.34931364,99.09564085,92.93671600
01/09/1999,77.17064671,98.58341866,92.22071617
01/10/1999,92.75370994,99.48803601,94.66620291
01/11/1999,107.70950120,100.22523816,96.96543001
01/12/1999,103.98102491,98.68714738,99.16065300
01/01/2000,100.00834627,99.42068501,92.30894820
01/02/2000,83.10377720,96.70522853,94.44545081
01/03/2000,97.37155060,103.68962048,97.54987455
01/04/2000,82.71630502,96.09980058,95.01838030
01/05/2000,100.50942461,104.75286545,98.34584515
01/06/2000,97.28982733,105.22018806,98.84105553
01/07/2000,91.46092503,104.36002027,98.52116841
01/08/2000,80.52659135,107.54409907,100.31125725
01/09/2000,78.56092135,104.13165052,98.50031518
01/10/2000,96.56036783,105.60957081,100.98703606
01/11/2000,103.19754998,103.35708609,102.33502124
01/12/2000,103.63926228,97.54140032,102.11289026
01/01/2001,92.29650555,99.76347396,95.21685915
01/02/2001,81.06529480,93.77114117,93.83189423
01/03/2001,98.50542433,101.10090013,99.05598296
01/04/2001,86.43637976,92.87573352,96.92509542
01/05/2001,102.04146587,101.30478550,98.64933150
01/06/2001,109.23056252,101.23278823,98.21123343
01/07/2001,96.10259049,101.70195708,98.29935005
01/08/2001,91.42862190,103.86870187,99.53308337
01/09/2001,85.45199780,99.58867010,95.59409777
01/10/2001,101.78411583,102.05630260,99.76318140
