"Banco de México"

"Producción"
"Índice de volumen de la producción industrial (Resumen)"

"Fecha de consulta: 11/10/2010 03:29:26"

""

"Título","Índice de volumen de la producción industrial, Original, Minería","Índice de volumen de la producción industrial, Original, Industrias manufactureras","Índice de volumen de la producción industrial, Original, Construcción","Índice de volumen de la producción industrial, Original, Electricidad, agua y suministro de gas por ductos al consumidor final"
"Periodo disponible","Ene 1993 - Jul 2010","Ene 1993 - Jul 2010","Ene 1993 - Jul 2010","Ene 1993 - Jul 2010"
"Periodicidad","Mensual","Mensual","Mensual","Mensual"
"Cifra","Indices","Indices","Indices","Indices"
"Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad"
"Base","2003=100","2003=100","2003=100","2003=100"
"Aviso","","","",""
"Tipo de información","Niveles","Niveles","Niveles","Niveles"
"Fecha","SR2387","SR2388","SR2389","SR2390"
01/01/1993,83.4,74.0,74.5,67.0
01/02/1993,75.9,73.6,71.8,66.1
01/03/1993,77.8,80.8,81.8,66.6
01/04/1993,81.3,72.6,72.4,68.3
01/05/1993,83.7,75.6,77.9,70.7
01/06/1993,81.2,74.6,76.8,71.4
01/07/1993,83.1,72.4,77.6,73.8
01/08/1993,83.4,73.3,78.2,73.7
01/09/1993,80.8,73.8,76.5,75.2
01/10/1993,83.8,77.0,81.0,73.5
01/11/1993,81.7,77.8,81.3,71.7
01/12/1993,84.2,76.3,83.4,70.2
01/01/1994,85.2,73.9,82.4,69.4
01/02/1994,76.5,72.3,78.9,68.2
01/03/1994,78.5,78.7,89.5,70.1
01/04/1994,82.4,77.0,85.5,73.2
01/05/1994,84.8,77.2,86.7,74.8
01/06/1994,82.0,78.8,88.6,76.6
01/07/1994,84.1,75.2,89.2,80.2
01/08/1994,84.4,79.6,91.3,80.1
01/09/1994,81.5,78.4,87.8,80.8
01/10/1994,85.1,80.8,93.6,80.0
01/11/1994,81.8,82.9,88.9,77.8
01/12/1994,84.5,76.8,88.0,76.0
01/01/1995,84.8,76.6,76.4,73.7
01/02/1995,75.1,72.1,59.6,72.4
01/03/1995,77.9,76.7,66.9,72.5
01/04/1995,81.3,67.1,61.4,74.2
01/05/1995,84.5,72.2,60.7,76.7
01/06/1995,82.4,71.4,61.7,78.1
01/07/1995,85.3,69.1,61.2,80.3
01/08/1995,86.1,73.5,63.4,80.8
01/09/1995,84.4,72.2,61.9,81.7
01/10/1995,66.0,76.3,68.2,80.3
