"Banco de México"

"Índices de Precios al Consumidor y UDIS"
"7. Area Metropolitana de la Cd. de México"

"Fecha de consulta: 11/10/2010 03:12:17"

""

"Título","IPC Por objeto del gasto Región Metropolitana, I n d i c e G e n e r a l"
"Periodo disponible","Ene 1969 - Sep 2010"
"Periodicidad","Mensual"
"Cifra","Indices"
"Unidad","Sin Unidad"
"Base","2Q Jun 2002"
"Aviso",""
"Tipo de información","Índices"
"Fecha","SP28"
01/01/1973,0.02926504
01/02/1973,0.02941473
01/03/1973,0.02970049
01/04/1973,0.03005430
01/05/1973,0.03036728
01/06/1973,0.03071836
01/07/1973,0.03136881
01/08/1973,0.03160287
01/09/1973,0.03234314
01/10/1973,0.03262074
01/11/1973,0.03299631
01/12/1973,0.03464286
01/01/1974,0.03561174
01/02/1974,0.03618871
01/03/1974,0.03630574
01/04/1974,0.03689360
01/05/1974,0.03719842
01/06/1974,0.03736171
01/07/1974,0.03827071
01/08/1974,0.03868984
01/09/1974,0.03922326
01/10/1974,0.04028195
01/11/1974,0.04146584
01/12/1974,0.04184414
01/01/1975,0.04252181
01/02/1975,0.04264428
01/03/1975,0.04278036
01/04/1975,0.04327296
01/05/1975,0.04371930
01/06/1975,0.04460381
01/07/1975,0.04497666
01/08/1975,0.04555636
01/09/1975,0.04604896
01/10/1975,0.04640821
01/11/1975,0.04697974
01/12/1975,0.04739886
01/01/1976,0.04816906
01/02/1976,0.04912706
01/03/1976,0.04974757
01/04/1976,0.05001429
01/05/1976,0.05038986
01/06/1976,0.05054499
01/07/1976,0.05071373
01/08/1976,0.05136963
01/09/1976,0.05229224
01/10/1976,0.05466273
01/11/1976,0.05747955
01/12/1976,0.05879952
01/01/1977,0.06030182
01/02/1977,0.06182046
01/03/1977,0.06272946
01/04/1977,0.06334726
01/05/1977,0.06391335
01/06/1977,0.06482507
01/07/1977,0.06550546
01/08/1977,0.06707037
01/09/1977,0.06813450
01/10/1977,0.06904350
01/11/1977,0.06999061
01/12/1977,0.07056758
01/01/1978,0.07233660
01/02/1978,0.07304149
01/03/1978,0.07373821
01/04/1978,0.07459551
01/05/1978,0.07509628
01/06/1978,0.07593180
01/07/1978,0.07723543
01/08/1978,0.07816348
01/09/1978,0.07863704
01/10/1978,0.07950522
01/11/1978,0.08080885
01/12/1978,0.08138854
01/01/1979,0.08415638
01/02/1979,0.08550955
01/03/1979,0.08685264
01/04/1979,0.08748459
01/05/1979,0.08837917
01/06/1979,0.08920380
01/07/1979,0.09017187
01/08/1979,0.09152040
01/09/1979,0.09292718
01/10/1979,0.09444092
01/11/1979,0.09570400
01/12/1979,0.09759930
01/01/1980,0.10250248
01/02/1980,0.10463511
01/03/1980,0.10728809
01/04/1980,0.10885653
01/05/1980,0.11055561
01/06/1980,0.11274321
01/07/1980,0.11614435
01/08/1980,0.11820676
01/09/1980,0.11953706
01/10/1980,0.12124811
01/11/1980,0.12327160
01/12/1980,0.12632411
01/01/1981,0.13095241
01/02/1981,0.13425613
01/03/1981,0.13741233
01/04/1981,0.14079660
01/05/1981,0.14356308
01/06/1981,0.14571067
01/07/1981,0.14812579
01/08/1981,0.15091213
01/09/1981,0.15357410
01/10/1981,0.15675779
01/11/1981,0.15989250
01/12/1981,0.16461660
01/01/1982,0.17252439
01/02/1982,0.17915686
01/03/1982,0.18442391
