"Banco de México"

"Índices de Precios al Consumidor y UDIS"
"3. Noreste"

"Fecha de consulta: 11/10/2010 03:08:23"

""

"Título","IPC Por objeto del gasto Región Noreste, I n d i c e G e n e r a l"
"Periodo disponible","Ene 1982 - Sep 2010"
"Periodicidad","Mensual"
"Cifra","Indices"
"Unidad","Sin Unidad"
"Base","2Q Jun 2002"
"Aviso",""
"Tipo de información","Índices"
"Fecha","SP8974"
01/01/1982,0.16432323
01/02/1982,0.17053475
01/03/1982,0.17564683
01/04/1982,0.18566881
01/05/1982,0.19528083
01/06/1982,0.20441589
01/07/1982,0.21494053
01/08/1982,0.23842717
01/09/1982,0.25227720
01/10/1982,0.26506969
01/11/1982,0.27940535
01/12/1982,0.31278551
01/01/1983,0.34839525
01/02/1983,0.36531013
01/03/1983,0.38327446
01/04/1983,0.40945592
01/05/1983,0.42782378
01/06/1983,0.44379952
01/07/1983,0.46753050
01/08/1983,0.48892606
01/09/1983,0.50328267
01/10/1983,0.52075494
01/11/1983,0.55475309
01/12/1983,0.57894876
01/01/1984,0.61525190
01/02/1984,0.64822155
01/03/1984,0.67567866
01/04/1984,0.71088153
01/05/1984,0.73363260
01/06/1984,0.75938932
01/07/1984,0.78224539
01/08/1984,0.80489789
01/09/1984,0.83164346
01/10/1984,0.86017683
01/11/1984,0.89630990
01/12/1984,0.92656852
01/01/1985,1.00130497
01/02/1985,1.04027501
01/03/1985,1.07862036
01/04/1985,1.11255261
01/05/1985,1.13790049
01/06/1985,1.17039819
01/07/1985,1.20268143
01/08/1985,1.25367768
01/09/1985,1.30271242
01/10/1985,1.36678405
01/11/1985,1.42114925
01/12/1985,1.51284471
01/01/1986,1.65031989
01/02/1986,1.71340601
01/03/1986,1.79219309
01/04/1986,1.90622017
01/05/1986,2.00942772
01/06/1986,2.13260215
01/07/1986,2.24626089
01/08/1986,2.41150958
01/09/1986,2.56766482
01/10/1986,2.71996213
01/11/1986,2.89715772
01/12/1986,3.09554334
01/01/1987,3.36431206
01/02/1987,3.62727867
01/03/1987,3.88034058
01/04/1987,4.22742695
01/05/1987,4.52744064
01/06/1987,4.84191341
01/07/1987,5.22573773
01/08/1987,5.64650049
01/09/1987,6.07251021
01/10/1987,6.60985414
01/11/1987,7.11935531
01/12/1987,8.13297914
01/01/1988,9.40144683
01/02/1988,10.18228756
01/03/1988,10.78740132
01/04/1988,11.09965986
01/05/1988,11.31433510
01/06/1988,11.50486131
01/07/1988,11.65762637
01/08/1988,11.71830558
01/09/1988,11.74474452
01/10/1988,11.85671906
01/11/1988,11.96587004
01/12/1988,12.11211222
01/01/1989,12.41490227
01/02/1989,12.55666182
01/03/1989,12.66583038
01/04/1989,12.85953984
01/05/1989,13.05527028
01/06/1989,13.25115654
01/07/1989,13.42873164
01/08/1989,13.51092537
01/09/1989,13.61526810
01/10/1989,13.83374710
01/11/1989,13.98385559
01/12/1989,14.39039439
01/01/1990,15.05842923
01/02/1990,15.46108413
01/03/1990,15.70802697
01/04/1990,15.91531250
01/05/1990,16.19337379
01/06/1990,16.63810407
01/07/1990,16.95771266
01/08/1990,17.21238086
01/09/1990,17.43983770
01/10/1990,17.71603131
01/11/1990,18.17268978
01/12/1990,18.72888523
01/01/1991,19.23242007
01/02/1991,19.53923618
01/03/1991,19.88124258
01/04/1991,20.14471045
01/05/1991,20.37299361
01/06/1991,20.63689712
01/07/1991,20.82795028
01/08/1991,20.95497455
01/09/1991,21.19171528
01/10/1991,21.47325918
01/11/1991,21.86410793
01/12/1991,22.28064469
01/01/1992,22.62290299
01/02/1992,22.91777415
01/03/1992,23.17179895
01/04/1992,23.34709810
01/05/1992,23.48295973
01/06/1992,23.61951560
01/07/1992,23.76098388
01/08/1992,23.88447833
01/09/1992,24.09794579
01/10/1992,24.34504612
01/11/1992,24.57528575
01/12/1992,24.87742458
01/01/1993,25.19183145
01/02/1993,25.37852429
01/03/1993,25.51358195
01/04/1993,25.63963384
01/05/1993,25.80864021
01/06/1993,25.96641906
01/07/1993,26.10563652
01/08/1993,26.26489711
01/09/1993,26.46295795
01/10/1993,26.62008780
01/11/1993,26.74226584
01/12/1993,26.95197002
01/01/1994,27.16537240
01/02/1994,27.28552974
01/03/1994,27.43965869
01/04/1994,27.57475041
01/05/1994,27.71563560
01/06/1994,27.83629895
01/07/1994,27.94788533
01/08/1994,28.07102010
01/09/1994,28.25815612
01/10/1994,28.40817776
01/11/1994,28.56137093
01/12/1994,28.84462081
01/01/1995,29.83219443
