"Banco de México"

"Índices de Precios al Consumidor y UDIS"
"2. Noroeste"

"Fecha de consulta: 11/10/2010 03:07:48"

""

"Título","IPC Por objeto del gasto Región Noroeste, I n d i c e G e n e r a l"
"Periodo disponible","Ene 1982 - Sep 2010"
"Periodicidad","Mensual"
"Cifra","Indices"
"Unidad","Sin Unidad"
"Base","2Q Jun 2002"
"Aviso",""
"Tipo de información","Índices"
"Fecha","SP8965"
01/01/1982,0.17032451
01/02/1982,0.17518250
01/03/1982,0.18120009
01/04/1982,0.18974068
01/05/1982,0.20026664
01/06/1982,0.20989065
01/07/1982,0.21973151
01/08/1982,0.24342478
01/09/1982,0.25540011
01/10/1982,0.26885419
01/11/1982,0.28458721
01/12/1982,0.31194839
01/01/1983,0.34365224
01/02/1983,0.35779223
01/03/1983,0.37718800
01/04/1983,0.40296322
01/05/1983,0.42456474
01/06/1983,0.44039843
01/07/1983,0.46511581
01/08/1983,0.48477930
01/09/1983,0.50516462
01/10/1983,0.52370415
01/11/1983,0.55264339
01/12/1983,0.57071222
01/01/1984,0.60812186
01/02/1984,0.64104789
01/03/1984,0.67014766
01/04/1984,0.70122354
01/05/1984,0.72617409
01/06/1984,0.75691396
01/07/1984,0.78781299
01/08/1984,0.81188935
01/09/1984,0.83838178
01/10/1984,0.87115327
01/11/1984,0.90184443
01/12/1984,0.93361222
01/01/1985,0.98494962
01/02/1985,1.02525528
01/03/1985,1.07511638
01/04/1985,1.10838959
01/05/1985,1.13540332
01/06/1985,1.16406395
01/07/1985,1.20270692
01/08/1985,1.24903289
01/09/1985,1.30191844
01/10/1985,1.35346535
01/11/1985,1.42150493
01/12/1985,1.50674051
01/01/1986,1.64126882
01/02/1986,1.69686401
01/03/1986,1.79077078
01/04/1986,1.90613758
01/05/1986,1.99842384
01/06/1986,2.11410952
01/07/1986,2.22106987
01/08/1986,2.37242089
01/09/1986,2.52997614
01/10/1986,2.69495237
01/11/1986,2.88946670
01/12/1986,3.11772601
01/01/1987,3.32758973
01/02/1987,3.59755971
01/03/1987,3.87087193
01/04/1987,4.14789641
01/05/1987,4.41011430
01/06/1987,4.73983115
01/07/1987,5.07517025
01/08/1987,5.53430983
01/09/1987,5.96349340
01/10/1987,6.48558330
01/11/1987,7.00119987
01/12/1987,7.90289303
01/01/1988,9.19511807
01/02/1988,9.93847945
01/03/1988,10.42739954
01/04/1988,10.75299492
01/05/1988,10.90213773
01/06/1988,11.08663679
01/07/1988,11.24567651
01/08/1988,11.39841677
01/09/1988,11.52632455
01/10/1988,11.61830962
01/11/1988,11.79305652
01/12/1988,11.90796922
01/01/1989,12.25243607
01/02/1989,12.46739530
01/03/1989,12.60306471
01/04/1989,12.77306898
01/05/1989,12.97809430
01/06/1989,13.09653669
01/07/1989,13.22883531
01/08/1989,13.33680317
01/09/1989,13.43501424
01/10/1989,13.61079831
01/11/1989,13.75836333
01/12/1989,14.10986834
01/01/1990,14.65224806
01/02/1990,15.08469441
01/03/1990,15.32782888
01/04/1990,15.56481462
01/05/1990,15.83495847
01/06/1990,16.20224031
01/07/1990,16.52612675
01/08/1990,16.88544835
01/09/1990,17.14669219
01/10/1990,17.44810020
01/11/1990,17.99094219
01/12/1990,18.56957466
01/01/1991,19.08849972
01/02/1991,19.35837557
01/03/1991,19.58830818
01/04/1991,19.78874623
01/05/1991,19.95067489
01/06/1991,20.22470595
01/07/1991,20.43628431
01/08/1991,20.57890754
01/09/1991,20.77338867
01/10/1991,20.99302849
01/11/1991,21.45850917
01/12/1991,21.86613366
01/01/1992,22.20179491
01/02/1992,22.46150694
01/03/1992,22.74827406
01/04/1992,22.97945796
01/05/1992,23.08718639
01/06/1992,23.20678431
01/07/1992,23.33245207
01/08/1992,23.50389727
01/09/1992,23.71570908
01/10/1992,23.88047935
01/11/1992,24.14673273
01/12/1992,24.48024699
01/01/1993,24.76104332
01/02/1993,24.97347275
01/03/1993,25.08356800
01/04/1993,25.22406983
01/05/1993,25.34345362
01/06/1993,25.49028294
01/07/1993,25.60013087
01/08/1993,25.71661701
01/09/1993,25.91616482
01/10/1993,26.00016651
01/11/1993,26.08814820
01/12/1993,26.26140682
01/01/1994,26.46218088
01/02/1994,26.58560588
01/03/1994,26.68058682
01/04/1994,26.80268815
01/05/1994,26.90299125
01/06/1994,27.05969543
01/07/1994,27.20032378
01/08/1994,27.34338533
01/09/1994,27.56758167
01/10/1994,27.73481182
01/11/1994,27.95999608
01/12/1994,28.19611660
01/01/1995,29.30818226
