date,peu
Jan-00,168.8
Feb-00,169.8
Mar-00,171.2
Apr-00,171.3
May-00,171.5
Jun-00,172.4
Jul-00,172.8
Aug-00,172.8
Sep-00,173.7
Oct-00,174
Nov-00,174.1
Dec-00,174
Jan-01,175.1
Feb-01,175.8
Mar-01,176.2
Apr-01,176.9
May-01,177.7
Jun-01,178
Jul-01,177.5
Aug-01,177.5
Sep-01,178.3
Oct-01,177.7
Nov-01,177.4
Dec-01,176.7
Jan-02,177.1
Feb-02,177.8
Mar-02,178.8
Apr-02,179.8
May-02,179.8
Jun-02,179.9
Jul-02,180.1
Aug-02,180.7
Sep-02,181
Oct-02,181.3
Nov-02,181.3
Dec-02,180.9
Jan-03,181.7
Feb-03,183.1
Mar-03,184.2
Apr-03,183.8
May-03,183.5
Jun-03,183.7
Jul-03,183.9
Aug-03,184.6
Sep-03,185.2
Oct-03,185
Nov-03,184.5
Dec-03,184.3
Jan-04,185.2
Feb-04,186.2
Mar-04,187.4
Apr-04,188
May-04,189.1
Jun-04,189.7
Jul-04,189.4
Aug-04,189.5
Sep-04,189.9
Oct-04,190.9
Nov-04,191
Dec-04,190.3
Jan-05,190.7
Feb-05,191.8
Mar-05,193.3
Apr-05,194.6
May-05,194.4
Jun-05,194.5
Jul-05,195.4
Aug-05,196.4
Sep-05,198.8
Oct-05,199.2
Nov-05,197.6
Dec-05,196.8
Jan-06,198.3
Feb-06,198.7
Mar-06,199.8
Apr-06,201.5
May-06,202.5
Jun-06,202.9
Jul-06,203.5
Aug-06,203.9
Sep-06,202.9
Oct-06,201.8
Nov-06,201.5
Dec-06,201.8
Jan-07,202.416
Feb-07,203.499
Mar-07,205.352
Apr-07,206.686
May-07,207.949
Jun-07,208.352
Jul-07,208.299
Aug-07,207.917
Sep-07,208.49
Oct-07,208.936
Nov-07,210.177
Dec-07,210.036
Jan-08,211.08
Feb-08,211.693
Mar-08,213.528
Apr-08,214.823
May-08,216.632
Jun-08,218.815
Jul-08,219.964
Aug-08,219.086
Sep-08,218.783
Oct-08,216.573
Nov-08,212.425
Dec-08,210.228
Jan-09,211.143
Feb-09,212.193
Mar-09,212.709
Apr-09,213.24
May-09,213.856
Jun-09,215.693
Jul-09,215.351
Aug-09,215.834
Sep-09,215.969
Oct-09,216.177
Nov-09,216.33
Dec-09,215.949
Jan-10,216.687
Feb-10,216.741
Mar-10,217.631
Apr-10,218.009
May-10,218.178
Jun-10,217.965
Jul-10,218.011
Aug-10,218.312
