"Banco de México"

"Laboral"
"Salarios mínimos"

"Fecha de consulta: 11/10/2010 03:23:55"

""

"Título","Salario mínimo general (índice real, 1994=100)"
"Periodo disponible","Ene 1964 - Sep 2010"
"Periodicidad","Mensual"
"Cifra","Indices"
"Unidad","Sin Unidad"
"Base","1994"
"Aviso",""
"Tipo de información","Niveles"
"Fecha","SL2542"
01/01/1964,176.82238
01/02/1964,173.56643
01/03/1964,173.92457
01/04/1964,172.97735
01/05/1964,172.50760
01/06/1964,172.39226
01/07/1964,170.78017
01/08/1964,169.19013
01/09/1964,171.58454
01/10/1964,171.81292
01/11/1964,170.09499
01/12/1964,169.75289
01/01/1965,170.02038
01/02/1965,169.33604
01/03/1965,168.77429
01/04/1965,167.77421
01/05/1965,167.66477
01/06/1965,167.43990
01/07/1965,168.21989
01/08/1965,168.66794
01/09/1965,167.99352
01/10/1965,168.10986
01/11/1965,168.66794
01/12/1965,168.66794
01/01/1966,197.77552
01/02/1966,197.90496
01/03/1966,199.08462
01/04/1966,197.90896
01/05/1966,197.38655
01/06/1966,196.60250
01/07/1966,195.31936
01/08/1966,194.18464
01/09/1966,194.18464
01/10/1966,193.55669
01/11/1966,193.30228
01/12/1966,193.17896
01/01/1967,191.79657
01/02/1967,190.57584
01/03/1967,190.20983
01/04/1967,190.20707
01/05/1967,191.42463
01/06/1967,192.41283
01/07/1967,191.06199
01/08/1967,190.33377
01/09/1967,189.61085
01/10/1967,189.01391
01/11/1967,189.37440
01/12/1967,190.45011
01/01/1968,218.65573
01/02/1968,218.65573
01/03/1968,216.86837
01/04/1968,215.25025
01/05/1968,213.64841
01/06/1968,215.38287
01/07/1968,215.92283
01/08/1968,214.84560
01/09/1968,214.17970
01/10/1968,214.84560
01/11/1968,214.44247
01/12/1968,214.84560
01/01/1969,213.90335
01/02/1969,213.13836
01/03/1969,212.92820
01/04/1969,212.35265
01/05/1969,212.35265
01/06/1969,211.59861
01/07/1969,210.79847
01/08/1969,210.56723
01/09/1969,208.61005
01/10/1969,206.44195
01/11/1969,206.41730
01/12/1969,204.87560
01/01/1970,235.15884
01/02/1970,235.18651
01/03/1970,234.49663
01/04/1970,234.19441
01/05/1970,233.70145
01/06/1970,232.28900
01/07/1970,231.16063
01/08/1970,230.09614
01/09/1970,229.54116
01/10/1970,229.46210
01/11/1970,228.23051
01/12/1970,226.31807
01/01/1971,224.11020
01/02/1971,223.18425
01/03/1971,222.34009
01/04/1971,221.20804
01/05/1971,220.74380
01/06/1971,219.74872
01/07/1971,219.91796
01/08/1971,217.92771
01/09/1971,217.21715
01/10/1971,217.00483
01/11/1971,216.65202
01/12/1971,215.62352
01/01/1972,255.41053
01/02/1972,254.61741
01/03/1972,253.23447
01/04/1972,251.65326
01/05/1972,251.14831
01/06/1972,249.30515
01/07/1972,248.36764
01/08/1972,246.74399
01/09/1972,245.62258
01/10/1972,245.44513
01/11/1972,243.85935
01/12/1972,243.03676
01/01/1973,239.55997
01/02/1973,237.59712
01/03/1973,235.52614
01/04/1973,231.85181
01/05/1973,229.41358
01/06/1973,227.54760
01/07/1973,221.85783
01/08/1973,218.35372
01/09/1973,251.59868
01/10/1973,248.41245
01/11/1973,245.39174
01/12/1973,236.21672
01/01/1974,261.97208
01/02/1974,256.18196
01/03/1974,254.22138
01/04/1974,250.81782
01/05/1974,248.86129
01/06/1974,246.42522
01/07/1974,242.91416
01/08/1974,240.37717
01/09/1974,237.68208
01/10/1974,285.90076
01/11/1974,278.17477
01/12/1974,276.01865
01/01/1975,272.53607
01/02/1975,271.04112
01/03/1975,269.34204
01/04/1975,267.08540
01/05/1975,263.55937
01/06/1975,259.15320
01/07/1975,257.09683
01/08/1975,254.89187
01/09/1975,253.04806
01/10/1975,251.75871
01/11/1975,250.00715
01/12/1975,247.98390
01/01/1976,296.22049
01/02/1976,290.78000
01/03/1976,287.96164
01/04/1976,285.95988
01/05/1976,283.96900
01/06/1976,282.83427
01/07/1976,280.46096
01/08/1976,277.80611
01/09/1976,268.64201
01/10/1976,312.85116
01/11/1976,299.32802
01/12/1976,292.00575
01/01/1977,311.92469
01/02/1977,305.18559
01/03/1977,299.95353
01/04/1977,295.48532
01/05/1977,292.91244
01/06/1977,289.36678
01/07/1977,286.13155
01/08/1977,280.37845
01/09/1977,275.49024
01/10/1977,273.40127
01/11/1977,270.44420
01/12/1977,266.75205
01/01/1978,296.11486
01/02/1978,291.92432
01/03/1978,288.91764
01/04/1978,285.74049
01/05/1978,282.96728
01/06/1978,279.12768
01/07/1978,274.47227
01/08/1978,271.76279
01/09/1978,268.69621
01/10/1978,265.47899
01/11/1978,262.77542
01/12/1978,260.56566
01/01/1979,291.24079
01/02/1979,287.11407
01/03/1979,283.27109
01/04/1979,280.75655
01/05/1979,277.12554
01/06/1979,274.08596
01/07/1979,270.80397
01/08/1979,266.76677
01/09/1979,263.53512
01/10/1979,259.01172
01/11/1979,255.71979
01/12/1979,251.27426
01/01/1980,281.41929
01/02/1980,275.06062
01/03/1980,269.51581
01/04/1980,264.88526
01/05/1980,260.63358
01/06/1980,255.56555
01/07/1980,248.62306
01/08/1980,243.57626
01/09/1980,240.90099
01/10/1980,237.30657
01/11/1980,233.25981
01/12/1980,227.29824
01/01/1981,286.50430
