"Banco de México"

"Índices de Precios al Consumidor y UDIS"
"6. Sur"

"Fecha de consulta: 11/10/2010 03:13:10"

""

"Título","IPC Por objeto del gasto Región Sur, I n d i c e G e n e r a l"
"Periodo disponible","Ene 1982 - Sep 2010"
"Periodicidad","Mensual"
"Cifra","Indices"
"Unidad","Sin Unidad"
"Base","2Q Jun 2002"
"Aviso",""
"Tipo de información","Índices"
"Fecha","SP9001"
01/01/1982,0.17195886
01/02/1982,0.17741503
01/03/1982,0.18200845
01/04/1982,0.19290098
01/05/1982,0.20316484
01/06/1982,0.21271767
01/07/1982,0.22293540
01/08/1982,0.24697725
01/09/1982,0.25993750
01/10/1982,0.27165287
01/11/1982,0.28683652
01/12/1982,0.31921662
01/01/1983,0.35301425
01/02/1983,0.37433142
01/03/1983,0.39490897
01/04/1983,0.41905782
01/05/1983,0.43400229
01/06/1983,0.44994933
01/07/1983,0.47572915
01/08/1983,0.49650767
01/09/1983,0.51328463
01/10/1983,0.52998545
01/11/1983,0.55806537
01/12/1983,0.57929168
01/01/1984,0.61330982
01/02/1984,0.64744543
01/03/1984,0.67886682
01/04/1984,0.71449073
01/05/1984,0.74564633
01/06/1984,0.77132509
01/07/1984,0.79430578
01/08/1984,0.81561502
01/09/1984,0.84412887
01/10/1984,0.87391335
01/11/1984,0.90327297
01/12/1984,0.94132719
01/01/1985,1.01339106
01/02/1985,1.05114354
01/03/1985,1.09612526
01/04/1985,1.12783706
01/05/1985,1.15349969
01/06/1985,1.18928749
01/07/1985,1.22147596
01/08/1985,1.26713135
01/09/1985,1.31698756
01/10/1985,1.37294077
01/11/1985,1.42697431
01/12/1985,1.51655675
01/01/1986,1.64184914
01/02/1986,1.70541711
01/03/1986,1.80313738
01/04/1986,1.88363035
01/05/1986,1.99111263
01/06/1986,2.12527258
01/07/1986,2.22538043
01/08/1986,2.36766604
01/09/1986,2.52492725
01/10/1986,2.68849239
01/11/1986,2.86600479
01/12/1986,3.07546761
01/01/1987,3.34300033
01/02/1987,3.57591172
01/03/1987,3.83582601
01/04/1987,4.15745709
01/05/1987,4.42838053
01/06/1987,4.76733826
01/07/1987,5.19955928
01/08/1987,5.65717998
01/09/1987,6.02797548
01/10/1987,6.55219339
01/11/1987,6.99621753
01/12/1987,8.04690734
01/01/1988,9.31705606
01/02/1988,10.14774490
01/03/1988,10.74993150
01/04/1988,11.07333337
01/05/1988,11.30022503
01/06/1988,11.48975453
01/07/1988,11.72613760
01/08/1988,11.90353961
01/09/1988,12.10450143
01/10/1988,12.18420099
01/11/1988,12.26324189
01/12/1988,12.46434042
01/01/1989,12.79715898
01/02/1989,12.94243507
01/03/1989,13.06805184
01/04/1989,13.26509137
01/05/1989,13.39351747
01/06/1989,13.60866545
01/07/1989,13.82070096
01/08/1989,13.91922709
01/09/1989,13.99657588
01/10/1989,14.17164749
01/11/1989,14.34417246
01/12/1989,14.89725606
01/01/1990,15.48694974
01/02/1990,15.84865266
01/03/1990,16.17079465
01/04/1990,16.38392275
01/05/1990,16.67775752
01/06/1990,17.01094829
01/07/1990,17.32267187
01/08/1990,17.61988491
01/09/1990,17.89614620
01/10/1990,18.20935129
01/11/1990,18.67923281
01/12/1990,19.25280847
01/01/1991,19.73088047
01/02/1991,19.99635482
01/03/1991,20.31012630
01/04/1991,20.49965694
01/05/1991,20.69768659
01/06/1991,20.87822881
01/07/1991,21.06114954
01/08/1991,21.28983153
01/09/1991,21.52023929
01/10/1991,21.76539424
01/11/1991,22.25448671
01/12/1991,22.76664732
01/01/1992,23.10341931
01/02/1992,23.34215201
01/03/1992,23.55764107
01/04/1992,23.73336003
01/05/1992,23.90414761
01/06/1992,24.04470913
01/07/1992,24.19549716
01/08/1992,24.37462637
01/09/1992,24.56437439
01/10/1992,24.75229699
01/11/1992,24.94512636
01/12/1992,25.23936505
01/01/1993,25.55700788
01/02/1993,25.76036491
01/03/1993,25.93694861
01/04/1993,26.06678602
01/05/1993,26.24349935
01/06/1993,26.41241848
01/07/1993,26.50068528
01/08/1993,26.62731709
01/09/1993,26.81883194
01/10/1993,26.95711233
01/11/1993,27.03328021
01/12/1993,27.21974650
01/01/1994,27.43968236
01/02/1994,27.57393798
01/03/1994,27.72913742
01/04/1994,27.88959857
01/05/1994,28.02670229
01/06/1994,28.19781849
01/07/1994,28.34350983
01/08/1994,28.50485609
01/09/1994,28.71691679
01/10/1994,28.88652204
01/11/1994,29.04052671
01/12/1994,29.31701218
01/01/1995,30.35795159
