"Banco de México"

"Tasas y precios de referencia"
"Tasas de Interés Interbancarias,  Fondeo y Pagaré Bancario Bursátil"

"Fecha de consulta: 11/10/2010 11:50:45"

""

"Título","TIIE a 28 días, Tasa de interés promedio mensual, en por ciento anual","TIIE a 91 días, Tasa de interés promedio mensual, en por ciento anual"
"Periodo disponible","Mar 1995 - Sep 2010","Ene 1997 - Sep 2010"
"Periodicidad","Mensual","Mensual"
"Cifra","Porcentajes","Porcentajes"
"Unidad","Porcentajes","Porcentajes"
"Base","",""
"Aviso","",""
"Tipo de información","Niveles","Niveles"
"Fecha","SF283","SF17801"
01/03/1995,89.48,N/E
01/04/1995,85.22,N/E
01/05/1995,60.45,N/E
01/06/1995,49.50,N/E
01/07/1995,43.00,N/E
01/08/1995,37.60,N/E
01/09/1995,35.48,N/E
01/10/1995,42.61,N/E
01/11/1995,57.43,N/E
01/12/1995,51.36,N/E
01/01/1996,42.66,N/E
01/02/1996,40.11,N/E
01/03/1996,42.93,N/E
01/04/1996,36.61,N/E
01/05/1996,30.31,N/E
01/06/1996,30.11,N/E
01/07/1996,33.49,N/E
01/08/1996,29.36,N/E
01/09/1996,26.82,N/E
01/10/1996,28.68,N/E
01/11/1996,32.28,N/E
01/12/1996,29.92,N/E
01/01/1997,25.96,25.38
01/02/1997,22.11,23.54
01/03/1997,23.95,23.73
01/04/1997,23.98,23.97
01/05/1997,20.65,21.73
01/06/1997,22.53,22.41
01/07/1997,20.50,20.73
01/08/1997,20.64,21.27
01/09/1997,20.23,21.27
01/10/1997,19.70,20.47
01/11/1997,22.17,22.55
01/12/1997,20.48,20.48
01/01/1998,19.74,19.95
01/02/1998,20.52,20.67
01/03/1998,21.69,21.83
01/04/1998,20.55,20.44
01/05/1998,19.90,20.27
01/06/1998,21.47,21.79
01/07/1998,21.88,22.66
01/08/1998,25.78,27.20
01/09/1998,42.04,40.35
01/10/1998,37.65,38.69
01/11/1998,34.78,35.56
01/12/1998,36.69,36.29
01/01/1999,35.80,35.45
01/02/1999,32.21,31.35
01/03/1999,26.87,26.37
01/04/1999,22.54,22.99
01/05/1999,22.52,23.26
01/06/1999,23.60,23.77
01/07/1999,22.11,22.98
01/08/1999,23.13,24.36
01/09/1999,22.04,23.43
01/10/1999,20.63,22.41
01/11/1999,19.01,20.09
01/12/1999,18.75,19.06
01/01/2000,18.55,18.69
01/02/2000,18.15,18.12
01/03/2000,15.77,15.86
01/04/2000,14.74,15.10
01/05/2000,15.92,16.77
01/06/2000,17.44,17.73
01/07/2000,15.13,15.40
01/08/2000,16.62,16.84
01/09/2000,16.77,17.13
01/10/2000,17.38,17.99
01/11/2000,18.64,18.76
01/12/2000,18.39,18.39
01/01/2001,18.62,18.86
01/02/2001,18.12,18.36
01/03/2001,17.28,17.22
01/04/2001,16.36,16.31
01/05/2001,14.09,14.22
01/06/2001,11.64,11.90
01/07/2001,11.10,11.60
01/08/2001,9.29,10.22
01/09/2001,10.95,12.19
01/10/2001,10.34,11.16
01/11/2001,8.90,10.21
01/12/2001,7.94,8.87
01/01/2002,7.97,8.44
01/02/2002,8.99,9.06
01/03/2002,8.47,8.61
01/04/2002,6.85,7.12
01/05/2002,7.73,7.63
01/06/2002,8.42,8.65
01/07/2002,8.34,8.73
01/08/2002,7.61,7.95
01/09/2002,8.37,8.74
01/10/2002,8.67,9.10
01/11/2002,8.33,8.73
