"Banco de México"

"Tipos de cambio y resultados históricos de las subastas"
"Tipo de cambio final del periodo"

"Fecha de consulta: 11/10/2010 03:48:32"

""

"Título","Tipo de cambio Pesos por dólar E.U.A., Para solventar obligaciones denominadas en moneda extranjera, Fecha de liquidación Cotizaciones al final"
"Periodo disponible","Ene 1960 - Sep 2010"
"Periodicidad","Mensual"
"Cifra","Tipo de Cambio"
"Unidad","Pesos por Dólar"
"Base",""
"Aviso",""
"Tipo de información","Niveles"
"Fecha","SF328"
01/01/1968,0.0125
01/02/1968,0.0125
01/03/1968,0.0125
01/04/1968,0.0125
01/05/1968,0.0125
01/06/1968,0.0125
01/07/1968,0.0125
01/08/1968,0.0125
01/09/1968,0.0125
01/10/1968,0.0125
01/11/1968,0.0125
01/12/1968,0.0125
01/01/1969,0.0125
01/02/1969,0.0125
01/03/1969,0.0125
01/04/1969,0.0125
01/05/1969,0.0125
01/06/1969,0.0125
01/07/1969,0.0125
01/08/1969,0.0125
01/09/1969,0.0125
01/10/1969,0.0125
01/11/1969,0.0125
01/12/1969,0.0125
01/01/1970,0.0125
01/02/1970,0.0125
01/03/1970,0.0125
01/04/1970,0.0125
01/05/1970,0.0125
01/06/1970,0.0125
01/07/1970,0.0125
01/08/1970,0.0125
01/09/1970,0.0125
01/10/1970,0.0125
01/11/1970,0.0125
01/12/1970,0.0125
01/01/1971,0.0125
01/02/1971,0.0125
01/03/1971,0.0125
01/04/1971,0.0125
01/05/1971,0.0125
01/06/1971,0.0125
01/07/1971,0.0125
01/08/1971,0.0125
01/09/1971,0.0125
01/10/1971,0.0125
01/11/1971,0.0125
01/12/1971,0.0125
01/01/1972,0.0125
01/02/1972,0.0125
01/03/1972,0.0125
01/04/1972,0.0125
01/05/1972,0.0125
01/06/1972,0.0125
01/07/1972,0.0125
01/08/1972,0.0125
01/09/1972,0.0125
01/10/1972,0.0125
01/11/1972,0.0125
01/12/1972,0.0125
01/01/1973,0.0125
01/02/1973,0.0125
01/03/1973,0.0125
01/04/1973,0.0125
01/05/1973,0.0125
01/06/1973,0.0125
01/07/1973,0.0125
01/08/1973,0.0125
01/09/1973,0.0125
01/10/1973,0.0125
01/11/1973,0.0125
01/12/1973,0.0125
01/01/1974,0.0125
01/02/1974,0.0125
01/03/1974,0.0125
01/04/1974,0.0125
01/05/1974,0.0125
01/06/1974,0.0125
01/07/1974,0.0125
01/08/1974,0.0125
01/09/1974,0.0125
01/10/1974,0.0125
01/11/1974,0.0125
01/12/1974,0.0125
01/01/1975,0.0125
01/02/1975,0.0125
01/03/1975,0.0125
01/04/1975,0.0125
01/05/1975,0.0125
01/06/1975,0.0125
01/07/1975,0.0125
01/08/1975,0.0125
01/09/1975,0.0125
01/10/1975,0.0125
01/11/1975,0.0125
01/12/1975,0.0125
01/01/1976,0.0125
01/02/1976,0.0125
01/03/1976,0.0125
01/04/1976,0.0125
01/05/1976,0.0125
01/06/1976,0.0125
01/07/1976,0.0125
01/08/1976,0.0125
01/09/1976,0.0197
01/10/1976,0.0254
01/11/1976,0.0221
01/12/1976,0.0200
01/01/1977,0.0220
01/02/1977,0.0226
01/03/1977,0.0227
01/04/1977,0.0227
01/05/1977,0.0228
01/06/1977,0.0231
01/07/1977,0.0229
01/08/1977,0.0229
01/09/1977,0.0227
01/10/1977,0.0227
01/11/1977,0.0227
01/12/1977,0.0227
01/01/1978,0.0227
01/02/1978,0.0227
01/03/1978,0.0227
01/04/1978,0.0227
01/05/1978,0.0228
01/06/1978,0.0228
01/07/1978,0.0228
01/08/1978,0.0228
01/09/1978,0.0227
01/10/1978,0.0228
01/11/1978,0.0228
01/12/1978,0.0227
01/01/1979,0.0227
01/02/1979,0.0228
01/03/1979,0.0228
01/04/1979,0.0229
01/05/1979,0.0228
01/06/1979,0.0228
01/07/1979,0.0228
01/08/1979,0.0228
01/09/1979,0.0228
01/10/1979,0.0229
01/11/1979,0.0229
01/12/1979,0.0228
01/01/1980,0.0228
01/02/1980,0.0229
01/03/1980,0.0229
01/04/1980,0.0228
01/05/1980,0.0229
01/06/1980,0.0229
01/07/1980,0.0230
01/08/1980,0.0230
01/09/1980,0.0231
01/10/1980,0.0231
01/11/1980,0.0232
01/12/1980,0.0233
01/01/1981,0.0234
01/02/1981,0.0236
01/03/1981,0.0238
01/04/1981,0.0240
01/05/1981,0.0242
01/06/1981,0.0244
01/07/1981,0.0246
01/08/1981,0.0249
01/09/1981,0.0252
01/10/1981,0.0255
01/11/1981,0.0258
01/12/1981,0.0262
01/01/1982,0.0266
01/02/1982,0.0465
01/03/1982,0.0453
01/04/1982,0.0461
01/05/1982,0.0469
01/06/1982,0.0478
01/07/1982,0.0486
01/08/1982,0.0695
01/09/1982,0.0700
01/10/1982,0.0700
01/11/1982,0.0700
01/12/1982,0.0963
01/01/1983,0.1005
01/02/1983,0.1041
01/03/1983,0.1080
01/04/1983,0.1119
01/05/1983,0.1161
01/06/1983,0.1200
01/07/1983,0.1237
01/08/1983,0.1280
01/09/1983,0.1319
01/10/1983,0.1360
01/11/1983,0.1399
01/12/1983,0.1436
01/01/1984,0.1479
01/02/1984,0.1517
01/03/1984,0.1556
01/04/1984,0.1596
01/05/1984,0.1636
01/06/1984,0.1674
01/07/1984,0.1716
01/08/1984,0.1756
01/09/1984,0.1792
01/10/1984,0.1835
01/11/1984,0.1874
01/12/1984,0.1920
01/01/1985,0.1977
01/02/1985,0.2025
01/03/1985,0.2084
01/04/1985,0.2151
01/05/1985,0.2216
01/06/1985,0.2275
01/07/1985,0.2808
01/08/1985,0.2903
01/09/1985,0.3034
01/10/1985,0.3198
01/11/1985,0.3388
01/12/1985,0.3682
01/01/1986,0.4019
01/02/1986,0.4359
01/03/1986,0.4704
01/04/1986,0.5016
01/05/1986,0.5342
01/06/1986,0.5714
01/07/1986,0.6276
01/08/1986,0.6901
01/09/1986,0.7466
01/10/1986,0.8007
01/11/1986,0.8553
01/12/1986,0.9151
01/01/1987,0.9784
01/02/1987,1.0474
01/03/1987,1.1211
01/04/1987,1.1876
01/05/1987,1.2656
01/06/1987,1.3485
01/07/1987,1.4159
01/08/1987,1.4888
01/09/1987,1.5655
01/10/1987,1.6376
01/11/1987,1.7542
01/12/1987,2.2097
01/01/1988,2.2167
01/02/1988,2.2765
01/03/1988,2.2810
01/04/1988,2.2810
01/05/1988,2.2810
01/06/1988,2.2810
01/07/1988,2.2810
01/08/1988,2.2810
01/09/1988,2.2810
01/10/1988,2.2810
01/11/1988,2.2810
01/12/1988,2.2810
01/01/1989,2.3100
01/02/1989,2.3380
01/03/1989,2.3690
01/04/1989,2.3970
01/05/1989,2.4300
01/06/1989,2.4600
01/07/1989,2.4910
01/08/1989,2.5220
01/09/1989,2.5510
01/10/1989,2.5830
01/11/1989,2.6130
01/12/1989,2.6410
01/01/1990,2.6750
01/02/1990,2.7030
01/03/1990,2.7330
01/04/1990,2.7640
01/05/1990,2.7946
01/06/1990,2.8178
01/07/1990,2.8434
01/08/1990,2.8682
01/09/1990,2.8906
