"Banco de México"

"Índices de Precios al Consumidor y UDIS"
"4. Centro norte"

"Fecha de consulta: 11/10/2010 10:37:42"

""

"Título","IPC Por objeto del gasto Región Centro Norte, I n d i c e G e n e r a l"
"Periodo disponible","Ene 1982 - Sep 2010"
"Periodicidad","Mensual"
"Cifra","Indices"
"Unidad","Sin Unidad"
"Base","2Q Jun 2002"
"Aviso",""
"Tipo de información","Inflación mensual interanual"
"Fecha","SP8983"
01/01/2000,10.94341129
01/02/2000,10.40288894
01/03/2000,10.01930885
01/04/2000,9.62243054
01/05/2000,9.43038571
01/06/2000,9.32094056
01/07/2000,9.07390309
01/08/2000,9.03997972
01/09/2000,8.80971610
01/10/2000,8.84164232
01/11/2000,8.78277723
01/12/2000,8.88767341
01/01/2001,8.04177153
01/02/2001,7.52307153
01/03/2001,7.26826341
01/04/2001,7.08741227
01/05/2001,6.99937155
01/06/2001,6.60880158
01/07/2001,5.97357641
01/08/2001,5.78259189
01/09/2001,6.08706771
01/10/2001,5.70088188
01/11/2001,5.06867063
01/12/2001,4.18478062
01/01/2002,4.08644817
01/02/2002,4.01501709
01/03/2002,4.19497553
01/04/2002,4.27334811
01/05/2002,4.39101761
01/06/2002,4.58327381
01/07/2002,4.97954126
01/08/2002,5.12265010
01/09/2002,4.82932860
01/10/2002,5.01630694
01/11/2002,5.37790543
01/12/2002,5.71201398
01/01/2003,5.47200021
01/02/2003,5.22751836
01/03/2003,5.25608235
01/04/2003,4.71803311
01/05/2003,4.24557185
01/06/2003,4.07716434
01/07/2003,4.12381428
01/08/2003,3.86411974
01/09/2003,3.82286222
01/10/2003,3.52065661
01/11/2003,3.55624200
01/12/2003,3.49983473
01/01/2004,3.90583303
01/02/2004,4.34639255
01/03/2004,4.06535431
01/04/2004,4.30571233
01/05/2004,4.49114490
01/06/2004,4.61337282
01/07/2004,4.73628692
01/08/2004,5.29538974
01/09/2004,5.54880018
01/10/2004,6.05830694
01/11/2004,6.02716709
01/12/2004,5.69780767
01/01/2005,4.99458329
01/02/2005,4.81217821
01/03/2005,5.15032995
01/04/2005,5.52277184
01/05/2005,5.59925491
01/06/2005,5.10477941
01/07/2005,5.17034582
01/08/2005,4.43838604
01/09/2005,3.89804423
01/10/2005,3.29428597
01/11/2005,3.02523103
01/12/2005,3.50490545
01/01/2006,4.13701701
01/02/2006,4.02642312
01/03/2006,3.41374842
01/04/2006,3.09588297
01/05/2006,2.92276121
01/06/2006,3.11751229
01/07/2006,2.91208887
01/08/2006,3.39267690
01/09/2006,3.97009650
01/10/2006,4.19775958
01/11/2006,3.78845489
01/12/2006,3.67470293
01/01/2007,3.85991886
01/02/2007,3.97115606
01/03/2007,4.17043111
01/04/2007,4.23230941
01/05/2007,3.98092685
01/06/2007,3.89928680
01/07/2007,4.03261964
01/08/2007,4.01521591
01/09/2007,3.80600062
01/10/2007,3.70545766
01/11/2007,4.25464597
01/12/2007,4.09434212
01/01/2008,3.83653799
01/02/2008,3.63420233
01/03/2008,4.25220301
01/04/2008,4.43567135
01/05/2008,4.72036816
01/06/2008,5.30538619
01/07/2008,5.53676267
01/08/2008,5.60787741
01/09/2008,5.47801170
01/10/2008,5.74733823
01/11/2008,5.88991646
01/12/2008,6.20544807
01/01/2009,5.78572617
01/02/2009,5.79766322
01/03/2009,5.35490048
01/04/2009,5.44226188
01/05/2009,5.31950537
01/06/2009,4.85672431
01/07/2009,4.77551681
01/08/2009,4.58609462
01/09/2009,4.38918228
01/10/2009,4.00690925
01/11/2009,3.56515246
01/12/2009,3.33642956
01/01/2010,4.56335540
01/02/2010,5.08292085
01/03/2010,5.36952748
01/04/2010,4.65397065
01/05/2010,4.23775210
01/06/2010,4.14538412
01/07/2010,3.91072545
01/08/2010,3.82386767
01/09/2010,3.77236081

