"Banco de México"

"Índices de Precios al Consumidor y UDIS"
"5. Centro sur"

"Fecha de consulta: 11/10/2010 10:38:50"

""

"Título","IPC Por objeto del gasto Región Centro Sur, I n d i c e G e n e r a l"
"Periodo disponible","Ene 1982 - Sep 2010"
"Periodicidad","Mensual"
"Cifra","Indices"
"Unidad","Sin Unidad"
"Base","2Q Jun 2002"
"Aviso",""
"Tipo de información","Inflación mensual interanual"
"Fecha","SP8992"
01/01/2000,11.19797006
01/02/2000,10.68304136
01/03/2000,10.28012308
01/04/2000,9.90380217
01/05/2000,9.80271357
01/06/2000,9.75098800
01/07/2000,9.49336743
01/08/2000,9.53603439
01/09/2000,9.44276207
01/10/2000,9.35994377
01/11/2000,9.26142075
01/12/2000,9.15177081
01/01/2001,8.31492123
01/02/2001,7.79046165
01/03/2001,7.80749704
01/04/2001,7.67823612
01/05/2001,7.41041170
01/06/2001,7.04404881
01/07/2001,5.96580633
01/08/2001,5.77287653
01/09/2001,5.95233257
01/10/2001,5.85585306
01/11/2001,5.69456107
01/12/2001,4.70008378
01/01/2002,4.63205319
01/02/2002,4.71786085
01/03/2002,4.66144281
01/04/2002,4.94018032
01/05/2002,5.06728117
01/06/2002,5.25280129
01/07/2002,6.14966248
01/08/2002,5.99312469
01/09/2002,5.59651642
01/10/2002,5.54476675
01/11/2002,5.70018178
01/12/2002,6.46129626
01/01/2003,6.06676782
01/02/2003,5.61183075
01/03/2003,5.64970200
01/04/2003,5.10012245
01/05/2003,4.87095801
01/06/2003,4.54746913
01/07/2003,4.43803517
01/08/2003,4.64340815
01/09/2003,4.49916957
01/10/2003,4.34132914
01/11/2003,4.19033466
01/12/2003,3.90202719
01/01/2004,4.30552460
01/02/2004,4.87715119
01/03/2004,4.70102338
01/04/2004,4.64479299
01/05/2004,4.58967061
01/06/2004,4.59104569
01/07/2004,4.69378589
01/08/2004,4.93198897
01/09/2004,5.40192804
01/10/2004,5.77183990
01/11/2004,5.88632717
01/12/2004,5.72989633
01/01/2005,4.96116541
01/02/2005,4.84426510
01/03/2005,4.97452967
01/04/2005,5.02640400
01/05/2005,5.25968552
01/06/2005,4.92025292
01/07/2005,5.10218052
01/08/2005,4.46630105
01/09/2005,3.95016740
01/10/2005,3.56487502
01/11/2005,3.11497492
01/12/2005,3.56433020
01/01/2006,4.35667752
01/02/2006,4.10343582
01/03/2006,3.59044883
01/04/2006,3.20397349
01/05/2006,2.98245003
01/06/2006,3.28013257
01/07/2006,3.10635600
01/08/2006,3.65925617
01/09/2006,4.43210665
01/10/2006,4.74867543
01/11/2006,4.61682580
01/12/2006,4.52405322
01/01/2007,4.33679961
01/02/2007,4.22849794
01/03/2007,4.38852388
01/04/2007,4.55931945
01/05/2007,4.25535512
01/06/2007,4.33115748
01/07/2007,4.49009501
01/08/2007,4.45006236
01/09/2007,4.21754984
01/10/2007,3.64248471
01/11/2007,4.04833688
01/12/2007,3.77986682
01/01/2008,3.65983530
01/02/2008,3.78908406
01/03/2008,4.60742145
01/04/2008,5.04201681
01/05/2008,5.45519411
01/06/2008,5.66734116
01/07/2008,5.69003458
01/08/2008,5.75996794
01/09/2008,5.46617162
01/10/2008,6.08852727
01/11/2008,6.57997584
01/12/2008,7.28360697
01/01/2009,7.04712461
01/02/2009,6.70321592
01/03/2009,6.29621886
01/04/2009,6.37299904
01/05/2009,6.30401353
01/06/2009,6.02365341
01/07/2009,5.75054531
01/08/2009,5.36896985
01/09/2009,5.34835788
01/10/2009,4.79515481
01/11/2009,3.93063241
01/12/2009,3.20436239
01/01/2010,4.37732145
01/02/2010,4.92982006
01/03/2010,5.10227869
01/04/2010,4.19839578
01/05/2010,3.73718890
01/06/2010,3.54872269
01/07/2010,3.67018131
01/08/2010,3.72248233
01/09/2010,3.60162230

