"Banco de México"

"Índices de Precios al Consumidor y UDIS"
"1. Frontera norte"

"Fecha de consulta: 11/10/2010 10:34:55"

""

"Título","IPC Por objeto del gasto Región Frontera Norte, I n d i c e G e n e r a l"
"Periodo disponible","Ene 1982 - Sep 2010"
"Periodicidad","Mensual"
"Cifra","Indices"
"Unidad","Sin Unidad"
"Base","2Q Jun 2002"
"Aviso",""
"Tipo de información","Inflación mensual interanual"
"Fecha","SP8956"
01/01/2000,11.55816582
01/02/2000,10.95524585
01/03/2000,10.54550442
01/04/2000,10.08408094
01/05/2000,9.47791669
01/06/2000,9.42146917
01/07/2000,9.20440731
01/08/2000,9.22550589
01/09/2000,8.98271419
01/10/2000,9.19438295
01/11/2000,9.18030418
01/12/2000,8.83727875
01/01/2001,8.20939277
01/02/2001,7.77495474
01/03/2001,7.91560640
01/04/2001,7.73298103
01/05/2001,7.28907318
01/06/2001,6.74661006
01/07/2001,6.01467635
01/08/2001,5.86726068
01/09/2001,5.77027827
01/10/2001,5.39942038
01/11/2001,5.17032015
01/12/2001,4.63983813
01/01/2002,4.34548261
01/02/2002,4.28349196
01/03/2002,3.95054113
01/04/2002,4.00684942
01/05/2002,3.90985396
01/06/2002,4.01421408
01/07/2002,4.65921223
01/08/2002,4.66667453
01/09/2002,4.42331954
01/10/2002,4.27979996
01/11/2002,4.78319823
01/12/2002,3.76586956
01/01/2003,4.00801981
01/02/2003,4.52173273
01/03/2003,5.30113675
01/04/2003,4.85201371
01/05/2003,3.30448938
01/06/2003,3.12778517
01/07/2003,2.89810282
01/08/2003,3.12444189
01/09/2003,3.69751885
01/10/2003,3.60105618
01/11/2003,3.75048393
01/12/2003,4.95195356
01/01/2004,4.49375061
01/02/2004,4.34924536
01/03/2004,3.83479706
01/04/2004,4.19471530
01/05/2004,5.18673207
01/06/2004,5.23301527
01/07/2004,5.11752282
01/08/2004,4.92326935
01/09/2004,4.74724856
01/10/2004,5.22666971
01/11/2004,5.39950557
01/12/2004,4.99065820
01/01/2005,4.52303242
01/02/2005,3.94899067
01/03/2005,3.87330383
01/04/2005,4.32290575
01/05/2005,3.76656355
01/06/2005,3.43971958
01/07/2005,3.53100575
01/08/2005,3.15262444
01/09/2005,2.82824056
01/10/2005,2.35429150
01/11/2005,2.54197534
01/12/2005,2.92784418
01/01/2006,3.86601139
01/02/2006,3.88040149
01/03/2006,3.73239437
01/04/2006,4.00925885
01/05/2006,3.43851781
01/06/2006,3.84701130
01/07/2006,3.80229152
01/08/2006,4.21815272
01/09/2006,4.40390672
01/10/2006,3.87712575
01/11/2006,3.56393768
01/12/2006,3.89137858
01/01/2007,3.54019337
01/02/2007,3.64428009
01/03/2007,3.93245078
01/04/2007,2.95695990
01/05/2007,3.12978544
01/06/2007,3.02697225
01/07/2007,3.17158099
01/08/2007,2.92745341
01/09/2007,2.85728812
01/10/2007,3.55816227
01/11/2007,4.04303907
01/12/2007,3.70588089
01/01/2008,3.73095546
01/02/2008,3.59259777
01/03/2008,3.31907180
01/04/2008,3.50011420
01/05/2008,4.02499249
01/06/2008,4.30495591
01/07/2008,4.50389040
01/08/2008,4.68396496
01/09/2008,4.71965466
01/10/2008,5.29750228
01/11/2008,5.38871310
01/12/2008,4.52988655
01/01/2009,4.85161270
01/02/2009,5.83212310
01/03/2009,6.15304373
01/04/2009,6.03292693
01/05/2009,5.50597028
01/06/2009,5.43538192
01/07/2009,5.18001177
01/08/2009,4.85754320
01/09/2009,4.41175314
01/10/2009,3.74400748
01/11/2009,3.55117739
01/12/2009,4.35878440
01/01/2010,4.52852798
01/02/2010,3.85203737
01/03/2010,3.58533408
01/04/2010,3.43610174
01/05/2010,3.34354359
01/06/2010,2.99518739
01/07/2010,2.96083977
01/08/2010,3.00177419
01/09/2010,3.20140443

