"Banco de México"

"Índices de Precios al Consumidor y UDIS"
"7. Area Metropolitana de la Cd. de México"

"Fecha de consulta: 11/10/2010 10:40:11"

""

"Título","IPC Por objeto del gasto Región Metropolitana, I n d i c e G e n e r a l"
"Periodo disponible","Ene 1969 - Sep 2010"
"Periodicidad","Mensual"
"Cifra","Indices"
"Unidad","Sin Unidad"
"Base","2Q Jun 2002"
"Aviso",""
"Tipo de información","Inflación mensual interanual"
"Fecha","SP28"
01/01/2000,10.61094585
01/02/2000,10.16876656
01/03/2000,9.72803417
01/04/2000,9.36942446
01/05/2000,9.17219460
01/06/2000,9.06614889
01/07/2000,8.70467141
01/08/2000,8.63719712
01/09/2000,8.24514233
01/10/2000,8.32042994
01/11/2000,8.29516131
01/12/2000,8.68393402
01/01/2001,7.61775806
01/02/2001,5.68588778
01/03/2001,5.81036354
01/04/2001,5.88659978
01/05/2001,6.07619531
01/06/2001,5.75059392
01/07/2001,5.13456616
01/08/2001,5.53653347
01/09/2001,5.91792035
01/10/2001,5.82806465
01/11/2001,5.13196959
01/12/2001,3.79160070
01/01/2002,5.03454221
01/02/2002,5.14252295
01/03/2002,5.10926519
01/04/2002,5.16736638
01/05/2002,4.94912637
01/06/2002,5.45512001
01/07/2002,6.04066162
01/08/2002,5.45259729
01/09/2002,4.96375843
01/10/2002,4.67522203
01/11/2002,5.17458463
01/12/2002,5.81529917
01/01/2003,4.64389532
01/02/2003,5.87099725
01/03/2003,5.87146511
01/04/2003,5.56256217
01/05/2003,5.25121521
01/06/2003,4.41674629
01/07/2003,4.17897931
01/08/2003,4.04613348
01/09/2003,4.14426191
01/10/2003,4.23173804
01/11/2003,4.21867469
01/12/2003,4.05343340
01/01/2004,4.47194446
01/02/2004,4.86792197
01/03/2004,4.52590364
01/04/2004,4.27417729
01/05/2004,4.18347112
01/06/2004,4.39909123
01/07/2004,4.58535370
01/08/2004,4.94849699
01/09/2004,5.12608398
01/10/2004,5.31373497
01/11/2004,5.29181925
01/12/2004,5.01404006
01/01/2005,4.32339236
01/02/2005,3.99071239
01/03/2005,4.05775707
01/04/2005,4.19291266
01/05/2005,4.33915074
01/06/2005,4.17056911
01/07/2005,4.32567643
01/08/2005,3.97153038
01/09/2005,3.56823054
01/10/2005,3.09108579
01/11/2005,2.85040739
01/12/2005,3.27848328
01/01/2006,3.66806922
01/02/2006,3.37499444
01/03/2006,3.24250995
01/04/2006,3.12707153
01/05/2006,2.94078768
01/06/2006,3.09480996
01/07/2006,3.13718602
01/08/2006,3.34125113
01/09/2006,4.08108014
01/10/2006,4.42297117
01/11/2006,4.31660319
01/12/2006,4.24899988
01/01/2007,4.09496316
01/02/2007,4.28194030
01/03/2007,4.31724493
01/04/2007,4.27583370
01/05/2007,4.11437377
01/06/2007,4.16214229
01/07/2007,4.24500988
01/08/2007,4.15348470
01/09/2007,3.83127617
01/10/2007,3.54348480
01/11/2007,3.77205587
01/12/2007,3.66798734
01/01/2008,3.79314056
01/02/2008,3.97573957
01/03/2008,4.46623363
01/04/2008,4.85172765
01/05/2008,5.15392711
01/06/2008,5.34774722
01/07/2008,5.44940654
01/08/2008,5.75579407
01/09/2008,5.74820394
01/10/2008,6.00563508
01/11/2008,6.56463598
01/12/2008,6.96344014
01/01/2009,6.52581373
01/02/2009,6.15382173
01/03/2009,6.02323236
01/04/2009,6.10405186
01/05/2009,6.01717181
01/06/2009,5.84843621
01/07/2009,5.46139068
01/08/2009,4.99052870
01/09/2009,4.76248701
01/10/2009,4.42706350
01/11/2009,3.73134892
01/12/2009,3.37228464
01/01/2010,4.39649299
01/02/2010,4.96198330
01/03/2010,5.21648642
01/04/2010,4.43786108
01/05/2010,4.24180736
01/06/2010,4.16274071
01/07/2010,4.11494219
01/08/2010,4.12843700
01/09/2010,4.15134804

