"Banco de México"

"Índices de Precios al Consumidor y UDIS"
"3. Noreste"

"Fecha de consulta: 11/10/2010 10:36:35"

""

"Título","IPC Por objeto del gasto Región Noreste, I n d i c e G e n e r a l"
"Periodo disponible","Ene 1982 - Sep 2010"
"Periodicidad","Mensual"
"Cifra","Indices"
"Unidad","Sin Unidad"
"Base","2Q Jun 2002"
"Aviso",""
"Tipo de información","Inflación mensual interanual"
"Fecha","SP8974"
01/01/2000,11.37848007
01/02/2000,10.89775849
01/03/2000,10.55681603
01/04/2000,10.25385834
01/05/2000,10.17720147
01/06/2000,10.19946269
01/07/2000,9.94480128
01/08/2000,9.97001499
01/09/2000,9.84600963
01/10/2000,9.98568811
01/11/2000,9.97413938
01/12/2000,9.95009659
01/01/2001,9.38076425
01/02/2001,8.96759388
01/03/2001,9.63317827
01/04/2001,9.41834373
01/05/2001,8.79101916
01/06/2001,8.32949766
01/07/2001,7.79470265
01/08/2001,7.57682847
01/09/2001,7.58588469
01/10/2001,7.01253342
01/11/2001,6.55798783
01/12/2001,5.74039412
01/01/2002,5.46035695
01/02/2002,5.40023618
01/03/2002,4.49048919
01/04/2002,4.52893886
01/05/2002,4.77407378
01/06/2002,4.86689229
01/07/2002,5.19317094
01/08/2002,5.20097456
01/09/2002,4.87686084
01/10/2002,5.04294393
01/11/2002,5.18895924
01/12/2002,5.26219784
01/01/2003,5.13878267
01/02/2003,4.93358616
01/03/2003,5.12633539
01/04/2003,4.86977072
01/05/2003,4.49465677
01/06/2003,4.39484507
01/07/2003,4.31845621
01/08/2003,4.08615617
01/09/2003,3.90146985
01/10/2003,3.92768878
01/11/2003,3.91433728
01/12/2003,3.87672312
01/01/2004,3.99003457
01/02/2004,4.17585593
01/03/2004,3.89220983
01/04/2004,3.85707050
01/05/2004,3.92652300
01/06/2004,3.81765726
01/07/2004,3.76569838
01/08/2004,4.18166713
01/09/2004,4.47418993
01/10/2004,4.71624822
01/11/2004,4.64288732
01/12/2004,4.62642117
01/01/2005,3.90658371
01/02/2005,3.62574073
01/03/2005,3.75837936
01/04/2005,3.98159650
01/05/2005,3.49252131
01/06/2005,3.21472755
01/07/2005,3.63457036
01/08/2005,2.98538928
01/09/2005,2.56608722
01/10/2005,2.25010857
01/11/2005,2.77698022
01/12/2005,3.09976906
01/01/2006,3.86069332
01/02/2006,3.58273933
01/03/2006,3.22589245
01/04/2006,2.76720766
01/05/2006,2.72348864
01/06/2006,2.89366346
01/07/2006,2.42908858
01/08/2006,3.02167238
01/09/2006,3.54152794
01/10/2006,3.78710791
01/11/2006,3.58804683
01/12/2006,3.55527387
01/01/2007,3.59069671
01/02/2007,4.03500159
01/03/2007,3.78281120
01/04/2007,2.74091743
01/05/2007,3.74257615
01/06/2007,3.86678374
01/07/2007,4.18895450
01/08/2007,4.04665227
01/09/2007,3.91514611
01/10/2007,4.68135897
01/11/2007,3.74777721
01/12/2007,3.54639659
01/01/2008,3.28266467
01/02/2008,3.18310512
01/03/2008,4.11610024
01/04/2008,4.32898619
01/05/2008,4.78018524
01/06/2008,5.14065233
01/07/2008,5.30154021
01/08/2008,5.45277912
01/09/2008,5.41546332
01/10/2008,5.64885248
01/11/2008,6.30117624
01/12/2008,6.65068904
01/01/2009,6.70087340
01/02/2009,6.68089442
01/03/2009,6.48857091
01/04/2009,6.83821108
01/05/2009,6.48998464
01/06/2009,6.22825801
01/07/2009,5.95828881
01/08/2009,5.69286856
01/09/2009,5.42453015
01/10/2009,5.15718228
01/11/2009,4.33284172
01/12/2009,3.97661707
01/01/2010,4.30604338
01/02/2010,4.62825083
01/03/2010,4.70383145
01/04/2010,4.11312214
01/05/2010,3.29023971
01/06/2010,2.73970550
01/07/2010,2.58902094
01/08/2010,2.73334774
01/09/2010,2.86227661

