"Banco de México"

"Índices de Precios al Consumidor y UDIS"
"2. Noroeste"

"Fecha de consulta: 11/10/2010 10:35:37"

""

"Título","IPC Por objeto del gasto Región Noroeste, I n d i c e G e n e r a l"
"Periodo disponible","Ene 1982 - Sep 2010"
"Periodicidad","Mensual"
"Cifra","Indices"
"Unidad","Sin Unidad"
"Base","2Q Jun 2002"
"Aviso",""
"Tipo de información","Inflación mensual interanual"
"Fecha","SP8965"
01/01/2000,11.67833716
01/02/2000,11.13449546
01/03/2000,10.74573165
01/04/2000,10.41672174
01/05/2000,9.32008110
01/06/2000,9.21976291
01/07/2000,8.91619654
01/08/2000,8.99539022
01/09/2000,8.74915873
01/10/2000,8.76494405
01/11/2000,8.80500398
01/12/2000,8.46213017
01/01/2001,7.90271795
01/02/2001,7.34320736
01/03/2001,7.00055049
01/04/2001,6.80483820
01/05/2001,6.17971937
01/06/2001,5.84779186
01/07/2001,5.17733230
01/08/2001,5.46846248
01/09/2001,5.60251084
01/10/2001,5.23720476
01/11/2001,4.74210724
01/12/2001,4.41734811
01/01/2002,4.71116842
01/02/2002,4.41807248
01/03/2002,4.47198927
01/04/2002,4.37024045
01/05/2002,4.02999063
01/06/2002,4.03600786
01/07/2002,4.76196064
01/08/2002,4.09107601
01/09/2002,3.96173767
01/10/2002,4.24532558
01/11/2002,6.50549947
01/12/2002,6.57971318
01/01/2003,5.97204117
01/02/2003,6.09593065
01/03/2003,6.46772351
01/04/2003,6.53650390
01/05/2003,4.44609518
01/06/2003,4.33159792
01/07/2003,4.12211915
01/08/2003,4.08382270
01/09/2003,3.76282557
01/10/2003,3.40604932
01/11/2003,4.06295166
01/12/2003,3.90751402
01/01/2004,4.02356445
01/02/2004,4.30274414
01/03/2004,4.06792572
01/04/2004,3.96932709
01/05/2004,3.61692317
01/06/2004,3.58163990
01/07/2004,3.88428487
01/08/2004,4.30258422
01/09/2004,4.70078156
01/10/2004,5.56466829
01/11/2004,5.81971678
01/12/2004,5.55123029
01/01/2005,4.82051374
01/02/2005,4.66487984
01/03/2005,4.79263742
01/04/2005,5.08533457
01/05/2005,5.24573749
01/06/2005,5.08711641
01/07/2005,4.82695727
01/08/2005,4.14340369
01/09/2005,3.81681469
01/10/2005,3.10585784
01/11/2005,2.82917707
01/12/2005,3.43242362
01/01/2006,4.01216275
01/02/2006,3.90883942
01/03/2006,3.31104391
01/04/2006,2.90744492
01/05/2006,2.74848701
01/06/2006,2.78446201
01/07/2006,2.78917722
01/08/2006,3.59274070
01/09/2006,4.30104705
01/10/2006,4.29631694
01/11/2006,3.94263738
01/12/2006,3.75883114
01/01/2007,3.83757804
01/02/2007,3.88048630
01/03/2007,4.22568889
01/04/2007,4.34256155
01/05/2007,3.94214529
01/06/2007,4.12486065
01/07/2007,4.28738747
01/08/2007,4.02721573
01/09/2007,3.56010668
01/10/2007,3.53551383
01/11/2007,4.15586500
01/12/2007,4.08458471
01/01/2008,4.18326852
01/02/2008,4.10924123
01/03/2008,4.42380564
01/04/2008,4.62364318
01/05/2008,5.18662103
01/06/2008,5.43650140
01/07/2008,5.73590412
01/08/2008,5.75925624
01/09/2008,5.55785007
01/10/2008,5.55335952
01/11/2008,6.03361254
01/12/2008,6.33215602
01/01/2009,6.01454973
01/02/2009,6.06804256
01/03/2009,6.05080342
01/04/2009,6.44523587
01/05/2009,6.15810481
01/06/2009,6.08025246
01/07/2009,5.51700612
01/08/2009,5.11327709
01/09/2009,5.12098568
01/10/2009,4.75142344
01/11/2009,4.09366075
01/12/2009,3.79458000
01/01/2010,4.39234436
01/02/2010,4.64239010
01/03/2010,4.73404483
01/04/2010,3.84904376
01/05/2010,3.51539416
01/06/2010,3.07131549
01/07/2010,3.32625515
01/08/2010,3.52277479
01/09/2010,3.40531743

