"Banco de México"

"Índices de Precios al Consumidor y UDIS"
"6. Sur"

"Fecha de consulta: 11/10/2010 10:39:33"

""

"Título","IPC Por objeto del gasto Región Sur, I n d i c e G e n e r a l"
"Periodo disponible","Ene 1982 - Sep 2010"
"Periodicidad","Mensual"
"Cifra","Indices"
"Unidad","Sin Unidad"
"Base","2Q Jun 2002"
"Aviso",""
"Tipo de información","Inflación mensual interanual"
"Fecha","SP9001"
01/01/2000,11.36253041
01/02/2000,10.79728562
01/03/2000,10.27954135
01/04/2000,9.66305346
01/05/2000,9.59612019
01/06/2000,9.64956742
01/07/2000,9.32435088
01/08/2000,9.31104884
01/09/2000,9.20345697
01/10/2000,9.12495470
01/11/2000,9.01836765
01/12/2000,8.84852889
01/01/2001,8.11650727
01/02/2001,7.50228906
01/03/2001,7.48192271
01/04/2001,7.62538563
01/05/2001,7.25555771
01/06/2001,6.97443951
01/07/2001,6.19031701
01/08/2001,5.89057451
01/09/2001,5.77559807
01/10/2001,5.68009889
01/11/2001,5.56211751
01/12/2001,4.88250319
01/01/2002,4.98267224
01/02/2002,4.87950955
01/03/2002,5.07726071
01/04/2002,4.39997376
01/05/2002,4.55262900
01/06/2002,4.47750150
01/07/2002,5.16980688
01/08/2002,5.48558629
01/09/2002,5.67009824
01/10/2002,6.30128224
01/11/2002,6.27406729
01/12/2002,6.60873135
01/01/2003,6.48608162
01/02/2003,6.17902145
01/03/2003,6.03864471
01/04/2003,5.44547024
01/05/2003,5.19482484
01/06/2003,5.00508615
01/07/2003,4.80855564
01/08/2003,4.66543101
01/09/2003,4.09185066
01/10/2003,3.86638815
01/11/2003,3.77936670
01/12/2003,3.65492451
01/01/2004,3.30083021
01/02/2004,3.62632956
01/03/2004,3.47259799
01/04/2004,3.63088116
01/05/2004,3.51274192
01/06/2004,3.41028232
01/07/2004,3.82265035
01/08/2004,4.12413114
01/09/2004,4.68079488
01/10/2004,4.97476770
01/11/2004,5.01782796
01/12/2004,4.97419963
01/01/2005,4.96143058
01/02/2005,4.85571076
01/03/2005,4.89646504
01/04/2005,5.03057511
01/05/2005,5.29184961
01/06/2005,5.24811975
01/07/2005,5.09195592
01/08/2005,4.63652652
01/09/2005,4.10480035
01/10/2005,3.89462947
01/11/2005,3.56763926
01/12/2005,3.79238352
01/01/2006,4.29790863
01/02/2006,4.46916574
01/03/2006,4.01105533
01/04/2006,3.69556040
01/05/2006,3.64085537
01/06/2006,3.56248358
01/07/2006,3.34211536
01/08/2006,3.63317138
01/09/2006,4.29691557
01/10/2006,4.58356099
01/11/2006,4.55372007
01/12/2006,4.54329412
01/01/2007,4.59870872
01/02/2007,4.40414508
01/03/2007,4.64598049
01/04/2007,4.63080759
01/05/2007,3.99560458
01/06/2007,4.11726902
01/07/2007,4.41418550
01/08/2007,4.26986270
01/09/2007,4.07424925
01/10/2007,3.69046161
01/11/2007,3.72747389
01/12/2007,3.60543942
01/01/2008,3.37475221
01/02/2008,3.38049048
01/03/2008,3.85712564
01/04/2008,4.14619911
01/05/2008,4.94342935
01/06/2008,5.34082695
01/07/2008,5.42413169
01/08/2008,5.53482087
01/09/2008,5.10911077
01/10/2008,5.11076473
01/11/2008,5.88740022
01/12/2008,6.42160858
01/01/2009,6.25945154
01/02/2009,6.21181421
01/03/2009,6.38786800
01/04/2009,6.77220756
01/05/2009,6.40829035
01/06/2009,6.03301389
01/07/2009,5.67881163
01/08/2009,5.41069945
01/09/2009,5.57759556
01/10/2009,5.27344628
01/11/2009,4.60624624
01/12/2009,3.88922841
01/01/2010,4.97080313
01/02/2010,5.35178405
01/03/2010,5.18832590
01/04/2010,4.45539502
01/05/2010,4.06440155
01/06/2010,3.63853179
01/07/2010,3.53913586
01/08/2010,3.71072002
01/09/2010,3.85317278

