"","INPC (Real)","Pronostico-1","Pronostico-2","Pronostico-3","Pronostico-4","Pronostico-5","Pronostico-6"
"1",94.001880244985,NA,NA,NA,NA,NA,NA
"2",94.365486444263,NA,NA,NA,NA,NA,NA
"3",94.829326291632,NA,NA,NA,NA,NA,NA
"4",94.901218011641,NA,NA,NA,NA,NA,NA
"5",94.921956007797,NA,NA,NA,NA,NA,NA
"6",95.360218993239,NA,NA,NA,NA,NA,NA
"7",96.541593507625,NA,NA,NA,NA,NA,NA
"8",97.150599328089,97.0658960254989,NA,NA,NA,NA,NA
"9",97.777578078556,97.2792987058212,97.419304384971,NA,NA,NA,NA
"10",97.666284165849,97.2780614871487,97.389865718996,97.8715384497164,NA,NA,NA
"11",97.395307682736,97.4300928337874,97.5002531107785,97.9049178446976,97.5762394281408,NA,NA
"12",97.393233883121,97.5849108045271,97.647881327316,97.8565947263196,97.5735398923337,97.3578847375174,NA
"13",97.678035697004,97.7520664376553,97.8484270374612,98.1241925679567,97.9540320679271,97.769725020531,97.7984484207304
"14",97.973897775504,NA,98.0853877405203,98.3524058784931,98.1828060467404,98.122019282969,98.1399415091512
"15",98.406630628638,NA,NA,98.88139144701,98.6569679385032,98.603029077892,98.6601808110348
"16",98.678989644827,NA,NA,NA,98.8582108365286,98.8397849307164,98.9333282055205
"17",99.107574898729,NA,NA,NA,NA,99.1812681252392,99.1977026638702
"18",99.652984197647,NA,NA,NA,NA,NA,99.5753829524619
