"","INPC (Real)","Pronostico-1","Pronostico-2","Pronostico-3","Pronostico-4","Pronostico-5","Pronostico-6"
"1",93.768935295391,NA,NA,NA,NA,NA,NA
"2",94.03200064921,NA,NA,NA,NA,NA,NA
"3",94.708937459424,NA,NA,NA,NA,NA,NA
"4",94.897614152781,NA,NA,NA,NA,NA,NA
"5",94.877326336291,NA,NA,NA,NA,NA,NA
"6",95.224924258818,NA,NA,NA,NA,NA,NA
"7",96.349545552911,NA,NA,NA,NA,NA,NA
"8",96.81413655053,96.9124129552225,NA,NA,NA,NA,NA
"9",97.568167063406,97.1615820862145,96.9645446676508,NA,NA,NA,NA
"10",97.161734473058,97.0597806462853,96.8249979782574,97.555113448154,NA,NA,NA
"11",96.993345596191,97.1256089419435,96.8875333599614,97.526940256081,97.0735756077138,NA,NA
"12",96.927072062324,97.3462233082847,97.0970398115938,97.601914447589,97.17641984185,97.1150806434064,NA
"13",97.210425232634,97.4965469891502,97.187880315982,97.5929112717356,97.182640538174,97.155551180066,96.8977236135665
"14",97.532325254274,NA,97.6548588176213,98.1326407827147,97.811570830276,97.807192057408,97.5149532112931
"15",98.119995671932,NA,NA,98.8729641818476,98.5208748333981,98.546003876547,98.3539665604106
"16",98.828040467431,NA,NA,NA,99.181019518868,99.2088054617283,99.054256355071
"17",99.220947846786,NA,NA,NA,NA,99.6091715801261,99.4032896869833
"18",99.73693464618,NA,NA,NA,NA,NA,99.7707666436535
