"","INPC (Real)","Pronostico-1","Pronostico-2","Pronostico-3","Pronostico-4","Pronostico-5","Pronostico-6"
"1",93.451880331611,NA,NA,NA,NA,NA,NA
"2",93.613728081645,NA,NA,NA,NA,NA,NA
"3",93.803139422295,NA,NA,NA,NA,NA,NA
"4",94.061106360122,NA,NA,NA,NA,NA,NA
"5",96.284569336566,NA,NA,NA,NA,NA,NA
"6",96.570099865009,NA,NA,NA,NA,NA,NA
"7",97.408315723262,NA,NA,NA,NA,NA,NA
"8",97.882550833622,97.8913517739364,NA,NA,NA,NA,NA
"9",98.339116975638,98.4956924516768,98.5090377716186,NA,NA,NA,NA
"10",98.356079185249,98.8391864590053,98.854885177891,98.5848224761131,NA,NA,NA
"11",96.095157995915,96.4667136148598,96.5592610027318,96.228370020476,95.965349146529,NA,NA
"12",96.046391643285,96.3718180372063,96.6503321747442,96.3324894738351,96.1747975726275,96.264950676519,NA
"13",96.218840774325,96.3644883653973,96.7178337254997,96.4441735289632,96.1998576987689,96.2307252378116,95.9873889303696
"14",96.423800807118,NA,96.9069489689598,96.5302608526666,96.0861392385116,96.2126779165896,95.9816276938048
"15",96.806157282089,NA,NA,96.8581279881578,96.419396377812,96.800825522546,96.5716970831565
"16",97.103702709006,NA,NA,NA,97.191263307296,97.6527882866662,97.419530697204
"17",99.422578114509,NA,NA,NA,NA,99.8209028068082,99.4652676136695
"18",99.79574672594,NA,NA,NA,NA,NA,99.8544182804293
