"","INPC (Real)","Pronostico-1","Pronostico-2","Pronostico-3","Pronostico-4","Pronostico-5","Pronostico-6"
"1",93.822276743256,NA,NA,NA,NA,NA,NA
"2",93.966313351987,NA,NA,NA,NA,NA,NA
"3",94.476988601122,NA,NA,NA,NA,NA,NA
"4",94.4983528828,NA,NA,NA,NA,NA,NA
"5",94.625849402489,NA,NA,NA,NA,NA,NA
"6",95.106890325426,NA,NA,NA,NA,NA,NA
"7",96.093093134485,NA,NA,NA,NA,NA,NA
"8",96.755385866494,96.1627470813736,NA,NA,NA,NA,NA
"9",97.55413433309,96.37581808342,97.0164112520856,NA,NA,NA,NA
"10",97.42457030227,96.603380039265,97.1521794266137,97.6442943927965,NA,NA,NA
"11",97.400449339086,96.8225874123823,97.2949221167146,97.744279216864,97.4186118288023,NA,NA
"12",97.519675814255,97.0556383941852,97.5263849855596,97.8806431888035,97.597965428166,97.522709542942,NA
"13",97.683009193533,97.2695208934307,97.7963276937526,98.1036261194235,97.805419518795,97.7351900196215,97.7900966079117
"14",97.845653402434,NA,98.0947300922345,98.4537034189399,98.1566576115317,98.085492159633,98.135751955301
"15",98.399057214925,NA,NA,98.9764054388704,98.6898885872172,98.6248057920675,98.680721696768
"16",98.700224669543,NA,NA,NA,98.8975905138,98.8326124174478,98.8855799597086
"17",99.117172747447,NA,NA,NA,NA,99.066366646865,99.117704701146
"18",99.740871938361,NA,NA,NA,NA,NA,99.624440653416
