"","INPC (Real)","Pronostico-1","Pronostico-2","Pronostico-3","Pronostico-4","Pronostico-5","Pronostico-6"
"1",93.671601856385,NA,NA,NA,NA,NA,NA
"2",93.895719694096,NA,NA,NA,NA,NA,NA
"3",94.366711949963,NA,NA,NA,NA,NA,NA
"4",94.65220359554,NA,NA,NA,NA,NA,NA
"5",95.143194058464,NA,NA,NA,NA,NA,NA
"6",95.536951859488,NA,NA,NA,NA,NA,NA
"7",96.575479439774,NA,NA,NA,NA,NA,NA
"8",97.134050050685,97.1033950737728,NA,NA,NA,NA,NA
"9",97.823643397489,97.538916184663,97.5259366197157,NA,NA,NA,NA
"10",97.511947204733,97.4731449767234,97.4475365103215,97.9420152270507,NA,NA,NA
"11",96.897519532732,97.062865721411,97.0217426507068,97.5502505702735,96.9919090735976,NA,NA
"12",96.867177425472,97.163348265375,97.1213114809702,97.6778834374407,97.0770803254123,96.9913657396396,NA
"13",97.077503396247,97.321095954588,97.2629158742357,97.784120616205,97.0646451841944,96.9768519434998,96.7926389096107
"14",97.347134394847,NA,97.6467490206423,98.1489583541083,97.4270218341882,97.387744801879,97.1979118402782
"15",97.857433471482,NA,NA,98.6241152334375,97.8645318890317,97.8505700602532,97.716840000491
"16",98.461517243282,NA,NA,NA,98.4691143352555,98.4828231056835,98.4037553504095
"17",99.250412032025,NA,NA,NA,NA,99.254277388227,99.1983240559343
"18",99.742092088296,NA,NA,NA,NA,NA,99.7709825045349
