"","INPC (Real)","Pronostico-1","Pronostico-2","Pronostico-3","Pronostico-4","Pronostico-5","Pronostico-6"
"1",94.452362138059,NA,NA,NA,NA,NA,NA
"2",94.70494440368,NA,NA,NA,NA,NA,NA
"3",95.023847152452,NA,NA,NA,NA,NA,NA
"4",96.243720720212,NA,NA,NA,NA,NA,NA
"5",96.327679629734,NA,NA,NA,NA,NA,NA
"6",96.628943952136,NA,NA,NA,NA,NA,NA
"7",97.637156403454,NA,NA,NA,NA,NA,NA
"8",98.154315064627,97.7212426592593,NA,NA,NA,NA,NA
"9",98.735677597787,98.0459457224495,98.4969178353453,NA,NA,NA,NA
"10",97.6879550714,97.1433842875329,97.7309559613213,97.9042370332405,NA,NA,NA
"11",97.012050572896,96.8634451701974,97.5359953710782,97.7665850267292,97.4222073071087,NA,NA
"12",96.729835750974,96.625689236481,97.5964799562036,97.8389053829327,97.6417237470194,97.073020194079,NA
"13",96.897753570018,96.1506851399032,97.291822510983,97.7235474188533,97.541692303016,97.249322252291,96.77824045071
"14",97.293559857764,NA,97.5440972961787,97.9502056383152,98.0356315040971,97.8452656555534,97.5353723554357
"15",97.74369249873,NA,NA,97.8290309726454,97.8343963996019,98.0830310380383,97.894848106661
"16",99.299401704578,NA,NA,NA,98.8550493147622,98.8991707300588,99.1164520103964
"17",99.628181972117,NA,NA,NA,NA,99.3086018901645,99.3867094359666
"18",99.845487384997,NA,NA,NA,NA,NA,99.3948884224427
