"","INPC (Real)","Pronostico-1","Pronostico-2","Pronostico-3","Pronostico-4","Pronostico-5","Pronostico-6"
"1",90.744160927051,NA,NA,NA,NA,NA,NA
"2",90.886845667118,NA,NA,NA,NA,NA,NA
"3",91.358905461358,NA,NA,NA,NA,NA,NA
"4",91.386242257353,NA,NA,NA,NA,NA,NA
"5",95.5027636834,NA,NA,NA,NA,NA,NA
"6",95.840139751035,NA,NA,NA,NA,NA,NA
"7",96.664244137591,NA,NA,NA,NA,NA,NA
"8",97.102299624619,97.3308990659825,NA,NA,NA,NA,NA
"9",97.754382221748,97.4432276981549,97.0603670960258,NA,NA,NA,NA
"10",97.681706349471,97.6230005938295,97.1527797416906,98.001626297535,NA,NA,NA
"11",93.435168454671,93.4982198847657,93.0953941212035,93.8340884335325,93.4792030363658,NA,NA
"12",93.329155026303,93.6059883368287,93.2891858924995,93.804753949023,93.5099728864226,93.3805079710411,NA
"13",93.762543255479,93.840022402723,93.466797651727,93.9752644996313,93.7548126551014,93.4878364423705,93.3977981071141
"14",94.088584554044,NA,93.678198588225,94.1280212547518,93.7925693621714,93.5777608102302,93.4913989955846
"15",94.469966195718,NA,NA,94.1815916044163,93.9260237795865,93.779544784024,93.7160718095835
"16",94.88335189124,NA,NA,NA,94.9027201759546,94.6532103043733,94.6548451179463
"17",99.451263826751,NA,NA,NA,NA,99.3365329315009,99.2769491543637
"18",99.774638120829,NA,NA,NA,NA,NA,99.7946762643934
