"","INPC (Real)","Pronostico-1","Pronostico-2","Pronostico-3","Pronostico-4","Pronostico-5","Pronostico-6"
"1",97.666284165849,NA,NA,NA,NA,NA,NA
"2",97.395307682736,NA,NA,NA,NA,NA,NA
"3",97.393233883121,NA,NA,NA,NA,NA,NA
"4",97.678035697004,NA,NA,NA,NA,NA,NA
"5",97.973897775504,NA,NA,NA,NA,NA,NA
"6",98.406630628638,NA,NA,NA,NA,NA,NA
"7",98.678989644827,NA,NA,NA,NA,NA,NA
"8",99.107574898729,99.0702825106004,NA,NA,NA,NA,NA
"9",99.652984197647,99.593986225275,99.6737781720118,NA,NA,NA,NA
"10",100.254,100.042725197281,100.158414740950,100.123546754317,NA,NA,NA
"11",100.511,100.313755819252,100.397486148223,100.277998246944,100.486827298625,NA,NA
"12",100.813,100.575780262231,100.655892613396,100.528914645758,100.672017393073,100.718809891185,NA
"13",101.132,100.624158114044,100.743603532357,100.687315303217,100.788665291987,100.697237316412,100.836071957761
"14",100.932,NA,100.854096756649,100.866186209389,100.997494741560,100.955725929442,101.087600373433
"15",100.914,NA,NA,100.998195197738,101.153119626284,101.213693443982,101.337317135330
"16",101.441,NA,NA,NA,101.49367651603,101.612461449084,101.724349042043
"17",101.61,NA,NA,NA,NA,101.867911755299,101.998166025731
"18",101.896,NA,NA,NA,NA,NA,102.360929732084
