"","INPC (Real)","Pronostico-1","Pronostico-2","Pronostico-3","Pronostico-4","Pronostico-5","Pronostico-6"
"1",97.161734473058,NA,NA,NA,NA,NA,NA
"2",96.993345596191,NA,NA,NA,NA,NA,NA
"3",96.927072062324,NA,NA,NA,NA,NA,NA
"4",97.210425232634,NA,NA,NA,NA,NA,NA
"5",97.532325254274,NA,NA,NA,NA,NA,NA
"6",98.119995671932,NA,NA,NA,NA,NA,NA
"7",98.828040467431,NA,NA,NA,NA,NA,NA
"8",99.220947846786,99.135516554385,NA,NA,NA,NA,NA
"9",99.73693464618,99.5141152114953,99.63922024926,NA,NA,NA,NA
"10",100.313,99.9913286208447,100.126113867512,100.279256651072,NA,NA,NA
"11",100.802,100.224519140186,100.405079029291,100.597615576647,100.558743460933,NA,NA
"12",100.9,100.640977876927,100.830572345144,101.050228573536,100.860454714079,101.188487336480,NA
"13",100.965,100.660274111921,100.883393985046,101.169328386757,100.910160523374,101.274871180171,100.905551789236
"14",100.983,NA,101.046495571488,101.385331426930,100.971972896755,101.349890366138,101.033985678237
"15",100.976,NA,NA,101.528891524325,101.076464501628,101.414344085977,101.126510710814
"16",101.566,NA,NA,NA,101.263232755706,101.630099722506,101.400897492703
"17",101.862,NA,NA,NA,NA,102.027710246388,101.775746341383
"18",102.096,NA,NA,NA,NA,NA,102.427218624236
