"","INPC (Real)","Pronostico-1","Pronostico-2","Pronostico-3","Pronostico-4","Pronostico-5","Pronostico-6"
"1",98.356079185249,NA,NA,NA,NA,NA,NA
"2",96.095157995915,NA,NA,NA,NA,NA,NA
"3",96.046391643285,NA,NA,NA,NA,NA,NA
"4",96.218840774325,NA,NA,NA,NA,NA,NA
"5",96.423800807118,NA,NA,NA,NA,NA,NA
"6",96.806157282089,NA,NA,NA,NA,NA,NA
"7",97.103702709006,NA,NA,NA,NA,NA,NA
"8",99.422578114509,99.0434440548826,NA,NA,NA,NA,NA
"9",99.79574672594,99.0841115919642,99.37338379971,NA,NA,NA,NA
"10",100.31,99.2025206750501,99.41784018081,99.7345364064068,NA,NA,NA
"11",100.56,99.5889940687407,99.8946028066973,100.086528188587,100.715032328309,NA,NA
"12",100.776,99.6443952628192,100.105534750439,100.406588857996,101.026740245290,100.743807823131,NA
"13",100.232,99.5872686439894,100.130989366041,100.625837540118,101.425342170189,100.982451085537,100.833838064631
"14",97.23,NA,97.8489140465728,98.4600430890002,99.4625750708048,99.313726964671,98.9685629074857
"15",97.02,NA,NA,98.1075574452083,98.9790582216658,99.1953549491563,99.0826272348997
"16",97.416,NA,NA,NA,98.507068076837,98.5953576413125,98.847391576405
"17",97.521,NA,NA,NA,NA,98.2423992866306,98.6320842764837
"18",97.814,NA,NA,NA,NA,NA,98.6329547475626
