"","INPC (Real)","Pronostico-1","Pronostico-2","Pronostico-3","Pronostico-4","Pronostico-5","Pronostico-6"
"1",97.42457030227,NA,NA,NA,NA,NA,NA
"2",97.400449339086,NA,NA,NA,NA,NA,NA
"3",97.519675814255,NA,NA,NA,NA,NA,NA
"4",97.683009193533,NA,NA,NA,NA,NA,NA
"5",97.845653402434,NA,NA,NA,NA,NA,NA
"6",98.399057214925,NA,NA,NA,NA,NA,NA
"7",98.700224669543,NA,NA,NA,NA,NA,NA
"8",99.117172747447,99.2065926239285,NA,NA,NA,NA,NA
"9",99.740871938361,99.888800796311,99.7321502353029,NA,NA,NA,NA
"10",100.068,100.344307607125,100.157178451327,100.160209030361,NA,NA,NA
"11",100.512,100.395164642332,100.250000556495,100.212275552322,100.134779092073,NA,NA
"12",100.688,100.660922795258,100.593014848758,100.568311109086,100.447277239538,100.966637928301,NA
"13",101.131,100.740914695733,100.764721049425,100.779497160971,100.621638645369,101.077614023028,100.761857092792
"14",100.998,NA,100.961242699954,101.033562043625,100.991174733228,101.389042193448,101.094539771830
"15",101.026,NA,NA,101.14160131292,101.264920030111,101.591902872628,101.326010914773
"16",101.594,NA,NA,NA,101.678147313914,102.036077802300,101.816776680201
"17",101.661,NA,NA,NA,NA,102.384935145604,102.099389331988
"18",101.893,NA,NA,NA,NA,NA,102.549471954035
