"","INPC (Real)","Pronostico-1","Pronostico-2","Pronostico-3","Pronostico-4","Pronostico-5","Pronostico-6"
"1",97.511947204733,NA,NA,NA,NA,NA,NA
"2",96.897519532732,NA,NA,NA,NA,NA,NA
"3",96.867177425472,NA,NA,NA,NA,NA,NA
"4",97.077503396247,NA,NA,NA,NA,NA,NA
"5",97.347134394847,NA,NA,NA,NA,NA,NA
"6",97.857433471482,NA,NA,NA,NA,NA,NA
"7",98.461517243282,NA,NA,NA,NA,NA,NA
"8",99.250412032025,99.2312934641611,NA,NA,NA,NA,NA
"9",99.742092088296,99.7233660899399,99.6734702218489,NA,NA,NA,NA
"10",100.228,100.078161614456,99.9967368750019,100.042435357535,NA,NA,NA
"11",100.604,100.222820369993,100.188442068621,100.172390084221,100.553526209052,NA,NA
"12",100.797,100.427708556780,100.424747821651,100.416913746089,100.832900039602,100.985353891612,NA
"13",100.789,100.282264051655,100.380753976491,100.360121291125,100.683420181054,100.896755772778,100.495373175409
"14",100.046,NA,100.243116490501,100.273989588335,100.521107281567,100.675019216672,100.202048148670
"15",100.041,NA,NA,100.594495202025,100.742489255614,100.848569415407,100.530703865082
"16",100.521,NA,NA,NA,101.052937842478,101.095503300375,100.904901429414
"17",100.68,NA,NA,NA,NA,101.23320580661,101.115649531854
"18",100.927,NA,NA,NA,NA,NA,101.569790534930
