"","INPC (Real)","Pronostico-1","Pronostico-2","Pronostico-3","Pronostico-4","Pronostico-5","Pronostico-6"
"1",97.6879550714,NA,NA,NA,NA,NA,NA
"2",97.012050572896,NA,NA,NA,NA,NA,NA
"3",96.729835750974,NA,NA,NA,NA,NA,NA
"4",96.897753570018,NA,NA,NA,NA,NA,NA
"5",97.293559857764,NA,NA,NA,NA,NA,NA
"6",97.74369249873,NA,NA,NA,NA,NA,NA
"7",99.299401704578,NA,NA,NA,NA,NA,NA
"8",99.628181972117,99.8731355976636,NA,NA,NA,NA,NA
"9",99.845487384997,100.088424447295,99.8230812054915,NA,NA,NA,NA
"10",100.366,100.667538388433,100.366337738890,100.384955318394,NA,NA,NA
"11",100.715,100.811583131892,100.496470380501,100.509827278363,100.501238035958,NA,NA
"12",100.873,101.073958894385,100.752179686939,100.771403366983,100.625697147401,100.868990928062,NA
"13",100.167,100.870458364983,100.548819655682,100.578213946119,100.280721744623,100.491599601527,100.463270491231
"14",100.023,NA,100.343554227366,100.389381112090,99.9625124569014,100.116512217126,100.110353486807
"15",100.039,NA,NA,100.494214237462,99.9636271624181,100.067802337885,100.104239410250
"16",100.369,NA,NA,NA,100.094358398307,100.150034655815,100.229578860770
"17",100.572,NA,NA,NA,NA,100.294219557961,100.420635528223
"18",100.787,NA,NA,NA,NA,NA,100.780558135959
