"","INPC (Real)","Pronostico-1","Pronostico-2","Pronostico-3","Pronostico-4","Pronostico-5","Pronostico-6"
"1",96.47218818587,NA,NA,NA,NA,NA,NA
"2",96.255402803399,NA,NA,NA,NA,NA,NA
"3",95.959174330456,NA,NA,NA,NA,NA,NA
"4",96.05814157028,NA,NA,NA,NA,NA,NA
"5",96.566442699988,NA,NA,NA,NA,NA,NA
"6",97.315766087226,NA,NA,NA,NA,NA,NA
"7",99.037930709467,NA,NA,NA,NA,NA,NA
"8",99.25269635235,99.2033823134058,NA,NA,NA,NA,NA
"9",99.672128940175,99.7504207428137,99.8221660417494,NA,NA,NA,NA
"10",100.175,100.352795805344,100.455941616657,100.200229901591,NA,NA,NA
"11",100.457,100.412289961605,100.546309148261,100.216697996149,100.171677168742,NA,NA
"12",100.563,100.765684024419,100.979605800114,100.650291599450,100.477603172037,100.915483373101,NA
"13",99.801,100.056254013855,100.358870702001,100.095901319978,99.8407339905194,100.343387124156,99.8492223953906
"14",99.953,NA,100.683900541641,100.414864583855,99.9980405333884,100.455571906598,100.023531508399
"15",100.073,NA,NA,100.778510442518,100.189076400111,100.523572114474,100.193866703856
"16",100.463,NA,NA,NA,100.391835514622,100.710140065309,100.456081509601
"17",100.723,NA,NA,NA,NA,101.026120702758,100.765928560404
"18",100.893,NA,NA,NA,NA,NA,101.53121616123
