"","INPC (Real)","Pronostico-1","Pronostico-2","Pronostico-3","Pronostico-4","Pronostico-5","Pronostico-6"
"1",97.777578078556,NA,NA,NA,NA,NA,NA
"2",97.666284165849,NA,NA,NA,NA,NA,NA
"3",97.395307682736,NA,NA,NA,NA,NA,NA
"4",97.393233883121,NA,NA,NA,NA,NA,NA
"5",97.678035697004,NA,NA,NA,NA,NA,NA
"6",97.973897775504,NA,NA,NA,NA,NA,NA
"7",98.406630628638,NA,NA,NA,NA,NA,NA
"8",98.678989644827,98.5874816638262,NA,NA,NA,NA,NA
"9",99.107574898729,98.9572592462886,99.0672954300466,NA,NA,NA,NA
"10",99.652984197647,99.4801026390538,99.5851962202465,99.6681780665551,NA,NA,NA
"11",100.254,99.9552001912194,100.029331442844,100.145063554767,100.121099838766,NA,NA
"12",100.511,100.239736866547,100.296254084081,100.376897536216,100.271278655916,100.483422137618,NA
"13",100.813,100.491565646084,100.557357297684,100.636615561467,100.524475195108,100.673811558629,100.734403929495
"14",101.132,NA,100.606404109056,100.729828516589,100.687406904307,100.798299337264,100.734185493780
"15",100.932,NA,NA,100.833668032141,100.859660244624,100.997596717414,100.988247426974
"16",100.914,NA,NA,NA,100.987272996396,101.146209382362,101.232026147394
"17",101.441,NA,NA,NA,NA,101.479976527569,101.613556548118
"18",101.61,NA,NA,NA,NA,NA,101.871463075197
