"","INPC (Real)","Pronostico-1","Pronostico-2","Pronostico-3","Pronostico-4","Pronostico-5","Pronostico-6"
"1",97.55413433309,NA,NA,NA,NA,NA,NA
"2",97.42457030227,NA,NA,NA,NA,NA,NA
"3",97.400449339086,NA,NA,NA,NA,NA,NA
"4",97.519675814255,NA,NA,NA,NA,NA,NA
"5",97.683009193533,NA,NA,NA,NA,NA,NA
"6",97.845653402434,NA,NA,NA,NA,NA,NA
"7",98.399057214925,NA,NA,NA,NA,NA,NA
"8",98.700224669543,98.6335638443833,NA,NA,NA,NA,NA
"9",99.117172747447,99.0577695004944,99.1182895503718,NA,NA,NA,NA
"10",99.740871938361,99.750052266617,99.6637970723996,99.6610543268027,NA,NA,NA
"11",100.068,100.071311971322,99.9965933976464,100.011204831205,100.124399465263,NA,NA
"12",100.512,100.373447985629,100.151678114371,100.149447330040,100.182529189381,100.075212801615,NA
"13",100.688,100.782620139117,100.568061090226,100.617466742896,100.595117480143,100.482111182417,100.937655130260
"14",101.131,NA,100.781389970310,100.829436424651,100.798082904232,100.787790465003,101.266002622295
"15",100.998,NA,NA,101.100440216415,101.052914653125,100.931642482417,101.420274180293
"16",101.026,NA,NA,NA,101.279169334721,101.182566838746,101.797762018275
"17",101.594,NA,NA,NA,NA,101.564772741231,102.419982799904
"18",101.661,NA,NA,NA,NA,NA,102.843980285518
