"","INPC (Real)","Pronostico-1","Pronostico-2","Pronostico-3","Pronostico-4","Pronostico-5","Pronostico-6"
"1",97.823643397489,NA,NA,NA,NA,NA,NA
"2",97.511947204733,NA,NA,NA,NA,NA,NA
"3",96.897519532732,NA,NA,NA,NA,NA,NA
"4",96.867177425472,NA,NA,NA,NA,NA,NA
"5",97.077503396247,NA,NA,NA,NA,NA,NA
"6",97.347134394847,NA,NA,NA,NA,NA,NA
"7",97.857433471482,NA,NA,NA,NA,NA,NA
"8",98.461517243282,98.610948655547,NA,NA,NA,NA,NA
"9",99.250412032025,99.3303146287163,99.1594336178194,NA,NA,NA,NA
"10",99.742092088296,99.9092260647257,99.7968269558325,99.8307616098034,NA,NA,NA
"11",100.228,100.188983880185,100.225377143044,100.155336799453,99.981273011276,NA,NA
"12",100.604,100.398673178190,100.590812611015,100.415947546103,100.170525121883,100.638196995935,NA
"13",100.797,100.626601475165,100.861422625488,100.575895984957,100.414700226341,100.951930704152,100.973566426380
"14",100.789,NA,100.606126207306,100.354780149254,100.319829977108,100.883004359344,101.024928726194
"15",100.046,NA,NA,100.092575372410,100.171476302837,100.778517072019,100.881853462953
"16",100.041,NA,NA,NA,100.498219894537,101.146598311535,101.169546164887
"17",100.521,NA,NA,NA,NA,101.688794457462,101.572084854862
"18",100.68,NA,NA,NA,NA,NA,101.614941786261
