"","INPC (Real)","Pronostico-1","Pronostico-2","Pronostico-3","Pronostico-4","Pronostico-5","Pronostico-6"
"1",98.735677597787,NA,NA,NA,NA,NA,NA
"2",97.6879550714,NA,NA,NA,NA,NA,NA
"3",97.012050572896,NA,NA,NA,NA,NA,NA
"4",96.729835750974,NA,NA,NA,NA,NA,NA
"5",96.897753570018,NA,NA,NA,NA,NA,NA
"6",97.293559857764,NA,NA,NA,NA,NA,NA
"7",97.74369249873,NA,NA,NA,NA,NA,NA
"8",99.299401704578,98.9440814762994,NA,NA,NA,NA,NA
"9",99.628181972117,99.6493367999858,100.041075634129,NA,NA,NA,NA
"10",99.845487384997,100.358873048780,100.663896568182,99.9286213592144,NA,NA,NA
"11",100.366,100.695705234892,100.981338640454,100.229312485472,99.9710587953949,NA,NA
"12",100.715,100.570103384789,100.804080381210,100.121320782100,99.7837361324216,100.517943682588,NA
"13",100.873,100.829782853120,101.171323814320,100.635006399090,100.291273898513,100.894767796229,101.289811569127
"14",100.167,NA,100.356418685143,99.8892376525233,99.6165454682233,100.079441856795,100.518883050279
"15",100.023,NA,NA,99.9048398962016,99.7107308829589,100.001742616795,100.392023353460
"16",100.039,NA,NA,NA,99.895806309051,100.058232224633,100.339154355421
"17",100.369,NA,NA,NA,NA,100.217413624030,100.441265552511
"18",100.572,NA,NA,NA,NA,NA,100.487040398138
