"","INPC (Real)","Pronostico-1","Pronostico-2","Pronostico-3","Pronostico-4","Pronostico-5","Pronostico-6"
"1",97.754382221748,NA,NA,NA,NA,NA,NA
"2",97.681706349471,NA,NA,NA,NA,NA,NA
"3",93.435168454671,NA,NA,NA,NA,NA,NA
"4",93.329155026303,NA,NA,NA,NA,NA,NA
"5",93.762543255479,NA,NA,NA,NA,NA,NA
"6",94.088584554044,NA,NA,NA,NA,NA,NA
"7",94.469966195718,NA,NA,NA,NA,NA,NA
"8",94.88335189124,95.2404760692054,NA,NA,NA,NA,NA
"9",99.451263826751,99.7294667991355,99.188343468016,NA,NA,NA,NA
"10",99.774638120829,100.211493153851,99.5753125187643,99.8905871765018,NA,NA,NA
"11",100.304,100.425317531423,99.8668245815665,100.220956293223,99.9711628391222,NA,NA
"12",100.851,100.664335021569,100.218053603770,100.504342120082,100.268182270583,100.673923593543,NA
"13",101.165,101.126389616436,100.831692250991,101.136338881012,101.019747799717,101.194764359091,101.527386824565
"14",101.454,NA,100.835946591561,101.25376170941,101.146877456483,101.313861571084,101.588481967237
"15",95.482,NA,NA,96.9399750949014,96.998412384791,97.310859106851,97.3727159833455
"16",95.493,NA,NA,NA,97.1958824792302,97.1722307754225,97.2285231413587
"17",95.803,NA,NA,NA,NA,97.1472368788065,97.0719570609385
"18",95.896,NA,NA,NA,NA,NA,97.1530109616387
