"","INPC (Real)","Pronostico-1","Pronostico-2","Pronostico-3","Pronostico-4","Pronostico-5","Pronostico-6"
"1",97.375011781814,NA,NA,NA,NA,NA,NA
"2",96.47218818587,NA,NA,NA,NA,NA,NA
"3",96.255402803399,NA,NA,NA,NA,NA,NA
"4",95.959174330456,NA,NA,NA,NA,NA,NA
"5",96.05814157028,NA,NA,NA,NA,NA,NA
"6",96.566442699988,NA,NA,NA,NA,NA,NA
"7",97.315766087226,NA,NA,NA,NA,NA,NA
"8",99.037930709467,98.4752931605162,NA,NA,NA,NA,NA
"9",99.25269635235,98.617062596114,99.1865084662452,NA,NA,NA,NA
"10",99.672128940175,99.3226360484642,99.657147974385,99.7402133465037,NA,NA,NA
"11",100.175,100.141363862461,100.294750642743,100.386637936188,100.221524700228,NA,NA
"12",100.457,100.263911107366,100.374975222715,100.461212044190,100.213473814035,100.147956940026,NA
"13",100.563,100.476399784858,100.658528461443,100.818830901338,100.558896811472,100.325288002206,100.845877554672
"14",99.801,NA,99.8396580980232,100.079754556035,99.9144208188633,99.6173108501086,100.274752063608
"15",99.953,NA,NA,100.295248589561,100.138362574040,99.680087180922,100.325175344136
"16",100.073,NA,NA,NA,100.412172918433,99.8281335992322,100.324762713711
"17",100.463,NA,NA,NA,NA,100.046020974367,100.531876487493
"18",100.723,NA,NA,NA,NA,NA,100.820079338425
