Ocupación, empleo y remuneraciones > Tasas de ocupación, desocupación y subocupación (resultados mensuales de la ENOE, 15 años y más) > Urbana, agregado de 32 ciudades > Tasa de desocupación
Unidad de medida:Porcentaje
Periodicidad: Mensual
"Periodo","Total a/  ","Hombres a/  ","Mujeres a/  "
"2005/01","4.67986878","4.44262251","5.05320973"
"2005/02","5.15554993","4.84453101","5.64760312"
"2005/03","4.90431545","4.44909894","5.6207702"
"2005/04","4.26701316","3.9732124","4.7194608"
"2005/05","4.70697067","4.83082919","4.51452936"
"2005/06","4.51415148","4.57393163","4.42306679"
"2005/07","5.28748572","4.69649964","6.18462822"
"2005/08","5.0849302","4.55775661","5.9004829"
"2005/09","4.66533076","4.59022314","4.77834846"
"2005/10","4.24638504","3.8367578","4.84420483"
"2005/11","3.99630261","3.81250108","4.278178"
"2005/12","3.52755395","3.70502723","3.25284548"
"2006/01","4.46923879","4.53848569","4.36690832"
"2006/02","4.92921001","4.85063824","5.04770571"
"2006/03","4.23984438","4.08070698","4.47743157"
"2006/04","4.13020655","3.7339864","4.72109808"
"2006/05","3.88681254","3.72006977","4.13887619"
"2006/06","4.57958703","4.46355638","4.75156491"
"2006/07","5.45095816","4.83030283","6.35246575"
"2006/08","4.78962568","4.51043745","5.21363008"
"2006/09","5.13276297","5.11836391","5.15378353"
"2006/10","4.68396862","4.25304162","5.3051151"
"2006/11","4.5395289","4.27978711","4.92948057"
"2006/12","3.99518062","3.8346285","4.23028753"
"2007/01","5.11586734","4.56803699","5.92368015"
"2007/02","5.1622074","4.76252574","5.76571022"
"2007/03","4.99333147","4.65778915","5.47668091"
"2007/04","4.57796781","4.32766031","4.95275229"
"2007/05","4.33418131","4.19110431","4.55113263"
"2007/06","4.51183401","4.37322001","4.71215832"
"2007/07","4.96282384","4.51292946","5.6343793"
"2007/08","4.81248799","4.30241673","5.59023633"
"2007/09","5.12980879","4.65387029","5.81127134"
"2007/10","4.84649218","4.77749269","4.94765466"
"2007/11","4.33879823","4.10519655","4.68387589"
"2007/12","4.06638131","4.09564322","4.02389686"
"2008/01","5.00206832","5.14624625","4.78296004"
"2008/02","5.06880264","5.00396003","5.16324742"
"2008/03","4.46439975","4.23683853","4.7935966"
"2008/04","4.24922984","4.07780822","4.50540268"
"2008/05","4.09808046","3.95063156","4.31248502"
"2008/06","4.36487454","4.06744883","4.78808648"
"2008/07","5.29586939","5.29051758","5.30393566"
"2008/08","5.14687269","5.29685449","4.92652353"
"2008/09","4.99356335","5.02166679","4.95226889"
"2008/10","4.93771732","5.23743161","4.48957398"
"2008/11","5.38761187","5.77891492","4.82375233"
"2008/12","5.05830893","5.00990564","5.13156429"
"2009/01","6.13723965","6.05302373","6.25971072"
"2009/02","6.35149945","6.51832895","6.11009683"
"2009/03","5.7272081","5.74995042","5.69301921"
"2009/04","6.65685901","7.05974928","6.06498039"
"2009/05","6.78005397","6.91962515","6.57761435"
"2009/06","6.3533904","6.78149685","5.70822998"
"2009/07","7.38138591","7.28126814","7.52737418"
"2009/08","7.48821346","6.89670658","8.32202475"
"2009/09","7.90757974","7.66392374","8.26197702"
"2009/10","6.93091872","7.19047956","6.55781225"
"2009/11","6.15098173","6.31465147","5.91483397"
"2009/12","5.38177381","5.70782534","4.90248738"
"2010/01","7.03821072","7.35298721","6.58541961"
"2010/02","6.4070728","6.72245397","5.94852658"
"2010/03","5.76549487","5.85247879","5.63669441"
"2010/04","6.46258588","6.38007594","6.5803514"
"2010/05","5.99092827","5.97712385","6.01097727"
"2010/06","6.64557732","6.88467446","6.28974378"
"2010/07","6.77011803","6.73256637","6.82513196"
"2010/08","6.07646522","5.69670461","6.63429624"
"2010/09","6.63437979","6.62777219","6.64386392"
"2010/10","6.38157083","6.95207538","5.54538592"
"2010/11","6.22768433","6.42369419","5.93447029"
"2010/12","5.86735242","6.35721443","5.12878509"
"2011/01","6.24152066","6.32552212","6.11799151"
"2011/02","6.15974963","6.59691238","5.49069257"
"2011/03","5.45378772","5.58532944","5.25568205"
"2011/04","5.44751067","5.380951","5.54555298"
"2011/05","6.04047621","6.1919876","5.8174031"
"2011/06","6.31683268","6.29095504","6.35538922"
