"Banco de México"

"Valores en circulación"
"Indice de Precios y Cotizaciones"

"Fecha de consulta: 17/09/2018 03:17:19"

""

"Título","Indice de precios y cotizaciones, Indice general"
"Periodo disponible","Ene 1981 - Ago 2018"
"Periodicidad","Mensual"
"Cifra","Indices"
"Unidad","Sin Unidad"
"Base","1978"
"Aviso",""
"Tipo de información","Niveles"
"Fecha","SF4782"
01/01/1981,1.47
01/02/1981,1.40
01/03/1981,1.34
01/04/1981,1.32
01/05/1981,1.22
01/06/1981,1.14
01/07/1981,1.08
01/08/1981,1.03
01/09/1981,0.97
01/10/1981,0.86
01/11/1981,0.90
01/12/1981,0.94
01/01/1982,0.77
01/02/1982,0.78
01/03/1982,0.77
01/04/1982,0.61
01/05/1982,0.49
01/06/1982,0.56
01/07/1982,0.51
01/08/1982,0.54
01/09/1982,0.68
01/10/1982,0.65
01/11/1982,0.75
01/12/1982,0.67
01/01/1983,0.79
01/02/1983,0.86
01/03/1983,0.83
01/04/1983,0.91
01/05/1983,1.09
01/06/1983,1.42
01/07/1983,1.59
01/08/1983,1.57
01/09/1983,2.01
01/10/1983,2.00
01/11/1983,2.03
01/12/1983,2.45
01/01/1984,3.37
01/02/1984,4.03
01/03/1984,3.35
01/04/1984,2.88
01/05/1984,3.28
01/06/1984,3.17
01/07/1984,3.30
01/08/1984,3.88
01/09/1984,4.36
01/10/1984,3.99
01/11/1984,4.20
01/12/1984,4.03
01/01/1985,3.71
01/02/1985,4.20
01/03/1985,4.39
01/04/1985,4.81
01/05/1985,4.59
01/06/1985,4.95
01/07/1985,5.69
01/08/1985,6.74
01/09/1985,7.28
01/10/1985,9.60
01/11/1985,10.83
01/12/1985,11.19
01/01/1986,14.20
01/02/1986,14.10
01/03/1986,13.30
01/04/1986,12.80
01/05/1986,14.70
01/06/1986,15.90
01/07/1986,19.30
01/08/1986,22.30
01/09/1986,28.60
01/10/1986,35.20
01/11/1986,41.70
01/12/1986,47.10
01/01/1987,60.28
01/02/1987,79.82
01/03/1987,98.52
01/04/1987,122.30
01/05/1987,143.31
01/06/1987,161.67
01/07/1987,226.99
01/08/1987,287.40
01/09/1987,343.54
01/10/1987,200.02
01/11/1987,113.63
01/12/1987,105.67
01/01/1988,139.62
01/02/1988,200.59
01/03/1988,174.40
01/04/1988,154.16
01/05/1988,188.07
01/06/1988,186.57
01/07/1988,188.08
01/08/1988,196.52
01/09/1988,197.87
01/10/1988,197.82
01/11/1988,229.58
01/12/1988,211.53
01/01/1989,210.21
01/02/1989,208.31
01/03/1989,232.02
01/04/1989,261.73
01/05/1989,302.94
01/06/1989,348.49
01/07/1989,354.25
01/08/1989,399.66
