Nombre,Símbolo,Cierre,Máximo,Mínimo,Var., Var %,Vol.,Hora
3M,MMM,201.29,201.40,195.41,+5.99,+3.07%,2.44M,14:59:59
Abbott Labs,ABT,72.50,72.61,71.58,+1.54,+2.17%,6.40M,14:59:59
AbbVie,ABBV,86.960,87.220,84.140,+3.300,+3.94%,10.38M,14:59:59
Accenture,ACN,163.87,163.99,159.99,+4.45,+2.79%,2.28M,14:59:59
Activision Blizzard,ATVI,65.09,66.60,64.99,+0.84,+1.31%,12.77M,14:59:59
Acuity Brands,AYI,129.37,134.68,127.91,-3.29,-2.48%,647.89K,14:59:59
Adobe,ADBE,253.43,253.96,243.81,+12.87,+5.35%,3.79M,14:59:59
ADP,ADP,148.30,148.45,144.97,+4.38,+3.04%,2.62M,14:59:59
Advance Auto Parts,AAP,170.51,170.56,167.08,+2.42,+1.44%,888.66K,14:59:59
Aetna,AET,208.84,209.75,207.71,+1.79,+0.86%,3.39M,14:59:59
Affiliated Managers,AMG,117.66,117.71,113.90,+2.30,+1.99%,493.53K,14:59:59
Aflac,AFL,45.06,45.08,44.00,+1.07,+2.43%,2.97M,14:59:59
Agilent Technologies,A,68.26,68.38,66.28,+2.28,+3.46%,2.70M,14:59:59
AIG,AIG,44.43,44.68,43.87,-0.47,-1.05%,7.47M,14:59:59
Air Products,APD,160.98,161.19,157.28,+2.89,+1.83%,1.07M,14:59:59
Akamai,AKAM,71.55,71.85,70.13,+1.72,+2.46%,2.09M,14:59:59
Alaska Air,ALK,66.19,66.91,64.83,+1.59,+2.46%,1.11M,14:59:59
Albemarle,ALB,107.99,108.74,106.66,+0.20,+0.19%,1.75M,14:59:59
Alexandria RE,ARE,125.31,125.43,122.90,+2.07,+1.68%,432.58K,14:59:59
Alexion,ALXN,127.18,127.80,123.63,+3.96,+3.21%,1.22M,14:59:59
Align,ALGN,245.31,248.50,230.77,+15.94,+6.95%,2.23M,14:59:59
Allegion PLC,ALLE,89.77,89.99,88.44,+0.66,+0.74%,480.21K,14:59:59
Allergan,AGN,169.61,170.12,166.35,+4.40,+2.66%,1.98M,14:59:59
Alliance Data Systems,ADS,212.83,213.09,208.07,+5.29,+2.55%,290.55K,14:59:59
Alliant Energy,LNT,43.83,44.28,43.32,+0.47,+1.08%,2.15M,14:59:59
Allstate,ALL,92.52,92.56,90.81,+1.49,+1.64%,1.72M,14:59:59
Alphabet A,GOOGL,"1,108.24","1,109.93","1,080.59",+38.67,+3.62%,2.17M,14:59:59
Alphabet C,GOOG,"1,093.39","1,095.46","1,065.90",+37.58,+3.56%,2.06M,14:59:59
Altria,MO,65.37,65.81,64.74,+0.50,+0.77%,4.79M,14:59:59
Amazon.com,AMZN,"1,755.49","1,759.23","1,664.08",+112.68,+6.86%,8.19M,14:59:59
AMD,AMD,21.840,22.224,21.070,+1.160,+5.61%,121.12M,14:59:59
Ameren,AEE,66.04,66.10,64.87,+0.97,+1.49%,1.45M,14:59:59
American Airlines,AAL,36.97,37.39,35.48,+1.80,+5.12%,10.90M,14:59:59
American Electric Power,AEP,75.13,75.22,74.05,+0.68,+0.91%,2.78M,14:59:59
American Express,AXP,107.31,107.48,104.90,+2.33,+2.22%,3.61M,14:59:59
American Tower,AMT,156.95,157.78,156.05,+0.79,+0.51%,1.80M,14:59:59
American Water Works,AWK,90.09,90.36,89.47,+0.99,+1.11%,767.30K,14:59:59
Ameriprise Financial,AMP,129.57,129.67,126.57,+2.02,+1.58%,1.17M,14:59:59
AmerisourceBergen,ABC,86.54,87.37,84.40,+2.54,+3.02%,1.98M,14:59:59
Ametek,AME,75.24,75.55,74.14,+0.60,+0.80%,1.94M,14:59:59
Amgen,AMGN,197.62,197.73,192.01,+6.87,+3.60%,3.08M,14:59:59
Amphenol,APH,91.93,92.00,90.64,+1.43,+1.58%,1.10M,14:59:59
Anadarko Petroleum,APC,57.89,59.50,57.37,+3.12,+5.70%,11.07M,14:59:59
Analog Devices,ADI,88.31,89.02,87.39,+0.35,+0.40%,2.25M,14:59:59
ANSYS,ANSS,159.80,160.51,154.14,+6.89,+4.51%,869.16K,14:59:59
Anthem,ANTM,289.94,290.84,274.21,+17.93,+6.59%,2.39M,14:59:59
AO Smith,AOS,47.70,48.11,46.20,+0.16,+0.34%,2.05M,14:59:59
Aon,AON,163.05,163.32,159.81,+3.46,+2.17%,1.09M,14:59:59
Apache,APA,37.81,38.62,37.34,+0.47,+1.26%,3.64M,14:59:59
Apartment Invest,AIV,45.37,45.37,44.74,+0.58,+1.29%,825.26K,14:59:59
Apple,AAPL,209.95,210.06,204.13,+6.18,+3.03%,33.42M,14:59:59
Applied Materials,AMAT,35.25,35.27,34.53,+0.38,+1.09%,11.03M,14:59:59
Aptiv,APTV,78.35,78.44,75.46,+1.98,+2.59%,2.22M,14:59:59
Archer-Daniels-Midland,ADM,48.30,48.32,47.07,+0.97,+2.05%,5.15M,14:59:59
Arconic Inc,ARNC,21.14,21.34,20.87,+0.22,+1.05%,5.60M,14:59:59
Arthur J Gallagher,AJG,76.96,76.98,75.65,+1.12,+1.48%,940.25K,14:59:59
Assurant,AIZ,102.37,102.80,97.50,+4.23,+4.31%,960.57K,14:59:59
AT&T,T,31.10,31.13,30.69,+0.14,+0.45%,30.84M,14:59:59
Autodesk,ADSK,138.92,139.42,135.26,+5.22,+3.90%,2.90M,14:59:59
AutoZone,AZO,790.50,792.90,775.61,+9.48,+1.21%,186.03K,14:59:59
AvalonBay,AVB,182.35,182.69,180.28,+2.24,+1.24%,570.77K,14:59:59
